ID,Name_lang,Shortcut_lang,Flags,FactionGroup,Ruleset
1,Общий: %s,Общий,1572875,0,0
2,Торговля: %s,Торговля,1048635,0,0
22,Оборона: %s,ОборонаЛокальный,1114123,0,0
26,Поиск спутников,ПоискСпутников,262152,0,0
27,Редкие существа,РедкиеСущества,8,0,0
28,КаменьВстреч,КаменьВстреч,8,0,0
32,Чат для новичков,Чат_для_новичков,14680072,0,1
33,zzOLD Shadowlands Beta Discussion,ОбсуждениеБетаShadowlands,2097160,0,0
34,zzOLD Shadowlands PTR Discussion,ОбсуждениеТИМShadowlands,2097160,0,2
35,War Within Test Discussion,Тестовый разговор War Within,6291465,0,0
36,Время Хроми – Cataclysm,Время Хроми,2097160,0,2
37,Время Хроми – Burning Crusade,Время Хроми,2097160,0,2
38,Время Хроми – Wrath of the Lich King,Время Хроми,2097160,0,2
39,Время Хроми – Mists of Pandaria,Время Хроми,2097160,0,2
40,Время Хроми – Warlords of Draenor,Время Хроми,2097160,0,2
41,Время Хроми – Legion,Время Хроми,2097160,0,2
42,Торговля (услуги): %s,Услуги,1048635,0,0
