ID,Reaction_lang,FriendshipRepID,ReactionThreshold,OverrideColor
1,Незнакомец,2,0,0
2,Знакомый,2,8400,0
3,Приятель,2,16800,0
4,Друг,2,25200,0
5,Хороший друг,2,33600,0
6,Лучший друг,2,42000,0
59,Незнакомец,16,0,0
60,Знакомый,16,8400,0
61,Приятель,16,16800,0
62,Друг,16,25200,0
63,Хороший друг,16,33600,0
64,Лучший друг,16,42000,0
65,Незнакомец,17,0,0
66,Знакомый,17,8400,0
67,Приятель,17,16800,0
68,Друг,17,25200,0
69,Хороший друг,17,33600,0
70,Лучший друг,17,42000,0
71,Незнакомец,18,0,0
72,Знакомый,18,8400,0
73,Приятель,18,16800,0
74,Друг,18,25200,0
75,Хороший друг,18,33600,0
76,Лучший друг,18,42000,0
77,Незнакомец,19,0,0
78,Знакомый,19,8400,0
79,Приятель,19,16800,0
80,Друг,19,25200,0
81,Хороший друг,19,33600,0
82,Лучший друг,19,42000,0
83,Незнакомец,20,0,0
84,Знакомый,20,8400,0
85,Приятель,20,16800,0
86,Друг,20,25200,0
87,Хороший друг,20,33600,0
88,Лучший друг,20,42000,0
89,Незнакомец,21,0,0
90,Знакомый,21,8400,0
91,Приятель,21,16800,0
92,Друг,21,25200,0
93,Хороший друг,21,33600,0
94,Лучший друг,21,42000,0
95,Незнакомец,22,0,0
96,Знакомый,22,8400,0
97,Приятель,22,16800,0
98,Друг,22,25200,0
99,Хороший друг,22,33600,0
100,Лучший друг,22,42000,0
101,Незнакомец,23,0,0
102,Знакомый,23,8400,0
103,Приятель,23,16800,0
104,Друг,23,25200,0
105,Хороший друг,23,33600,0
106,Лучший друг,23,42000,0
107,Незнакомец,24,0,0
108,Знакомый,24,8400,0
109,Приятель,24,16800,0
110,Друг,24,25200,0
111,Хороший друг,24,33600,0
112,Лучший друг,24,42000,0
113,Ученик,25,0,0
114,Ученик,25,8400,0
115,Подмастерье,25,16800,0
116,Подмастерье,25,25200,0
117,Подмастерье,25,33600,0
118,Специалист,25,42000,0
119,Незнакомец,26,0,0
120,Знакомый,26,8400,0
121,Приятель,26,16800,0
122,Друг,26,25200,0
123,Лучший друг,26,42000,0
124,Хороший друг,26,33600,0
127,Боец 1-го ранга,28,0,0
128,Боец 2-го ранга,28,1000,0
129,Боец 3-го ранга,28,2000,0
130,Боец 4-го ранга,28,3000,0
131,Боец 5-го ранга,28,4000,0
132,Боец 6-го ранга,28,5000,0
133,Боец 7-го ранга,28,6000,0
192,Боец 1-го ранга,43,0,0
193,Боец 2-го ранга,43,1000,0
194,Боец 3-го ранга,43,2000,0
195,Боец 4-го ранга,43,3000,0
196,Боец 5-го ранга,43,4000,0
197,Боец 6-го ранга,43,5000,0
198,Боец 7-го ранга,43,6000,0
271,Макс. ранг,43,7000,0
272,Макс. ранг,28,7000,0
288,Недостаточно припасов,72,0,0
289,Достаточно припасов,72,10000,0
416,Телохранитель,160,0,0
417,Доверенный боец,160,10000,0
418,Боевой товарищ,160,20000,0
422,Телохранитель,162,0,0
423,Доверенный боец,162,10000,0
424,Боевой товарищ,162,20000,0
425,Телохранитель,163,0,0
426,Доверенный боец,163,10000,0
427,Боевой товарищ,163,20000,0
428,Телохранитель,164,0,0
429,Доверенный боец,164,10000,0
430,Боевой товарищ,164,20000,0
431,Телохранитель,165,0,0
432,Доверенный боец,165,10000,0
433,Боевой товарищ,165,20000,0
434,Телохранитель,166,0,0
435,Доверенный боец,166,10000,0
436,Боевой товарищ,166,20000,0
437,Телохранитель,167,0,0
438,Доверенный боец,167,10000,0
439,Боевой товарищ,167,20000,0
443,Боец 1-го ранга,171,0,0
444,Боец 2-го ранга,171,1000,0
445,Боец 3-го ранга,171,2000,0
446,Боец 4-го ранга,171,3000,0
447,Боец 5-го ранга,171,4000,0
448,Боец 6-го ранга,171,5000,0
449,Боец 7-го ранга,171,6000,0
450,Боец 8-го ранга,171,7000,0
451,Боец 1-го ранга,172,0,0
452,Боец 2-го ранга,172,1000,0
453,Боец 3-го ранга,172,2000,0
454,Боец 4-го ранга,172,3000,0
455,Боец 5-го ранга,172,4000,0
456,Боец 6-го ранга,172,5000,0
457,Боец 7-го ранга,172,6000,0
458,Боец 8-го ранга,172,7000,0
466,Иссыхание,181,0,0
467,Стабильное состояние,181,100,0
471,Иссыхание,182,0,0
472,Стабильное состояние,182,100,0
473,Переполняющая мощь,182,150,0
476,Иссыхание,183,0,0
477,Сытость,183,200,0
481,Боец 9-го ранга,171,8000,0
482,Макс. ранг,171,9000,0
