ID,Name_lang,HonorLevel,BadgeTextureFileDataID,Flags,AwardedAchievementID
1,5-й уровень чести,5,1375574,0,12893
2,10-й уровень чести,10,1375575,0,12894
3,15-й уровень чести,15,1375576,0,12895
4,20-й уровень чести,20,1375577,0,12900
6,25-й уровень чести,25,1551554,1,12901
8,30-й уровень чести,30,1551555,1,12902
9,40-й уровень чести,40,1551556,1,12903
10,50-й уровень чести,50,1551557,1,12904
11,60-й уровень чести,60,1567394,0,12905
12,70-й уровень чести,70,1597388,0,12906
13,80-й уровень чести,80,1597390,0,12907
14,90-й уровень чести,90,1597392,0,12908
15,100-й уровень чести,100,1597394,0,12909
16,125-й уровень чести,125,1597397,0,12910
17,150-й уровень чести,150,1597398,0,12911
18,175-й уровень чести,175,1597399,0,12912
19,200-й уровень чести,200,1597400,0,12913
20,250-й уровень чести,250,1713158,0,12914
21,300-й уровень чести,300,1713159,0,12915
22,400-й уровень чести,400,1713160,0,12916
23,500-й уровень чести,500,1713161,0,12917
24,600-й уровень чести,253,1713162,0,0
25,750-й уровень чести,254,1713163,0,0
26,1000-й уровень чести,255,1713164,0,0
