Description_lang,Title_lang,ID,ScenarioID,CriteriatreeID,RewardQuestID,RelatedStep,Supersedes,OrderIndex,Flags,VisibilityPlayerConditionID,WidgetSetID
Проведите хмелевара Бо к кипящему котлу Унга-Ингу.,Сопровождение хмелевара Бо,24,15,21004,0,0,0,0,0,0,0
Вылейте в хмелеваренный котел 200 порций тропического отвара Унга.,Наполнение хмелеваренного котла,25,15,27707,0,0,0,1,0,0,0
Одолейте капитана Ука.,Победа над капитаном Уком,26,15,21008,0,0,0,2,0,0,0
Одолейте поддавшегося скверне лидера Шадо-Пан.,Конец ужаса,114,39,21048,0,0,0,0,0,0,0
Спуститесь еще глубже и обыщите нижний уровень гробниц.,Поиски в гробнице,115,39,22065,0,0,0,2,0,0,0
"Одолейте монстров, атакующих жителей деревни Зеленой Скалы.",Спасение жителей деревни,116,40,20975,0,0,0,0,0,0,0
Одолейте Мстительного Хуэя.,Победа над Мстительным Хуэем,117,40,20982,0,0,0,4,0,0,0
Найдите в лесу украденные бочонки и верните их в додзё деревни.,Возвращение украденных бочонков,118,40,21059,0,0,0,2,0,0,0
Победите оскверненные Ша войска в храме Нефритовой Змеи.,Храм Нефритовой Змеи,123,44,21078,0,0,0,0,0,0,0
Победите силы хаоса в хмелеварне Буйных Портеров.,Хмелеварня Буйных Портеров,124,45,21087,0,0,0,0,0,0,0
Победите врагов в монастыре Шадо-Пан.,Монастырь Шадо-Пан,125,46,21095,0,0,0,0,0,0,0
"Победите силы богомолов, атакующие Врата Заходящего Солнца.",Врата Заходящего Солнца,127,48,21100,0,0,0,0,0,0,0
"Победите силы богомолов, атакующие храм Нюцзао.",Осада храма Нюцзао,128,49,21105,0,0,0,0,0,0,0
,Дворец Могу'шан,129,50,21110,0,0,0,0,0,0,0
Победите нежить в Некроситете,Некроситет,130,51,21120,0,0,0,0,0,0,0
Победите силы Алого ордена.,Залы Алого ордена,131,52,21130,0,0,0,0,0,0,0
Отправьтесь в Поселок Каменщиков и приведите в сознание жителей.,Спасение каменщиков Зеленой Скалы,132,40,21126,0,0,0,3,0,0,0
Победите силы Алого ордена в их собственном монастыре.,Монастырь Алого ордена,133,53,21134,0,0,0,0,0,0,0
Призовите и одолейте могучую драконью черепаху Потертый Панцирь.,Потертый Панцирь,138,58,21323,0,0,0,0,0,0,0
"Призовите и одолейте грозу груммелей, снежного ужаса, Джол'Грума.",Джол'Грум,139,58,21325,0,0,0,1,0,0,0
Призовите и одолейте игривого духа огня Люян.,Малышка Люян,140,58,21327,0,0,0,2,0,0,0
Призовите и одолейте странствующего яунгола-воина Чагана Огненное Копыто.,Чаган Огненное Копыто,141,58,21332,0,0,0,3,0,0,0
