ID,Description_lang,Color
2,Без дополнительного описания,16777215
20,10-й сезон,-16711936
226,10-й сезон (элитный),-16711936
525,9-й сезон (элитный),-16711936
653,9-й сезон,-16711936
1013,11-й сезон,-16711936
1208,11-й сезон (элитный),-16711936
1591,19-й сезон,-16711936
1593,От этого цвета глаза болят,-65536
1641,Поиск рейда,-16711936
2015,Героический,65280
2023,10-й сезон (элитный),-1
2255,12-й сезон,65280
2667,12-й сезон (элитный),65280
3564,,65280
3759,Материал для ремесла,-10044417
3765,Сумка на 100 ячеек,-1
3845,Героический (элитный),65280
3859,Элитный,65280
3933,13-й сезон,65280
3934,13-й сезон (элитный),65280
4918,1-й уровень,-16711681
4949,2-й уровень,-16711681
4953,3-й уровень,-16711681
4957,4-й уровень,-16711681
4961,5-й уровень,-16711681
4965,7-й уровень,-16711681
4969,8-й уровень,-16711681
4970,6-й уровень,-16711681
5213,Предмет для сценария,-1
5616,Создано в Кузне Грома,65280
6360,Создано в Кузне Грома (героич.),65280
6798,9-й уровень,-16711681
6842,Уровень ??,-16711681
6843,8-й сезон,65280
6894,8-й сезон (элитный),65280
7052,7-й сезон,65280
7225,7-й сезон (элитный),65280
7261,6-й сезон,65280
7434,6-й сезон (элитный),65280
7463,5-й сезон,65280
7636,4-й сезон,65280
7775,3-й сезон,65280
7906,2-й сезон,65280
8027,1-й сезон,65280
8869,Гибкий,65280
9059,14-й сезон,65280
9459,14-й сезон (элитный),65280
10066,Создано в Кузне Грома (героич.),16711680
10126,15-й сезон,65280
10520,15-й сезон (элитный),65280
11080,Вневременной предмет,65280
11179,Предмет закален в бою (героич.),65280
11428,Предмет закален в бою,65280
12743,Трофей,-10044417
12790,Безупречный,-16711936
12934,Алхимический ингредиент,-10044417
13021,Материал для ремесла,-7820545
13111,с печатью могущества,0
13145,Эпохальный,-16711936
13149,Инженерный материал,-10044417
13150,с символом огненной вспышки,0
13151,с символом бесподобия,0
13152,со знаком быстрого клинка,0
13153,со знаком дикости,0
13154,со знаком фанатика,0
13155,с символом коварства,0
13156,с символом лихорадочного света,0
13157,со знаком рассвета,0
13158,со знаком проворства,0
13159,со знаком ревнителя,0
13160,с меткой ткача ветра,0
13161,с меткой безмятежности,0
13162,со знаком беспощадности,0
13163,с меткой прорицателя,0
13164,с меткой дворянина,0
13165,с меткой стратега,0
13166,с меткой авгура,0
13167,со знаком доблести,0
13168,с меткой вестника,0
13169,с меткой рассекателя туч,0
13170,с символом нетерпеливости,0
13171,с символом умудренности,0
13172,с символом адаптации,0
13173,со знаком неумолимости,0
13174,с символом праведности,0
13175,с символом несокрушимости,0
13176,с символом крушителя,0
13178,Турнир Warlords of Draenor,65280
13181,Используется в кулинарии,-10044417
13184,Используется для ремесел,-10044417
13185,Уровень 2 из 6,65280
13186,Уровень 3 из 6,65280
13187,Уровень 1 из 6,65280
13188,Предмет закален в бою (эпох.),-16711936
13190,Снаряжение соратника,-9316865
13191,Ресурс для гарнизона,-10044417
13192,Деталь модуля для торговой лавки,-16724737
13193,Обычный,65280
13194,Модуль для торговой лавки,-16724737
13195,Безупречный,-10044417
13196,Warlords of Draenor: 1-й сезон,65280
13197,Расовый жетон PvP,-7820545
13198,Warlords of Draenor: 1-й сезон (элита),65280
13201,Уровень 0,65280
13202,Уровень 1 – светлая магия,65280
13203,Уровень 1 – огонь,65280
13204,Уровень 1 – осквернение,65280
13205,Уровень 2 – светлая магия,65280
13206,Уровень 2 – огонь,65280
13207,Уровень 2 – осквернение,65280
13208,Уровень 4 из 6,65280
13209,Чертеж гарнизона,-10044417
13210,Путешествие во времени,-1651584
13211,Warlords of Draenor: 2-й сезон,65280
13212,Warlords of Draenor: 2-й сезон (элита),65280
13213,Warlords of Draenor: 3-й сезон,65280
13214,Warlords of Draenor: 3-й сезон (элита),65280
13215,Карманная кража,-16724737
13216,Искажение временем,-16711936
13217,Уровень 5 из 6,65280
13218,Уровень 6 из 6,65280
13219,Сила артефакта,-1651584
13220,Предмет из прошлого закален в бою,-16711936
13222,Усиление,65280
13223,Древняя мана,-10044417
13224,Корабельное оборудование,65280
13225,Гибельный,-16711936
13226,Legion: 1-й сезон,65280
13227,Legion: 1-й сезон (элита),65280
13228,Снаряжение защитника,-12288
13230,Фаза 1 из 9,65280
13231,Фаза 2 из 9,65280
13232,Фаза 3 из 9,65280
13233,Фаза 4 из 9,65280
13234,Фаза 5 из 9,65280
13235,Фаза 6 из 9,65280
13236,Фаза 7 из 9,65280
13237,Фаза 8 из 9,65280
13238,Фаза 9 из 9,65280
13239,Кованный титанами,65280
13241,Ярость Одина,-1651584
13242,Гнев Хелии,-1651584
13243,Морозный Жнец,-1651584
13244,Вестник Холода,-1651584
13245,Верус,-1651584
13246,Мурамас,-1651584
13247,Аль'бурк,-1651584
13248,Альра'эд,-1651584
13249,Тоска,-1651584
13250,Печаль,-1651584
13251,Участь,-1651584
13252,Фортуна,-1651584
13253,Кровавый клык,-1651584
13254,Воля Акаари,-1651584
13256,Аннигилят: 0/10,65280
13257,Аннигилят: 1/10,65280
13258,Аннигилят: 2/10,65280
13259,Аннигилят: 3/10,65280
13260,Аннигилят: 4/10,65280
13261,Аннигилят: 5/10,65280
13262,Аннигилят: 6/10,65280
13263,Аннигилят: 7/10,65280
13264,Можно аннигилировать,-7820545
13265,Эпохальный 2,-16711936
13266,Эпохальный 3,-16711936
13267,Эпохальный 4,-16711936
13268,Эпохальный 5,-16711936
13269,Эпохальный 6,-16711936
13270,Эпохальный 7,-16711936
13271,Эпохальный 8,-16711936
13272,Эпохальный 9,-16711936
13273,Эпохальный 10,-16711936
13274,Эпохальный джекпот 2,-16711936
13275,Эпохальный джекпот 3,-16711936
13276,Эпохальный джекпот 4,-16711936
13277,Эпохальный джекпот 5,-16711936
13278,Эпохальный джекпот 6,-16711936
13279,Эпохальный джекпот 7,-16711936
13280,Эпохальный джекпот 8,-16711936
13281,Эпохальный джекпот 9,-16711936
13282,Аннигилят: 8/10,65280
13284,Ветеран,-16711936
13285,Аннигилят: 9/10,65280
13286,Аннигилят: 10/10,65280
13287,Legion: 2-й сезон,65280
13288,Legion: 2-й сезон (элита),65280
13289,Эпохальный 11,-16711936
13290,Эпохальный 12,-16711936
13291,25 игроков (обычный режим),0
13292,25 игроков (героический режим),0
13293,10 игроков (обычный режим),65280
13294,8-й уровень,-16711681
13295,Legion: 3-й сезон,65280
13296,Legion: 3-й сезон (элита),65280
13297,Legion: 4-й сезон,65280
13298,Legion: 4-й сезон (элита),65280
13299,Legion: 5-й сезон,65280
13300,Legion: 5-й сезон (элита),65280
13301,Гладиатор,-16711936
13302,Боец I,-16711936
13303,Претендент,-16711936
13304,Честь,-16711936
13305,Солнечный Колодец,-16711936
13306,PvP – редкий,65280
13307,PvP – эпический,65280
13308,Эпохальный 13,-16711936
13309,Эпохальный 14,-16711936
13310,Эпохальный 15,-16711936
13311,Legion: 6-й сезон,65280
13312,Legion: 7-й сезон,65280
13313,Legion: 6-й сезон (элита),65280
13314,Legion: 7-й сезон (элита),65280
13315,Legion: 1-й и 2-й сезоны,65280
13316,Legion: 1-й и 2-й сезоны (элита),65280
13317,Legion: 3-й и 4-й сезоны,65280
13318,Legion: 3-й и 4-й сезоны (элита),65280
13319,Изготовленный предмет,-10044417
13320,Выброшенный предмет,65280
13321,Неустрашимость,65280
13322,Изначальный аннигилят: 0/10,65280
13323,Изначальный аннигилят: 1/10,65280
13324,Изначальный аннигилят: 2/10,65280
13325,Изначальный аннигилят: 3/10,65280
13326,Изначальный аннигилят: 4/10,65280
13327,Изначальный аннигилят: 5/10,65280
13328,Изначальный аннигилят: 6/10,65280
13329,Изначальный аннигилят: 7/10,65280
13330,Изначальный аннигилят: 8/10,65280
13331,Изначальный аннигилят: 9/10,65280
13332,Изначальный аннигилят: 10/10,65280
13333,Шатуг,-6081042
13334,Ф'арг,-6081042
13335,"Legion: 5-й, 6-й и 7-й сезоны",65280
13336,"Legion: 5-й, 6-й и 7-й сезоны (элита)",65280
13337,Конфискованный предмет,65280
13338,Незапятнанный предмет,65280
13339,Незапятнанный предмет,-16711936
13343,Азеритовое усиление 3-го уровня,15923845
13445,Претендент I,-16711936
13446,Фаворит I,-16711936
13447,Дуэлянт,-16711936
13448,Фронт,-1
13449,Сила артефакта,-6447715
13450,Реликвия,65280
13451,Ужасающий боец,-16711936
13452,Зловещий боец,-16711936
13453,Ужасающий претендент,-16711936
13454,Зловещий претендент,-16711936
13455,Ужасающий соперник,-16711936
13456,Зловещий соперник,-16711936
13457,Ужасающий дуэлянт,-16711936
13458,Зловещий дуэлянт,-16711936
13459,Ужасающий гладиатор,-16711936
13460,Зловещий гладиатор,-16711936
13461,1-й сезон Battle for Azeroth,65280
13462,2-й сезон Battle for Azeroth,65280
13463,Зловещий ветеран,-16711936
13464,Ужасающий ветеран,65280
13465,Мехагонская механика,-10044417
13486,Запечатанный коварный дар,-6081042
13487,Открытый коварный дар,-6081042
13488,"4-й сезон шоу ""Наденьте это немедленно!""",65280
13489,"2-й сезон шоу ""Наденьте это немедленно!""",65280
13490,"1-й сезон шоу ""Наденьте это немедленно!""",65280
13491,"Калибровка: 0,74 к скорости : 0,25 к универсальности",-14614752
13492,"3-й сезон шоу ""Наденьте это немедленно!""",65280
13493,Отъявленный претендент,-16711936
13494,Отъявленный боец,-16711936
13495,Отъявленный дуэлянт,-16711936
13496,Отъявленный ветеран,-16711936
13497,Отъявленный гладиатор,-16711936
13498,Отъявленный фаворит,-16711936
13499,Предметы для транспорта,-9316865
13500,Слияние силы,-11776
13501,Красная перфокарта,-14614752
13502,Желтая перфокарта,-14614752
13503,Синяя перфокарта,-14614752
13504,Чародейский реагент,-14614752
13505,Жемчужный,-14614752
13506,3-й сезон Battle for Azeroth,65280
13507,Бентосный,-14614752
13508,4-й сезон Battle for Azeroth,65280
13509,Реликвия Темной Империи 1-го уровня,-16711681
13510,Реликвия Темной Империи 2-го уровня,-16711681
13511,Реликвия Темной Империи 3-го уровня,-16711681
13512,Реликвия Темной Империи 4-го уровня,-16711681
13513,25 ед. порчи,14417920
13516,5 ед. порчи,16580611
13517,10 ед. порчи,16580611
13518,15 ед. порчи,16580611
13519,20 ед. порчи,16580611
13520,30 ед. порчи,16580611
13521,5-30 ед. порчи,16580611
13524,10-й уровень,-16711681
13525,11-й уровень,-16711681
13526,12-й уровень,-16711681
13527,13-й уровень,-16711681
13528,14-й уровень,-16711681
13529,15-й уровень,-16711681
13530,Падший претендент,-16711936
13531,Падший боец,-16711936
13532,Падший дуэлянт,-16711936
13533,Падший ветеран,-16711936
13534,Падший гладиатор,-16711936
13535,Падший соперник,-16711936
13536,Зараженный предмет,-57312
13538,Тайнопись душ,-10044417
13543,везучего ремесленника,0
13544,искусного ремесленника,0
13545,быстрого ремесленника,0
13546,универсального ремесленника,0
13547,убийцы зверей,0
13549,Дополнительный реагент,-10044417
13551,IV,0
13552,III,0
13553,II,0
13554,I,0
13555,Сшивание поганищ,-10044417
13556,Королевский зимний сад,-7820545
13557,Усилитель стручка-катализатора,-7820545
13558,Стручок-катализатор,-7820545
13559,Проводник,-14614752
13565,Уровень порчи – 66 ед.,11962111
13566,Уровень порчи – 35 ед.,11962111
13567,Уровень порчи – 15 ед.,11962111
13568,Уровень порчи – 20 ед.,11962111
13569,Уровень порчи – 10 ед.,11962111
13570,Уровень порчи – 75 ед.,11962111
13571,Уровень порчи – 50 ед.,11962111
13572,Уровень порчи – 25 ед.,11962111
13573,Уровень порчи – 45 ед.,11962111
13574,Уровень порчи – 28 ед.,11962111
13575,Уровень порчи – 17 ед.,11962111
13576,Уровень порчи – 30 ед.,11962111
13577,Уровень порчи – 12 ед.,11962111
13578,Уровень порчи – 16 ед.,11962111
13579,Уровень порчи – 8 ед.,11962111
13580,Уровень порчи – 60 ед.,11962111
13581,Ремесло перерождения,3650303
13583,История Утробы,-7820545
13584,Пепельный двор,-7820545
13585,Анима,-10044417
13586,The Coldest of Fronts (DNT),0
13587,Show them snow mercy! (DNT),0
13588,A Triple Threat (DNT),0
13589,"It's like double trouble, but better! (DNT)",0
13590,Кампания,65280
13591,Известность,-14614752
13592,Королевский зимний сад,-14614752
13593,Престиж,-14614752
13594,Сшивание поганищ,-14614752
13595,Множество,-14614752
13596,Транспортная сеть,-7820545
13597,Призрачный предмет,713192
13599,Спокойное созерцание,0
13600,Близнецы жрицы Солнца,0
13601,"Кс'анши, Возвращение архиепископа Бенедикта",0
13602,Вечное воззвание к Бездне,0
13603,Призма пламени Тьмы,0
13604,Псалом снятия боли,0
13605,Ясность разума,0
13606,Поцелуй смерти,0
13607,Кристальное отражение,0
13608,Аппарат гармонии,0
13609,Кающийся грешник,0
13610,Прижигающие тени,0
13611,Быстрая концентрация,0
13612,Божественный образ,0
13613,Небесный прыжок,0
13614,Стратагема Талбадара,0
13615,Клятва старейшего друида,0
13616,Мимолетное видение Ликары,0
13617,Круг жизни и смерти,0
13618,Настой глубокой концентрации,0
13619,Зоркий взгляд Онефа,0
13620,Изначальный магический пульсар,0
13621,Баланс всего сущего,0
13622,Старый ловец снов,0
13623,"Украшение ""Глаз кошки""",0
13624,Жажда сверххищника,0
13625,Кольцо бешенства,0
13626,Жесткие объятия,0
13627,Стабильная приманка для фантазмы,0
13628,Воля естественного порядка,0
13629,Третье око Тюремщика,0
13630,Прозорливость Норганнона,0
13631,Декларация Сефуза,0
13632,Правосудие Арбитра,0
13633,Жертвование здоровьем,0
13634,Воспоминание о ярости Урсока,0
13635,Рокот Утробы,0
13636,Эхо Эонар,0
13637,Наследие Дремлющей,0
13638,Память об Изначальном Древе,0
13639,Урок Темного титана,0
13640,Живительное насыщение,0
13641,Видение бесконечного роста,0
13642,Око боязливой симметрии,0
13643,Фатальное прикосновение,0
13644,Обмотки уверенной скорости,0
13645,Радость заклинателя,0
13646,Небесный путь Кифера,0
13647,Конденсатор последнего императора,0
13648,Сокровище Сюэня,0
13649,Нефритовое возгорание,0
13650,Небесный настой,0
13651,Последний бочонок Буйного Портера,0
13652,Мощь Шаохао,0
13653,Обугленные страсти,0
13654,Утренняя слеза,0
13655,Шепот Юй-лун,0
13656,Древние монастырские учения,0
13657,Затуманенная концентрация,0
13658,Бегство от реальности,0
13659,"Продлевает время действия ""Антимагического панциря"". Восполняет вам здоровье в объеме поглощенного урона.",-16711936
13660,Участник,-16711936
13661,Объятия смерти,0
13662,Суперштамм,0
13663,Ужасающий лик смерти,0
13664,Неизбежность смерти,0
13665,Взбешенное чудовище,0
13666,Оживленный шаркун,0
13667,Власть Кровожада,0
13668,Вампирическая аура,0
13669,Алая руна,0
13670,Мощь Бриндаора,0
13671,Покровительство Кольтиры,0
13672,Ярость ледяного защитника,0
13673,Абсолютный нуль,0
13674,Трескучий мороз,0
13675,Хватка вечности,0
13676,Кошмар,0
13678,Благословение Солнечного короля,0
13679,Раскаленный метеорит,0
13680,Огненная буря,0
13681,Колдовская диадема,0
13682,Мрачный кристалл льда,0
13683,Защитник Тройного союза,0
13684,Четкий распорядок,0
13685,Расширенный потенциал,0
13686,Ледяные ветра,0
13687,Покров холодного фронта,0
13688,Вестник Холода,0
13689,Обжигающий холод,0
13690,Энергия бури,0
13691,Чародейская гармония,0
13692,Искажение времени,0
13693,Магический отстрел,0
13694,Безумный идеал,0
13695,Стражи Утера,0
13696,Печатка истерзанных королей,0
13697,Закат и рассвет,0
13698,Шоковая преграда,0
13699,Правосудие мирового судьи,0
13700,"Разрубатель Тьмы, Вестник Рассвета",0
13701,Цветение Солнечного Колодца,0
13702,Гравированная печать мстителя Света,0
13703,Святилище ревностного заступника,0
13704,Оплот праведной ярости,0
13705,Правление вечных королей,0
13706,Окончательный приговор,0
