Name_lang,ID,Priority
Возвращение,1,0
Новые товары,2,1000
Празднество,3,1100
Пиратская буря,4,1100
Паладин,5,235
Разбойник,6,225
Жрец,7,230
Чернокнижник,8,215
Воин,9,210
Монах,10,240
Друид,11,260
Рыцарь смерти,12,270
Охотник на демонов,13,265
Маг,14,245
Шаман,15,220
Охотник,16,250
Пробудитель,17,255
Тканевые доспехи,18,310
Кожаные доспехи,19,320
Латные доспехи,20,340
Кольчужные доспехи,21,330
Питомцы,22,1100
Транспорт,23,1200
Игрушки,24,1000
Цветы,25,1100
Летнее веселье,26,1100
Океанская пучина,27,1100
Добрые ведьмы,28,1100
Пиратская добыча,29,1100
Коллекции оружия,30,900
Оружие ближнего боя,31,800
Оружие для левой руки,32,800
Доспехи для трансмогрификации,33,1000
Оружие дальнего боя,34,800
Коллекции брони,35,1100
Вечные традиции,36,1100
Всякая всячина,37,800
