ID,Name_lang,CreatureID,PortraitFileDataID,UiTextureKitID,UiAnimScale,UiAnimHeight,Flags,AutoCombatantID
1,Малый гронн Ледяного Огня,80693,1067373,0,0.75,0.55,0,0
2,Разведчик из клана Громоборцев,87430,1067284,0,1.4,0.5,0,0
4,Бой с орками 1,78009,1067281,0,1.5,0.5,0,0
5,Бой с орками 2,79359,1067297,0,1.5,0.5,0,0
7,Бой с ограми 1,79378,1067321,0,1.5,0.55,0,0
29,Chris' Mission Set Test Encounter,0,0,0,1,0.4,0,0
30,Малый гронн Ледяного Огня,80704,1067391,0,0.75,0.55,0,0
31,Малый гронн Ледяного Огня,80693,1067373,0,0.75,0.55,0,0
32,Рилак-ледочрев,80705,1067265,0,0.55,0.45,0,0
33,Разведчик из клана Громоборцев,80192,1067335,0,0.6,0.9,0,0
34,Разведчик из клана Громоборцев,80172,1067334,0,1.2,0.5,0,0
35,Бой с ограми 2,79380,1067230,0,0.9,0.55,0,0
36,Бой с нежитью 1,79380,1067230,0,1,0.5,0,0
37,Бой с порождениями хаоса 1,79383,1067191,0,0.8,0.5,0,0
38,Бой с араккоа 1,79387,1067348,0,0.5,0.5,0,0
39,Бой с араккоа 2,81338,1067462,0,0.9,0.5,0,0
40,Бой со зверями 1,79384,1067296,0,1.1,0.5,0,0
41,Бой со зверями 2,79386,1067246,0,1.4,0.5,0,0
42,Бой с демонами 1,79381,1067240,0,1.1,0.6,0,0
43,Бой с демонами 2,81339,1067193,0,0.6,0.6,0,0
44,Бой с Разрушителями 1,79382,1067290,0,1,0.5,0,0
45,Бой с Разрушителями 2,79385,1067311,0,1.5,0.6,0,0
46,Бой с яростью 1,81340,1067223,0,1.2,0.5,0,0
47,Бой с яростью 2,81341,2395691,0,1,0.5,0,0
48,Бой с Изначальными 1,81342,1067224,0,1,0.5,0,0
49,Бой с Изначальными 2,81343,1067208,0,1,0.5,0,0
50,Презренные слизняки,19787,0,0,1,0.4,0,0
51,Таящийся опустошитель,81538,1067344,0,0.9,0.45,0,0
52,Скальный прыгун из клана Громоборцев,81562,1067236,0,1.55,0.5,0,0
53,Чтец ветра из клана Громоборцев,81565,1067286,0,1.55,0.5,0,0
54,Проклятый волк,81568,1067253,0,1.5,0.5,0,0
55,Чернорабочий из клана Жестокого Холода,81580,1067268,0,1.2,0.55,0,0
56,Ледоклювый падальщик,81583,1067178,0,1.3,0.9,0,0
57,Налетчик из клана Камнерогов,81587,1067336,0,1.2,0.5,0,0
58,Бледнокожий пожиратель,82405,1067305,0,1,0.45,0,0
59,Оскверненная жаба,82410,1067273,0,1,0.45,0,0
60,Ворон Зашедшей Луны,82409,1067466,0,0.8,0.5,0,0
61,Некролит из клана Призрачной Луны,82413,1067287,0,1.55,0.5,0,0
62,Темный маг из клана Призрачной Луны,82414,1067282,0,1.55,0.5,0,0
63,Грохочущий равнинный скиталец,83059,1067312,0,0.75,0.55,0,0
64,Горианский чародей,83067,1067413,0,1.2,0.5,0,0
65,Горианский легионер,83071,1067409,0,1.2,0.5,0,0
66,Железная огненная провидица,83128,1067339,0,1.4,0.5,0,0
67,Железная огненная провидица,83126,1067270,0,1.4,0.5,0,0
