Name_lang,Description_lang,ID,DisplayIndex,UiCameraID,AltHandUICameraID,ForgeAttachmentOverride,Flags,ArtifactID
Кристальная форма,,1,1,72,0,-1,0,1
Шипастая форма,,2,2,0,0,-1,0,1
Испепелитель,,3,1,62,0,-1,0,2
Меч праведников,,4,2,65,0,-1,0,2
Пылающий каратель,,5,3,63,0,-1,0,2
Крушение надежд,,6,4,66,0,-1,0,2
Несвершенное возмездие,,7,5,64,0,-1,0,2
Парные клинки Искусителя,,8,1,72,161,-1,0,3
Десница иллидари,,9,2,76,928,-1,0,3
Клинки Тьмы,,10,3,75,930,-1,0,3
Огненный жнец,,11,5,77,931,-1,0,3
Прикосновение демона,,12,4,73,929,-1,0,3
"Г'ханир, Изначальное Древо",,13,1,61,0,-1,0,13
Бузинный посох,,14,2,68,0,-1,0,13
Оживший кристалл,,15,3,60,0,-1,0,13
Хранитель Мертвого Леса,,16,4,69,0,-1,0,13
Корона стража,,17,6,70,0,-1,1,13
Панцирь Хранителя Земли,,20,1,183,71,-1,0,11
Клыки Пожирателя,,21,1,168,169,-1,0,17
Хватка демона,,22,3,172,173,-1,0,17
Теневые клинки,,23,2,170,171,-1,0,17
Кровопийцы,,24,4,174,175,-1,0,17
Ледяные бритвы,,25,5,176,177,-1,0,17
Проклятый Пожиратель,,32,1,163,0,-1,0,15
Апокалипсис,,33,1,162,0,-1,0,16
Клинки падшего принца,,39,1,166,167,-1,0,12
Кулак Ра-дена,,40,1,191,192,-1,0,40
"Тас'дора, наследие Ветрокрылых",,41,1,719,0,-1,0,55
Убийцы Королей,,42,1,391,392,-1,0,43
"Шарас'дал, Скипетр Приливов",,43,1,195,958,-1,0,42
Молот Рока,,44,1,189,0,-1,0,41
"Т'ууре, Светоч наару",,45,1,194,0,-1,0,45
Клинок Темной Империи,,46,1,570,952,-1,0,47
Серебряная длань,,47,1,198,199,-1,0,48
Когти Урсока,,48,1,188,638,-1,0,57
Скипетр Саргераса,,49,1,357,0,-1,0,38
"Шей-лун, Посох Туманов",,50,1,196,0,-1,0,51
Фело'мелорн,,51,1,190,935,-1,0,54
Хищный Коготь,,52,1,197,0,-1,0,34
Алунет,,53,1,178,0,-1,0,4
Посох Хранительницы,,54,2,179,0,-1,0,4
Ярость Магны,,55,3,181,0,-1,0,4
Падение Эгвин,,56,4,180,0,-1,0,4
Бессмертная магия,,57,5,182,0,-1,0,4
Взор стража смерти,,58,4,184,965,-1,0,11
Последний вздох Разрушителя миров,,59,6,185,966,-1,1,11
Неприступный оплот,,60,3,186,967,-1,0,11
Длань падшего короля,,61,2,187,968,-1,0,11
Полярная Ночь,,64,1,344,0,-1,0,53
Средоточие Хранителя,,65,2,346,0,-1,0,53
Воля верховных магов,,66,4,351,0,-1,0,53
Память льда и пламени,,67,6,353,0,-1,1,53
Первозданный поток,,68,3,354,0,-1,0,53
