Description_lang,SortedProperty_lang,ID,ItemClass,ItemSubClass,InventoryType,OrderIndex,ParentCategory,DefaultAuctionHouseFilter,AuctionHouseExtraColumn
Оружие,Ур. пр.,1,3,0,13,100,0,0,1
Одноручное,Ур. пр.,2,0,0,0,10,1,0,1
Одноручные топоры,Ур. пр.,3,3,3,0,10,2,0,1
Одноручное дробящее оружие,Ур. пр.,4,3,7,0,20,2,0,1
Одноручные мечи,Ур. пр.,5,3,10,0,30,2,0,1
Боевые клинки,Ур. пр.,6,3,12,0,40,2,0,1
Кинжалы,Ур. пр.,7,3,18,0,50,2,0,1
Кистевое оружие,Ур. пр.,8,3,16,0,60,2,0,1
Жезлы,Ур. пр.,9,3,56,0,70,2,0,1
Двуручное,Ур. пр.,10,0,0,0,20,1,0,1
Двуручные топоры,Ур. пр.,11,3,4,0,10,10,0,1
Двуручное дробящее оружие,Ур. пр.,12,3,8,0,20,10,0,1
Двуручные мечи,Ур. пр.,13,3,11,0,30,10,0,1
Древковое оружие,Ур. пр.,14,3,9,0,40,10,0,1
Посохи,Ур. пр.,15,3,13,0,50,10,0,1
Оружие дальнего боя,Ур. пр.,16,0,0,0,30,1,0,1
Луки,Ур. пр.,17,3,5,0,10,16,0,1
Арбалеты,Ур. пр.,18,3,55,0,20,16,0,1
Огнестрельное,Ур. пр.,19,3,6,0,30,16,0,1
Метательное,Ур. пр.,20,3,34,0,40,16,0,1
Разное,Ур. пр.,21,0,0,0,40,1,0,1
Удочки,Ур. пр.,22,3,57,0,10,21,0,1
Другое,Ур. пр.,23,3,17,0,20,21,0,1
Доспехи,Ур. пр.,24,5,0,0,200,0,0,1
Латные,Ур. пр.,25,5,23,0,10,24,0,1
Вырезание рун,Ур. пр.,26,5,23,0,10,25,13,1
Голова,Ур. пр.,27,5,23,1,20,25,0,1
Плечи,Ур. пр.,28,5,23,3,30,25,0,1
Грудь,Ур. пр.,29,5,23,5,40,25,0,1
Пояс,Ур. пр.,30,5,23,6,50,25,0,1
Ноги,Ур. пр.,31,5,23,7,60,25,0,1
Ступни,Ур. пр.,32,5,23,8,70,25,0,1
Запястья,Ур. пр.,33,5,23,9,80,25,0,1
Кисти рук,Ур. пр.,34,5,23,10,90,25,0,1
Кольчужные,Ур. пр.,35,5,22,0,20,24,0,1
Вырезание рун,Ур. пр.,36,5,22,0,10,35,13,1
Голова,Ур. пр.,37,5,22,1,20,35,0,1
Плечи,Ур. пр.,38,5,22,3,30,35,0,1
Грудь,Ур. пр.,39,5,22,5,40,35,0,1
Пояс,Ур. пр.,40,5,22,6,50,35,0,1
Ноги,Ур. пр.,41,5,22,7,60,35,0,1
Ступни,Ур. пр.,42,5,22,8,70,35,0,1
Запястья,Ур. пр.,43,5,22,9,80,35,0,1
Кисти рук,Ур. пр.,44,5,22,10,90,35,0,3
Кожаные,Ур. пр.,45,5,21,0,30,24,0,1
Вырезание рун,Ур. пр.,46,5,21,0,10,45,13,1
Голова,Ур. пр.,47,5,21,1,20,45,0,1
Плечи,Ур. пр.,48,5,21,3,30,45,0,1
Грудь,Ур. пр.,49,5,21,5,40,45,0,1
Пояс,Ур. пр.,50,5,21,6,50,45,0,1
Ноги,Ур. пр.,51,5,21,7,60,45,0,1
Ступни,Ур. пр.,52,5,21,8,70,45,0,1
Запястья,Ур. пр.,53,5,21,9,80,45,0,1
Кисти рук,Ур. пр.,54,5,21,10,90,45,0,1
Тканевые,Ур. пр.,55,5,20,0,40,24,0,1
Вырезание рун,Ур. пр.,56,5,20,0,10,55,13,1
Голова,Ур. пр.,57,5,20,1,20,55,0,1
Плечи,Ур. пр.,58,5,20,3,30,55,0,1
Грудь,Ур. пр.,59,5,20,5,40,55,0,1
Пояс,Ур. пр.,60,5,20,6,50,55,0,1
Ноги,Ур. пр.,61,5,20,7,60,55,0,1
Ступни,Ур. пр.,62,5,20,8,70,55,0,1
Запястья,Ур. пр.,63,5,20,9,80,55,0,1
Кисти рук,Ур. пр.,64,5,20,10,90,55,0,1
Разное,Ур. пр.,65,5,19,0,50,24,0,1
Вырезание рун,Ур. пр.,66,5,19,0,10,65,13,1
Шея,Ур. пр.,67,5,19,2,20,65,0,1
Плащ,Ур. пр.,68,5,20,16,30,65,0,1
Палец,Ур. пр.,69,5,19,11,40,65,0,1
Аксессуар,Ур. пр.,70,5,19,12,50,65,0,1
Левая рука,Ур. пр.,71,5,19,23,60,65,0,1
Щиты,Ур. пр.,72,5,25,14,70,65,0,3
Рубашка,Ур. пр.,73,5,19,4,80,65,0,1
Голова,Ур. пр.,74,5,19,1,90,65,0,1
Декоративные,Ур. пр.,75,5,24,0,60,24,0,1
Сумки,Ячейки,76,2,0,0,300,0,0,2
Сумка,Ячейки,77,2,2,0,10,76,0,2
Сумка шахтера,Ячейки,78,2,118,0,20,76,0,2
Ящик для рыболовных снастей,Ячейки,79,2,171,0,30,76,0,2
Сумка начертателя,Ячейки,80,2,167,0,40,76,0,2
Сумка кожевника,Ячейки,81,2,149,0,50,76,0,2
Сумка травника,Ячейки,82,2,109,0,60,76,0,2
Сумка зачаровывателя,Ячейки,83,2,110,0,70,76,0,2
Сумка инженера,Ячейки,84,2,111,0,80,76,0,2
Сумка ювелира,Ячейки,85,2,116,0,90,76,0,2
Сумка для продуктов,Ячейки,86,2,179,0,100,76,0,2
Самоцветы,Ур. пр.,87,4,0,0,400,0,0,1
Реликвия артефакта,Ур. пр.,88,4,187,0,10,87,0,1
Интеллект,Ур. пр.,89,4,36,0,20,87,0,1
Ловкость,Ур. пр.,90,4,119,0,30,87,0,1
Сила,Ур. пр.,91,4,120,0,40,87,0,1
Выносливость,Ур. пр.,92,4,121,0,50,87,0,1
Критический удар,Ур. пр.,93,4,123,0,60,87,0,1
Искусность,Ур. пр.,94,4,124,0,70,87,0,1
Скорость,Ур. пр.,95,4,125,0,80,87,0,1
Универсальность,Ур. пр.,96,4,126,0,90,87,0,1
Другое,Ур. пр.,97,4,169,0,100,87,0,1
Различные характеристики,Ур. пр.,98,4,170,0,110,87,0,1
Улучшения предметов,Ур. пр.,99,9,0,0,500,0,0,1
Грудь,Ур. пр.,100,9,191,0,10,99,0,1
Запястья,Ур. пр.,101,9,192,0,20,99,0,1
Кисти рук,Ур. пр.,102,9,193,0,30,99,0,1
Разное,Ур. пр.,103,9,201,0,40,99,0,1
Голова,Ур. пр.,104,9,48,0,50,99,0,1
Двуручное оружие,Ур. пр.,105,9,199,0,60,99,0,1
Щит/Левая рука,Ур. пр.,106,9,200,0,70,99,0,1
Плечи,Ур. пр.,107,9,189,0,80,99,0,1
Плащ,Ур. пр.,108,9,190,0,90,99,0,1
Оружие,Ур. пр.,109,9,198,0,100,99,0,1
Палец,Ур. пр.,110,9,197,0,110,99,0,1
Ступни,Ур. пр.,111,9,196,0,120,99,0,1
Ноги,Ур. пр.,112,9,195,0,130,99,0,1
Пояс,Ур. пр.,113,9,194,0,140,99,0,1
Расход. предметы,Уровень,114,1,0,0,600,0,0,3
Вантийские руны,Уровень,115,1,184,0,10,114,0,3
Настои и флаконы,Уровень,116,1,131,0,20,114,0,3
Взрывчатка и устройства,Уровень,117,1,43,0,30,114,0,3
Зелья,Уровень,118,1,44,0,40,114,0,3
Эликсиры,Уровень,119,1,45,0,50,114,0,3
Еда и напитки,Уровень,120,1,133,0,60,114,0,3
Бинты,Уровень,121,1,135,0,70,114,0,3
Другое,Уровень,122,1,136,0,80,114,0,3
Символы,,123,17,0,0,700,0,0,0
Друид,,124,17,161,0,10,123,0,0
Чернокнижник,,125,17,160,0,20,123,0,0
Маг,,126,17,159,0,30,123,0,0
Шаман,,127,17,158,0,40,123,0,0
Жрец,,128,17,157,0,50,123,0,0
Разбойник,,129,17,156,0,60,123,0,0
Охотник,,130,17,155,0,70,123,0,0
Паладин,,131,17,154,0,80,123,0,0
Рыцарь смерти,,132,17,162,0,90,123,0,0
Монах,,133,17,177,0,100,123,0,0
Воин,,134,17,153,0,110,123,0,0
Охотник на демонов,,135,17,183,0,120,123,0,0
Хозяйственные товары,,136,8,0,0,800,0,0,0
Ткань,,137,8,137,0,10,136,0,0
Кожа,,138,8,138,0,20,136,0,0
Металл и камень,,139,8,139,0,30,136,0,0
Кулинария,,140,8,140,0,40,136,0,0
Трава,,141,8,141,0,50,136,0,0
Наложение чар,,142,8,148,0,50,136,0,0
Начертание,,143,8,185,0,60,136,0,0
Ювелирное дело,,144,8,115,0,70,136,0,0
Детали,,145,8,38,0,80,136,0,0
Стихии,,146,8,142,0,90,136,0,0
Дополнительные реагенты,,147,8,327,0,100,136,0,0
Другое,,148,8,143,0,120,136,0,0
Рецепты,Навык,149,10,0,0,900,0,0,4
Начертание,Навык,150,10,168,0,10,149,0,4
Портняжное дело,Навык,151,10,42,0,20,149,0,4
Кожевничество,Навык,152,10,41,0,30,149,0,4
Ювелирное дело,Навык,153,10,106,0,40,149,0,4
Алхимия,Навык,154,10,102,0,50,149,0,4
Кузнечное дело,Навык,155,10,100,0,60,149,0,4
Инженерное дело,Навык,156,10,99,0,70,149,0,4
Наложение чар,Навык,157,10,104,0,80,149,0,4
Кулинария,Навык,158,10,101,0,90,149,0,4
Первая помощь,Навык,159,10,103,0,100,149,0,4
Рыбная ловля,Навык,160,10,105,0,110,149,0,4
Книга,Навык,161,10,40,0,120,149,0,4
Боевые питомцы,Уровень,162,18,0,0,1000,0,0,3
Питомцы,Уровень,163,16,145,0,1000,162,0,3
Предметы,,164,13,0,0,1100,0,0,0
Разное,,165,16,0,0,1200,0,0,0
Хлам,,166,16,52,0,10,165,0,0
Реагенты,,167,16,144,0,20,165,0,0
Праздничные предметы,,168,16,146,0,30,165,0,0
Другое,,169,16,147,0,40,165,0,0
Транспорт,,170,16,152,0,50,165,0,0
Предметы для транспорта,,171,16,326,0,60,165,0,0
Экипировка профессии,Ур. пр.,172,145,0,0,950,0,0,1
Начертание,Ур. пр.,173,145,341,0,10,172,0,1
Портняжное дело,Ур. пр.,174,145,335,0,20,172,0,1
Кожевничество,Ур. пр.,175,145,330,0,30,172,0,1
Ювелирное дело,Ур. пр.,176,145,340,0,40,172,0,1
Алхимия,Ур. пр.,177,145,331,0,50,172,0,1
Кузнечное дело,Ур. пр.,178,145,329,0,60,172,0,1
Инженерное дело,Ур. пр.,179,145,336,0,70,172,0,1
Наложение чар,Ур. пр.,180,145,337,0,80,172,0,1
Кулинария,Ур. пр.,181,145,333,0,120,172,0,1
Рыбная ловля,Ур. пр.,182,145,338,0,130,172,0,1
Инструменты,Ур. пр.,183,145,341,29,10,173,0,1
Аксессуары,Ур. пр.,184,145,341,30,20,173,0,1
Инструменты,Ур. пр.,185,145,340,29,10,176,0,1
Аксессуары,Ур. пр.,186,145,340,30,20,176,0,1
Аксессуары,Ур. пр.,187,145,335,30,20,174,0,1
Инструменты,Ур. пр.,188,145,335,29,10,174,0,1
Инструменты,Ур. пр.,189,145,330,29,10,175,0,1
Аксессуары,Ур. пр.,190,145,330,30,20,175,0,1
Инструменты,Ур. пр.,191,145,331,29,10,177,0,1
Аксессуары,Ур. пр.,192,145,331,30,20,177,0,1
Инструменты,Ур. пр.,193,145,329,29,10,178,0,1
Аксессуары,Ур. пр.,194,145,329,30,20,178,0,1
Инструменты,Ур. пр.,195,145,336,29,10,179,0,1
Аксессуары,Ур. пр.,196,145,336,30,20,179,0,1
