ID,Name_lang,Description_lang,ButtonText_lang,RewardDescription_lang,ContinueDescription_lang,Type,PlayerConditionID,Flags,ButtonActionType,TextureFileDataID,LfgDungeonID,QuestID,BattleMasterListID,PriorityMin,PriorityMax,CurrencyType,CurrencyQuantity,UIMapID,BonusPlayerConditionID[0],BonusPlayerConditionID[1],BonusValue[0],BonusValue[1]
7,Предгорья Хилсбрада,"Присоединяйтесь к силам Отрекшихся, готовым защищать честь Орды, в предгорьях Хилсбрада!",Начать задание,,,0,33200,0,3,236779,0,28571,0,250,250,0,0,25,33600,33200,1,0
8,Ясеневый лес,Прогони ночных эльфов из Ясеневого леса. Орда нуждается в его ресурсах.,Начать задание,,,0,33201,0,3,236713,0,28493,0,250,250,0,0,63,33636,33201,1,0
9,Пещеры Стенаний,Отправляйся в пещеры Стенаний и сразись со злобными друидами-змеями.,Вступить в группу,,,6,33956,0,1,236450,1,0,0,90,90,0,0,0,33955,33956,0,0
10,Мертвые копи,"Необходимо исследовать заброшенные копи Западного края, где братство Справедливости собирает под свои знамена армию изгоев.",Вступить в группу,,,6,33202,0,1,236409,6,0,0,90,90,0,0,0,33957,33202,0,0
12,Крепость Темного Клыка,Над Серебряным бором возвышается разрушенная крепость. Когда-то это был оплот одного из знатных домов Гилнеаса.,Вступить в группу,,,6,33774,0,1,463876,8,0,0,90,90,0,0,0,33958,33774,0,0
13,Ущелье Песни Войны,Выиграйте сражение в ущелье Песни Войны на стороне Орды.,Вступить в бой!,,,5,33717,1,4,236350,0,0,2,10,10,0,0,0,34691,33717,1,0
14,Низина Арати,Сразитесь с игроками Альянса за низину Арати и выиграйте гонку за ресурсами на этом поле боя.,Вступить в бой!,,,5,33718,1,4,236712,0,0,3,10,10,0,0,0,34691,33718,1,0
17,Огненная Пропасть,В вулканических пещерах под Оргриммаром обосновался темный культ Пламенеющего Клинка. Уничтожь его!,Вступить в группу,,,6,33674,0,1,136216,4,0,0,90,90,0,0,0,33959,33674,0,0
21,Случайное подземелье,"Пройдите случайно выбранное подземелье дополнения Warlords of Draenor, чтобы усовершенствовать снаряжение своего персонажа!",Вступить в группу,,,6,33723,0,1,1042626,788,0,0,90,90,0,0,0,0,33723,0,0
27,Случайное поле боя,Сразитесь с другими игроками на случайно выбранном поле боя!,Вступить в бой!,,,5,34154,0,8,132269,0,0,32,10,10,0,0,0,33559,34154,4,0
29,Серебряный бор,Помоги Ставке Отрекшихся захватить порт Гилнеаса для Орды!,Начать задание,,,0,33561,0,3,236830,0,28568,0,250,250,0,0,21,33596,33561,1,0
30,Вайш'ир,"Присоединись к флоту сил вторжения и захвати новый остров у побережья Штормграда, столицы Альянса!",Начать задание,,,0,33562,0,3,409551,0,27718,0,250,250,0,0,203,33597,33562,0,0
31,Гора Хиджал,"Прислужники Смертокрыла атаковали Древо Жизни. Круг Кенария, наши союзники, нуждаются в помощи!",Начать задание,,,0,33563,0,3,409547,0,27721,0,250,250,0,0,198,33598,33563,0,0
32,Подземье,"Тралл и Служители Земли собрались атаковать обитель стихий Подземья, и им требуется твоя помощь!",Начать задание,,,0,33564,0,3,409546,0,27722,0,250,250,0,0,207,33599,33564,0,0
33,Предгорья Хилсбрада,"Присоединись к силам Отрекшихся, марширующим по предгорьям Хилсбрада во имя Орды!",Начать задание,,,0,33565,1,3,236779,0,28089,0,250,250,0,0,0,33600,33565,0,0
34,Северные степи,Свинобразы и кентавры вторглись в Северные степи. Без твоей помощи оттеснить их не получится!,Начать задание,,,0,33566,0,3,236717,0,28494,0,250,250,0,0,10,33601,33566,1,1
35,Азшара,Помоги оттеснить силы Альянса и захватить Азшару во имя Орды!,Начать задание,,,0,33567,0,3,236714,0,28496,0,250,250,0,0,76,33602,33567,1,1
36,Тысяча Игл,"Присоединись к силам Орды, ведущим борьбу против отступников Зловещего Тотема, захвативших Тысячу Игл.",Начать задание,,,0,33568,0,3,236848,0,28504,0,250,250,0,0,64,33603,33568,1,1
37,Танарис,"Помоги Орде и картелю Трюмных Вод закрепиться в Танарисе, прежде чем это сделает Альянс!",Начать задание,,,0,33569,0,3,236846,0,28509,0,250,250,0,0,71,33604,33569,1,0
38,Фералас,Помоги Орде захватить великий лес Фералас и защитить его от сил Альянса и Зловещего Тотема!,Начать задание,,,0,33570,0,3,236764,0,28510,0,250,250,0,0,69,33605,33570,1,1
39,Кратер Ун'Горо,"Окажи содействие экспедиции Маршалла, исследующей кратер Ун'Горо.",Начать задание,,,0,33571,0,3,236850,0,28526,0,250,250,0,0,78,33606,33571,1,0
40,Силитус,Нашим союзникам из Круга Кенария требуется помощь в их борьбе с Сумеречным Молотом в Силитусе.,Начать задание,,,0,33572,0,3,236829,0,28527,0,250,250,0,0,81,33607,33572,1,0
41,Когтистые горы,"Силы Орды в Когтистых горах нуждаются в твоей поддержке, чтобы защитить своих и оттеснить захватчиков Альянса.",Начать задание,,,0,33573,0,3,236831,0,28532,0,250,250,0,0,65,33611,33573,1,0
42,Оскверненный лес,"Круг Кенария собирается отбить Оскверненный лес у демонов и других зловещих созданий, но для этого ему потребуется твоя помощь!",Начать задание,,,0,33574,0,3,236763,0,28542,0,250,250,0,0,77,33612,33574,1,0
43,Зимние Ключи,"Донова Снегонора, кажется, придумала, как раз и навсегда покончить с угрозой, исходящей от фурболгов из племени Зимней Спячки в Зимних Ключах.",Начать задание,,,0,33575,0,3,236854,0,28545,0,250,250,0,0,83,33613,33575,1,0
