ID,Text_lang,SortIndex,Min_level,Max_level,ContentTuningID
201,"|cffffd100Совет.|r Чтобы прервать свое заклинание, переместитесь, подпрыгните или нажмите клавишу <ESC>.",2,20,250,0
222,"|cffffd100Совет.|r Чтобы увидеть, как предмет будет смотреться на персонаже, щелкните по этому предмету, зажав Ctrl.",4,20,250,0
223,"|cffffd100Совет.|r Если название предмета написано серым цветом, значит, этот предмет низкого качества. Обычно такие вещи продают торговцам.",5,6,250,0
224,"|cffffd100Совет.|r Если название предмета написано белым цветом, значит, он может быть полезен. Вы можете использовать этот предмет сами или выставить его на аукцион.",6,20,250,0
225,"|cffffd100Совет.|r В любом почтовом ящике можно оставить письмо для другого игрока или вашего альтернативного персонажа, если они находятся в вашем игровом мире.",7,20,250,0
226,|cffffd100Совет.|r В сообщение можно вставить ссылку на какой-либо игровой предмет. Для этого щелкните по нужному предмету при нажатой клавише <Shift>.,8,30,250,0
227,"|cffffd100Совет.|r Вы можете переназначить клавиши управления в меню, нажав клавишу Esc и выбрав ""Назначение клавиш"".",11,15,250,0
229,"|cffffd100Совет.|r Если цель на вашей мини-карте отмечена серым цветом, она расположена в пещере или в здании, вне которого вы находитесь в данный момент.",12,11,49,0
230,"|cffffd100Совет.|r В игре можно выражать самые разные эмоции. Попробуйте, например, набрать команду /танец – и ваш персонаж примется танцевать.",17,25,250,0
231,"|cffffd100Совет.|r Чтобы настроить интерфейс по своему вкусу, нажмите Esc и выберите ""Интерфейс"".",20,10,49,0
234,"|cffffd100Совет.|r Значок в виде конверта рядом с мини-картой означает, что вам пришло письмо. Его можно получить в ближайшем почтовом ящике.",21,10,250,0
235,|cffffd100Совет.|r В меню настройки интерфейса (клавиша <ESC>) на игровой экран можно добавить дополнительные панели команд.,22,250,250,0
236,"|cffffd100Совет.|r Чтобы забрать всю добычу с поверженного противника, щелкните по нему ПКМ, зажав Shift.",23,10,49,0
237,"|cffffd100Совет.|r Если вам понравилось играть с кем-нибудь, добавьте этого игрока в список друзей!",27,20,250,0
240,"|cffffd100Совет.|r Если вы не хотите видеть сообщения от какого-то игрока, щелкните ПКМ по его имени и выберите ""Игнорировать"". Позже вы можете передумать.",159,10,250,0
241,"|cffffd100Совет.|r Вы можете выбирать участников группы с помощью функциональных клавиш. Чтобы выбрать себя, нажмите F1, чтобы выбрать второго игрока из группы – F2 и так далее.",31,40,250,0
242,"|cffffd100Совет.|r Будьте вежливы с товарищами по группе, и вас непременно пригласят в следующий раз!",30,0,0,0
243,"|cffffd100Совет.|r Во вкладке репутации записаны названия различных фракций. Щелкнув по названию фракции, вы получите дополнительные сведения о ней, а также сможете выполнить ряд других связанных с нею действий.",32,0,0,0
