ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
2,Максимальный запас золота,0,0,4,0,0,0
3,Максимальный запас золота,2,0,0,4224,1,8
5,Количество верховых животных,0,0,4,0,0,0
6,Количество средств передвижения,5,0,0,4787,1,0
8,Наденьте тыквы на головы представителям следующих рас.,0,0,4,0,0,0
9,Дворф,8,1,0,5776,3,0
10,Гном,8,1,0,5772,4,0
11,Эльф крови,8,1,0,5774,1,0
12,Дреней,8,1,0,5775,2,0
13,Человек,8,1,0,5777,6,0
14,Ночной эльф,8,1,0,5778,7,0
15,Орк,8,1,0,5779,8,0
16,Таурен,8,1,0,5780,9,0
17,Тролль,8,1,0,5781,10,0
18,Нежить,8,1,0,5782,11,0
19,Ворген,8,1,0,17854,12,0
20,Гоблин,8,1,0,17855,5,0
22,Проиграно дуэлей,0,0,4,0,0,0
23,Проиграно дуэлей,22,0,0,3630,1,0
25,"Смерти от боссов, рейд Lich King (25 игроков)",0,0,5,0,0,0
26,Разрушитель XT-002,25,0,0,11019,25,0
27,Фрейя,25,0,0,11027,33,0
28,Мимирон,25,0,0,11028,34,0
29,Генерал Везакс,25,0,0,11029,35,0
30,Йогг-Сарон,25,0,0,11030,36,0
31,Алгалон Наблюдатель,25,0,0,11031,37,0
32,Эмалон Страж Бури,25,0,0,11032,38,0
33,"""Огненный Левиафан""",25,0,0,11016,22,0
34,Острокрылая,25,0,0,11017,23,0
35,Повелитель горнов Игнис,25,0,0,11018,24,0
36,Ауриайя,25,0,0,11024,30,0
37,Ходир,25,0,0,11025,31,0
38,Сталелом,25,0,0,11020,26,0
39,Буревестник Брундир,25,0,0,11022,28,0
40,Кологарн,25,0,0,11023,29,0
41,Таддиус,25,0,0,7839,13,0
42,Тан Корт'азз,25,0,0,7845,7,0
43,Лоскутик,25,0,0,7838,14,0
44,Сапфирон,25,0,0,7840,12,0
45,Кел'Тузад,25,0,0,7841,11,0
46,Леди Бломе,25,0,0,7842,10,0
47,Барон Ривендер,25,0,0,7843,9,0
48,Нот Чумной,25,0,0,7837,15,0
49,Хейган Нечестивый,25,0,0,7833,19,0
50,Аркавон Страж Камня,25,0,0,7848,4,0
51,Ануб'Рекан,25,0,0,7828,1,0
52,Глут,25,0,0,7829,21,0
53,Готик Жнец,25,0,0,7830,2,0
54,Великая вдова Фарлина,25,0,0,7831,20,0
55,Гроббулус,25,0,0,7832,3,0
56,Инструктор Разувий,25,0,0,7834,18,0
57,Лотхиб,25,0,0,7835,17,0
58,Мексна,25,0,0,7836,16,0
59,Сартарион,25,0,0,7846,6,0
60,Ануб'арак,25,0,0,13296,44,0
61,Леди Смертный Шепот,25,0,0,13298,46,0
62,Торавон Страж Льда,25,0,0,13291,39,0
63,Гниломорд,25,0,0,13304,52,0
64,Ледяной Рев,25,0,0,13292,40,0
65,Сэр Зелиек,25,0,0,7844,8,0
66,Малигос,25,0,0,7847,5,0
67,Лорд Джараксус,25,0,0,13293,41,0
68,Фьола Погибель Света,25,0,0,13294,42,0
69,Лорд Ребрад,25,0,0,13297,45,0
70,Саурфанг Смертоносный,25,0,0,13299,47,0
71,Кровавая королева Лана'тель,25,0,0,13300,48,0
72,Синдрагоса,25,0,0,13301,49,0
73,Король-лич,25,0,0,13302,50,0
74,Тухлопуз,25,0,0,13303,51,0
75,Профессор Мерзоцид,25,0,0,13305,53,0
76,Эйдис Погибель Тьмы,25,0,0,13295,43,0
77,Мастер рун Молгейм,25,0,0,11021,27,0
78,Торим,25,0,0,11026,32,0
80,"Заслужите звание ""Главнокомандующий"".",0,0,4,0,0,0
81,Главнокомандующий,80,0,0,707,1,2
83,"Заслужите звание ""Лейтенант-командор"".",0,0,4,0,0,0
