ID,FeatureDescription_lang,FeatureIcon,ParentID
1,Откройте для себя новый класс – охотник на демонов,1260827,2
2,"Достигните 110-го уровня, исследуя Расколотые острова",1064187,2
4,Тысячи новых увлекательных заданий!,236669,5
5,"Достигните 100-го уровня, исследуя мир Дренора",1033987,5
6,Постройте и усовершенствуйте свой гарнизон.,1033989,5
7,Тысячи новых увлекательных заданий!,236669,4
8,Сражайтесь до 70-го уровня,236567,4
9,"Дает доступ к 9 дополнениям, включая Dragonflight",1064187,4
10,Заключите союзы с новыми расами,413576,6
11,"Достигните 120-го уровня, исследуя Кул-Тирас и Зандалар",1064187,6
12,Мгновенно получите 110-й уровень,1033988,6
116,Сражайтесь и развивайте персонажа до 60-го уровня в Темных Землях.,236567,115
117,Вступите в ковенант и обретите его силу.,3726261,115
118,"Поднимитесь на вершину Торгаста, Башни Проклятых.",3257863,115
122,"Достигните 70-го уровня, исследуя Драконьи острова",1064187,135
123,Освойте новый класс – драктир-пробудитель,4696175,135
124,Ощутите азарт полета на драконах,4640496,135
125,Начните приключения в саге о душе мира,1064187,143
126,"Достигните 80-го уровня, осваивая новые таланты героя",135981,143
127,Совершайте вылазки со спутником-NPC,1786405,143
131,Оформите предзаказ Midnight и продолжите сагу о душе мира,1778229,149
132,"Начните игру в The War Within и покоряйте новые вылазки, подземелья и рейды",6025441,149
133,Получите ключи от дома и украшайте его собранными предметами декора,7252953,149
