ID,ZoneName_lang,AlteredFormCustomizeOffset[0],AlteredFormCustomizeOffset[1],AlteredFormCustomizeOffset[2],ChrModel_9_0_1_35522_001Override[0],ChrModel_9_0_1_35522_001Override[1],ChrModel_9_0_1_35522_001Override[2],ChrModel_9_0_1_35522_001Override_Female[0],ChrModel_9_0_1_35522_001Override_Female[1],ChrModel_9_0_1_35522_001Override_Female[2],ChrClassesID,ZoneImageAtlas,MaleCharacterCreationVisual,MaleCharacterCreationIdleVisual,FemaleCharacterCreationVisual,FemaleCharacterCreationIdleVisual,CharacterCreationIdleGroundVisual,CharacterCreationGroundVisual,AlteredFormCharacterCreationIdleVisual,AlteredFormCustomizeRotation,CharacterCreationAnimLoopWaitTimeMs,ChrRacesID
0,Долина Североземья,0,0,0,0,0,0,0,0,0,8,12427,0,0,0,0,0,0,0,0,0,1
1,Долина Североземья,0,0,0,0,0,0,0,0,0,9,12427,0,0,0,0,0,0,0,0,0,1
2,Тенистая долина,0,0,0,0,0,0,0,0,0,3,12433,0,0,0,0,133508,0,0,0,0,4
3,Плато Красного Облака,0,0,0,0,0,0,0,0,0,3,12436,0,0,0,0,133570,0,0,0,0,6
4,Плато Красного Облака,0,0,0,0,0,0,0,0,0,7,12436,0,0,0,0,0,132530,0,0,0,6
5,Долина Аммен,0,0,0,0,0,0,0,0,0,1,12417,0,0,0,0,0,0,0,0,0,11
6,Долина Аммен,0,0,0,0,0,0,0,0,0,3,12417,131761,132614,0,0,133584,0,0,0,0,11
7,Остров Солнечного Скитальца,0,0,0,0,0,0,0,0,0,5,12422,0,0,0,0,0,134410,0,0,0,10
8,Остров Солнечного Скитальца,0,0,0,0,0,0,0,0,0,4,12422,0,133196,0,0,0,0,0,0,0,10
9,Остров Солнечного Скитальца,0,0,0,0,0,0,0,0,0,8,12422,0,0,134112,0,0,0,0,0,0,10
10,Остров Солнечного Скитальца,0,0,0,0,0,0,0,0,0,9,12422,0,0,0,0,0,0,0,0,0,10
11,Долина Аммен,0,0,0,0,0,0,0,0,0,2,12417,0,0,0,0,0,0,0,0,0,11
12,Остров Солнечного Скитальца,0,0,0,0,0,0,0,0,0,2,12422,135104,135107,128833,132580,0,0,0,0,0,10
13,Долина Аммен,0,0,0,0,0,0,0,0,0,5,12417,0,0,0,0,0,0,0,0,0,11
14,Долина Аммен,0,0,0,0,0,0,0,0,0,7,12417,0,0,0,0,0,132521,0,0,0,11
15,Острова Эха,0,0,0,0,0,0,0,0,0,7,12437,0,0,0,0,0,132520,0,0,0,8
16,Похоронный Звон,0,0,0,0,0,0,0,0,0,4,12438,0,133196,0,0,0,0,0,0,0,5
17,Тенистая долина,0,0,0,0,0,0,0,0,0,1,12433,0,0,0,0,0,0,0,0,0,4
18,Долина Испытаний,0,0,0,0,0,0,0,0,0,9,12434,0,0,0,0,0,0,0,0,0,2
19,Долина Испытаний,0,0,0,0,0,0,0,0,0,3,12434,0,0,0,0,133516,0,0,0,0,2
20,Долина Аммен,0,0,0,0,0,0,0,0,0,8,12417,0,0,0,0,0,0,0,0,0,11
21,Гномреган,0,0,0,0,0,0,0,0,0,4,12424,0,0,0,0,0,0,0,0,0,7
22,Гномреган,0,0,0,0,0,0,0,0,0,8,12424,0,0,0,0,0,0,0,0,0,7
23,Гномреган,0,0,0,0,0,0,0,0,0,9,12424,0,0,0,0,0,0,0,0,0,7
24,Острова Эха,0,0,0,0,0,0,0,0,0,5,12437,0,0,0,0,0,134410,0,0,0,8
25,Долина Аммен,0,0,0,0,0,0,0,0,0,10,12417,0,0,0,0,0,0,0,0,0,11
26,Холодная долина,0,0,0,0,0,0,0,0,0,10,12423,0,0,0,0,0,0,0,0,0,3
27,Долина Североземья,0,0,0,0,0,0,0,0,0,10,12427,0,0,0,0,0,0,0,0,0,1
28,Плато Красного Облака,0,0,0,0,0,0,0,0,0,1,12436,0,0,0,0,0,0,0,0,0,6
29,Холодная долина,0,0,0,0,0,0,0,0,0,2,12423,0,0,0,0,0,0,0,0,0,3
30,Долина Испытаний,0,0,0,0,0,0,0,0,0,7,12434,0,0,0,0,0,132918,0,0,0,2
31,Холодная долина,0,0,0,0,0,0,0,0,0,3,12423,131761,132614,0,0,133506,0,0,0,0,3
32,Похоронный Звон,0,0,0,0,0,0,0,0,0,8,12438,0,0,0,0,0,0,0,0,0,5
33,Острова Эха,0,0,0,0,0,0,0,0,0,3,12437,0,0,0,0,133572,0,0,0,0,8
34,Похоронный Звон,0,0,0,0,0,0,0,0,0,9,12438,0,0,0,0,0,0,0,0,0,5
35,Тенистая долина,0,0,0,0,0,0,0,0,0,4,12433,0,0,0,0,0,0,0,0,0,4
36,Холодная долина,0,0,0,0,0,0,0,0,0,8,12423,0,0,0,0,0,0,0,0,0,3
37,"""Акерус: Черный оплот""",0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,1
38,"""Акерус: Черный оплот""",0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,2
39,"""Акерус: Черный оплот""",0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,3
40,"""Акерус: Черный оплот""",0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,4
41,"""Акерус: Черный оплот""",0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,5
42,"""Акерус: Черный оплот""",0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,8
43,"""Акерус: Черный оплот""",0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,10
44,"""Акерус: Черный оплот""",0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,11
45,Долина Североземья,0,0,0,0,0,0,0,0,0,1,12427,0,0,0,0,0,0,0,0,0,1
46,Долина Североземья,0,0,0,0,0,0,0,0,0,2,12427,0,0,133483,133440,0,0,0,0,0,1
47,Гномреган,0,0,0,0,0,0,0,0,0,1,12424,0,0,0,0,0,0,0,0,0,7
48,Долина Испытаний,0,0,0,0,0,0,0,0,0,1,12434,132937,132938,128667,132581,0,0,0,0,0,2
49,Холодная долина,0,0,0,0,0,0,0,0,0,5,12423,0,0,0,0,0,0,0,0,0,3
50,Острова Эха,0,0,0,0,0,0,0,0,0,4,12437,0,133196,0,0,0,0,0,0,0,8
51,Долина Испытаний,0,0,0,0,0,0,0,0,0,4,12434,0,133196,0,0,0,0,0,0,0,2
52,Холодная долина,0,0,0,0,0,0,0,0,0,1,12423,0,0,0,0,0,0,0,0,0,3
53,Холодная долина,0,0,0,0,0,0,0,0,0,4,12423,0,0,0,0,0,0,0,0,0,3
54,Тенистая долина,0,0,0,0,0,0,0,0,0,11,12433,0,0,0,0,0,0,0,0,0,4
55,Похоронный Звон,0,0,0,0,0,0,0,0,0,5,12438,0,0,0,0,0,134410,0,0,0,5
56,Похоронный Звон,0,0,0,0,0,0,0,0,0,1,12438,0,0,0,0,0,0,0,0,0,5
57,Плато Красного Облака,0,0,0,0,0,0,0,0,0,11,12436,0,0,0,0,0,0,0,0,0,6
58,"""Акерус: Черный оплот""",0,0,0,0,0.09,0,0,0.12,0,6,12420,0,0,0,0,0,0,0,0,0,6
59,"""Акерус: Черный оплот""",0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,7
60,Гномреган,0,0,0,0,0,0,0,0,0,3,12424,131761,132614,0,0,133580,0,0,0,0,7
61,Острова Эха,0,0,0,0,0,0,0,0,0,1,12437,0,0,0,0,0,0,0,0,0,8
62,"""Акерус: Черный оплот""",-2,1.9,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0.2,0,22
63,Гилнеас,0,0,0,0,0,0,0,0,0,11,12449,129374,0,0,0,0,0,0,0,0,22
64,Гилнеас,0,0,0,0,0,0,0,0,0,3,12449,131761,132614,0,0,133608,0,0,0,0,22
65,Гилнеас,0,0,0,0,0,0,0,0,0,8,12449,0,0,0,0,0,0,0,0,0,22
66,Гилнеас,0,0,0,0,0,0,0,0,0,4,12449,0,0,0,0,0,0,0,0,0,22
67,Острова Эха,0,0,0,0,0,0,0,0,0,8,12437,0,0,0,0,0,0,0,0,0,8
68,Долина Североземья,0,0,0,0,0,0,0,0,0,5,12427,0,0,0,0,0,0,0,0,0,1
69,Порт Трюмных Вод,0,0,0,0,0,0,0,0,0,1,12425,0,0,0,0,0,0,0,0,0,9
70,Долина Североземья,0,0,0,0,0,0,0,0,0,3,12427,0,0,0,0,133510,0,0,0,0,1
71,Плато Красного Облака,0,0,0,0,0,0,0,0,0,2,12436,0,0,0,0,0,0,0,0,0,6
72,Плато Красного Облака,0,0,0,0,0,0,0,0,0,5,12436,0,0,0,0,0,134410,0,0,0,6
73,Холодная долина,0,0,0,0,0,0,0,0,0,7,12423,0,0,0,0,0,132522,0,0,0,3
74,Острова Эха,0,0,0,0,0,0,0,0,0,11,12437,0,0,0,0,0,0,0,0,0,8
75,Гномреган,0,0,0,0,0,0,0,0,0,5,12424,0,0,0,0,0,0,0,0,0,7
76,Тенистая долина,0,0,0,0,0,0,0,0,0,8,12433,0,0,0,0,0,0,0,0,0,4
77,Долина Испытаний,0,0,0,0,0,0,0,0,0,8,12434,134112,0,0,0,0,0,0,0,0,2
78,Похоронный Звон,0,0,0,0,0,0,0,0,0,3,12438,131761,132614,0,0,133571,0,0,0,0,5
79,Гилнеас,0,0,0,0,0,0,0,0,0,5,12449,0,0,0,0,0,0,0,0,0,22
80,Гномреган,0,0,0,0,0,0,0,0,0,10,12424,0,0,0,0,0,0,0,0,0,7
81,Тенистая долина,0,0,0,0,0,0,0,0,0,10,12433,0,0,0,0,0,0,0,0,0,4
82,Остров Солнечного Скитальца,0,0,0,0,0,0,0,0,0,10,12422,0,0,0,0,0,0,0,0,0,10
