Description_lang,ID,MapID
Захваты флага,42,489
Возвраты флага,44,489
Штурмы башен,61,30
Штурмы кладбищ,63,30
Оборона башен,64,30
Оборона кладбищ,65,30
Доп. цели,82,30
Штурмы баз,122,529
Оборона баз,123,529
Захваты флага,183,566
Разбито стен,215,571
Уничтожено строений,216,571
Врат разрушено,231,607
Разрушителей уничтожено,232,607
Штурмы баз,245,628
Оборона баз,246,628
Захваты флага,290,726
Возвраты флага,291,726
Штурмы баз,370,761
Оборона баз,371,761
Штурмы баз,391,968
Оборона баз,392,968
Захваты флага,393,968
Захваты сферы,418,998
Очки победы,419,998
Захваты флага,422,1010
Возвраты флага,423,1010
Захваты вагонеток,428,727
Захваты вагонеток,457,1105
Возвраты вагонеток,458,1105
Штурмы рудников,459,1105
Защиты рудников,460,1105
Счет,501,451
Штурмы баз,679,1681
Оборона баз,680,1681
Штурмы баз,688,2177
Оборона баз,690,2177
Собрано азерита,744,1803
Захваты флага,762,1740
Возвраты флага,763,1740
Собранные ингредиенты,923,1691
Штурмы баз,926,2107
Оборона баз,927,2107
Захваты флага,928,2106
Возвраты флага,929,2106
Собрано артефактов,931,1191
Штурмы баз,1001,2245
Оборона баз,1002,2245
Штурмы башен,1003,2197
Доп. цели,1004,2197
Оборона кладбищ,1005,2197
Оборона башен,1006,2197
Штурмы кладбищ,1007,2197
Выиграно раундов,1008,1505
Выиграно раундов,1009,1672
Выиграно раундов,1010,1134
Выиграно раундов,1011,980
Выиграно раундов,1012,572
Выиграно раундов,1013,1911
Выиграно раундов,1014,1504
Выиграно раундов,1015,2509
Выиграно раундов,1016,2511
Выиграно раундов,1017,2547
Выиграно раундов,1018,2563
Захваты флага,1020,2656
Захваты вагонеток,1021,2656
Выиграно раундов,1022,2759
