ID,Name_lang,UiMapGroupID,UiMapID,FloorIndex,RelativeHeightIndex
485,Рудник Подземных Глубин,139,38,1,0
486,Нижняя часть шахты,139,39,2,0
487,Пик Черной горы,140,33,14,0
488,Пещеры Черной горы,140,34,15,0
489,Глубины Черной горы,140,35,16,0
490,Хозяйский погреб,141,44,23,0
491,Нижний погреб,141,45,24,0
492,Оргриммар,142,85,0,0
493,Расселина Теней,142,86,1,0
496,Оскверненный грот,144,67,21,0
497,Зловонная пещера,144,68,22,0
498,Крепость Тирагард,145,3,10,0
499,Дом вождей,145,4,11,0
500,Верхняя часть,146,60,4,0
501,Нижняя часть,146,61,5,0
502,Внутренний двор,147,310,1,0
503,Обеденный зал,147,311,2,0
504,Свободная берлога,147,312,3,0
505,Нижняя обсерватория,147,313,4,0
506,Верхняя обсерватория,147,314,5,0
507,Палата лорда Годфри,147,315,6,0
508,Крепостной вал,147,316,7,0
509,Мертвые копи,148,291,1,0
510,Потайная бухта,148,292,2,0
511,Пруд Аск'ара,149,221,1,0
512,Алтарь святилища Луны,149,222,2,0
513,Забытый пруд,149,223,3,0
514,Зал Хранителей,150,230,1,0
515,Трон Каз'горота,150,231,2,0
516,Машинный зал,151,226,1,0
517,Спальни,151,227,2,0
518,Пусковая установка,151,228,3,0
519,Двор Механиков,151,229,4,0
520,Кладбище,152,302,0,0
521,Библиотека,152,303,1,0
522,Оружейная,152,304,2,0
523,Собор,152,305,3,0
524,Тазз'Алор,153,250,1,0
525,Паучий лабиринт,153,251,2,0
526,Ордамар,153,252,3,0
527,Зал Чернорука,153,253,4,0
528,Логово Халикон,153,254,5,0
529,Чертог Битвы,153,255,6,0
530,Тюремный блок,154,242,1,0
531,Тенегорн,154,243,2,0
532,Хранилище реликвий,155,306,1,0
533,Чертог Призыва,155,307,2,0
534,Верхний кабинет,155,308,3,0
535,Кабинет ректора,155,309,4,0
536,Площадь рыцарей,156,317,1,0
537,Улица Испытаний,156,318,2,0
538,Пещеры Мародона,157,280,1,0
539,Могила Зейтара,157,281,2,0
540,Подземный поезд,158,499,1,0
541,"Потасовочная ""У Бизмо""",158,500,2,0
542,Палаты Гордока,159,235,1,0
543,Центральный сад,159,236,2,0
544,Двор высокорожденных,159,237,3,0
545,Тюрьма Бессмер'тера,159,238,4,0
546,Квартал Криводревов,159,239,5,0
547,Святилище Элдретарра,159,240,6,0
548,Гарнизон Драконьей Пасти,160,287,1,0
549,Залы Раздора,160,288,2,0
550,Багровые лаборатории,160,289,3,0
551,Логово Нефариана,160,290,4,0
552,Подземелье улья,161,319,1,0
553,Ворота храма,161,320,2,0
554,Обитель К'Туна,161,321,3,0
555,Комнаты слуг,162,350,1,0
556,Стойла,162,351,2,0
557,Пиршественный зал,162,352,3,0
558,Гостевые комнаты,162,353,4,0
559,Балкон в опере,162,354,5,0
560,Терраса Медива,162,355,6,0
561,Низ разрушенной лестницы,162,356,7,0
562,Верх разрушенной лестницы,162,357,8,0
563,Зверинец,162,358,9,0
564,Библиотека Хранителя,162,359,10,0
565,Хранилище,162,360,11,0
566,Верхний ярус библиотеки,162,361,12,0
567,Обсерватория,162,362,13,0
568,Игровой зал,162,363,14,0
569,Покои Медива,162,364,15,0
570,Энергетический блок,162,365,16,0
571,Пустомарь,162,366,17,0
572,Квартал Мерзости,163,162,1,0
573,Паучий квартал,163,163,2,0
