ID,Name_lang,SafeLocID,PlayerConditionID,Flags,Field_8_2_0_30080_005,Field_8_2_0_30080_006,WaypointMapVolumeID
6,Воспользуйтесь порталом из Башни магов в Нефритовый лес,7262,67395,68,1,10,0
7,"Башня магов, портал в Нефритовый лес",7263,123820,0,2,0,0
8,Выйдите из Башни магов,7264,20068,68,0,30,0
9,Войдите в башню магов,7266,924,0,0,0,0
10,Воспользуйтесь порталом из Восточного святилища Земли в Ульдум,7267,37426,0,1,0,0
11,Воспользуйтесь порталом из Восточного святилища Земли на гору Хиджал,7268,37427,0,1,0,0
12,Воспользуйтесь порталом из Восточного святилища Земли на Сумеречное нагорье,7269,37428,0,1,0,0
13,Воспользуйтесь порталом из Восточного святилища Земли в Вайш'ир,7270,57340,0,1,0,0
14,Воспользуйтесь порталом из Восточного святилища Земли на Тол Барад,7271,123820,0,1,0,0
15,Воспользуйтесь порталом из Восточного святилища Земли в Подземье,7272,37429,0,1,0,0
16,Ульдум,7273,0,0,2,0,0
17,Гора Хиджал,7274,0,0,2,0,0
18,Воспользуйтесь порталом из Нордрассила в Штормград,7275,924,0,1,0,0
19,"Штормград, Восточное святилище Земли",7276,924,0,2,0,0
20,Сумеречное нагорье,7277,123820,0,2,0,0
21,Вайш'ир,7278,123820,0,2,0,0
22,"Восточное святилище Земли, портал на Тол Барад",7279,123820,0,2,0,0
23,Воспользуйтесь порталом из лагеря Барадин в Штормград,7280,123820,0,1,0,0
24,Подземье,7281,20068,0,2,0,0
25,Воспользуйтесь порталом из Храма Земли в Штормград,7282,20068,0,1,0,0
26,Воспользуйтесь порталом из деревни Лап'дон в Штормград,7283,123820,0,1,0,0
27,Воспользуйтесь порталом из Башни магов в лес Хрустальной Песни,7284,76876,68,1,10,0
28,"Башня магов, портал в лес Хрустальной Песни",7285,20068,0,2,0,0
29,Воспользуйтесь порталом из Серебряного Анклава в Штормград,7286,20068,0,1,0,0
30,Воспользуйтесь порталом из Башни магов в Экзодар,7287,123820,68,1,10,0
31,"Башня магов, портал в Экзодар",7288,123820,0,2,0,0
32,Воспользуйтесь порталом с острова Лазурной Дымки в Дарнас,7289,123820,1,1,0,0
33,"Темные берега, портал в Дарнас",7290,123820,0,2,0,0
36,Воспользуйтесь порталом со Ступеней Судьбы в Штормград,7293,123820,0,1,0,0
37,Воспользуйтесь порталом из Башни магов в Шаттрат,7294,6289,68,1,10,0
38,"Шаттрат, Терраса Света",7295,0,0,2,0,0
39,Воспользуйтесь порталом с Террасы Света на остров Кель'Данас,7296,0,0,1,0,0
40,"Терраса Света, портал на остров Кель'Данас",7297,0,0,2,0,0
41,Воспользуйтесь порталом с Террасы Света в Штормград,7298,123820,0,1,0,0
42,Воспользуйтесь порталом из Башни магов на Ашран,7299,67397,68,1,10,0
43,"Ашран, Преграда Ветров",7300,123820,2,2,0,0
44,Воспользуйтесь порталом из Преграды Ветров в Дарнас,7301,123820,1,1,0,0
45,Воспользуйтесь порталом из Преграды Ветров в Стальгорн,7302,123820,1,1,0,0
46,"Преграда Ветров, портал в Стальгорн",7303,123820,0,2,0,0
47,Воспользуйтесь порталом из Преграды Ветров в Штормград,7304,123820,0,1,0,0
48,Воспользуйтесь порталом из Башни магов в Азсуну,7305,67396,68,1,10,0
49,"Башня магов, портал в Азсуну",7306,20068,0,2,0,0
50,Воспользуйтесь порталом из Разрушенного дворца в Штормград,7307,20068,0,1,0,0
51,Воспользуйтесь порталом из Башни магов в Боралус,7308,67398,68,1,10,0
52,"Башня магов, портал в Боралус",7309,123820,0,2,0,0
53,Воспользуйтесь порталом из Анклава Седогрива в Штормград,7314,0,0,1,0,0
54,Воспользуйтесь порталом из святилища Семи Звезд в Штормград,7315,123820,0,1,0,0
55,Воспользуйтесь порталом из Зала Тайн на полуостров Адского Пламени,7316,123820,1,1,0,0
56,"Ступени Судьбы, портал в Штормград",7317,123820,1,2,0,0
57,Войдите на станцию Подземного поезда,7318,123820,0,1,0,0
58,Выход к Стальгорну,7319,123820,0,2,0,0
59,Садитесь на поезд,7320,924,0,0,0,0
60,Садитесь на поезд,7321,924,0,0,0,0
61,Воспользуйтесь порталом из Святилища жрецов в Штормград,7322,62085,0,1,0,0
62,Воспользуйтесь порталом из Святилища жрецов в Экзодар,7323,62085,0,1,0,0
