ID,Title_lang,BodyText_lang,JournalEncounterID,OrderIndex,ParentSectionID,FirstChildSectionID,NextSiblingSectionID,Type,IconCreatureDisplayInfoID,UiModelSceneID,SpellID,IconFileDataID,Flags,IconFlags,DifficultyMask
816,Могучий топот,"Тронг топает по земле, и от его топота стены Грим Батола начинают обрушаться. Если Тронг экипирован щитом, он не будет применять данную способность.",132,1,0,0,817,2,0,0,0,132368,0,0,-1
817,Обрушение,"Могучий топот Тронга приводит к постепенному обрушению стен Грим Батола. На случайно выбранного игрока падают камни, поражая область в радиусе $74986A1 м вокруг цели. Игроки, находящиеся в зоне поражения, каждую секунду получают $74986s1 ед. физического урона.",132,2,0,0,818,2,0,0,0,132153,0,0,-1
818,Выбор оружия,"Тронгу доступны несколько видов внушающего ужас оружия и периодически во время боя он случайным образом будет его менять. У него есть выбор между огромным щитом, парой мечей и сокрушающей палицей. Выбранное оружие на короткий срок позволяет ему приобретать новые способности.",132,3,0,0,819,1,0,0,0,134400,0,0,-1
819,Способности со щитом,,132,4,0,820,823,0,0,0,0,0,1,0,-1
820,Личная защита,"Тронг раз в 10 секунд выставляет щит в направлении случайно выбранного игрока. Урон, наносимый Тронгу игроками, стоящими перед его щитом, снижен на $74909s1%.",132,5,819,0,821,2,0,0,0,331053,0,2,-1
821,Пламенная стрела,"Когда Тронг экипирован щитом, лучники начинают стрелять из бойниц в случайных игроков огненными стрелами. Игрок, в которого попала такая стрела, получает $74944s1 ед. урона от огня.",132,6,819,0,822,2,0,0,0,132312,0,0,-1
822,Пылающий щит,"Из щита Тронга вырывается конус огня с углом 60 градусов, раз в секунду наносящий всем противникам, находящимся на линии огня, $90830s1 ед. урона от огня.",132,7,819,0,0,2,0,0,0,134982,2,8,14
823,Способности с клинками,,132,8,0,824,828,0,0,0,0,0,1,0,-1
824,Два клинка,"Когда Тронг держит в каждой руке по огненному мечу, он может одновременно атаковать обоими. В это время урон, наносимый им в ближнем бою, снижен на $74981s3%.",132,9,823,0,825,2,0,0,0,132147,0,0,-1
825,Взбучка,Время от времени при взмахе мечами Тронг будет производить две дополнительные атаки.,132,10,823,0,826,2,0,0,0,132152,0,0,-1
826,Дезориентирующий рык,"Тронг испускает ужасный рык, снижая скорость атаки игроков и скорость применения ими заклинаний на $74976s1%. Этот эффект может быть снят применением любого заклинания или способности. $[!2,4

В героическом режиме дезориентирующий рык снижает скорость атаки и применения заклинаний на 150%; при каждом использовании заклинания или способности это значение снижается на $74976s1%.$]",132,11,823,0,827,2,0,0,0,132352,0,0,-1
827,Языки пламени,"Пылающие клинки поджигают цель, которую атакует Тронг, в течение $90764d. нанося ей $90764s1 ед. урона от огня раз в $90764t1 сек. Эффект суммируется, но вся сумма снимается за одно рассеивание эффекта.",132,12,823,0,0,2,0,0,0,135822,2,140,14
828,Способности с палицей,,132,13,0,829,0,0,0,0,0,0,1,0,-1
829,Обременение,"Чудовищный вес палицы, которую выбирает Тронг, снижает скорость его передвижения на $75007s2%, но увеличивает наносимый им в ближнем бою урон на $75007s1%.",132,14,828,0,830,2,0,0,0,133490,0,1,-1
830,Пронзающий рывок,"Тронг прыгает к случайно выбранной цели, пронзая ее своей дубиной и нанося $75056s3 ед. физического урона раз в $75056t3 сек. в течение $75056d.",132,15,828,0,831,2,0,0,0,133490,0,0,-1
831,Область лавы,Палица Тронга оставляет на земле огненные лужи. Эти лужи наносят всем стоящим в них игрокам $90754s1 ед. урона от огня в секунду.,132,16,828,0,0,2,0,0,0,135822,2,8,14
2010,Фаза 1. Пылающие и ледяные кулаки,,89,1,0,2011,2014,0,0,0,0,0,1,0,-1
