Name_lang,ID,Flags,UiTextureKitID,UiTextureKitElementCount,LearningCurveID
орочий,1,0,0,0,0
дарнасский,2,0,0,0,0
таурахэ,3,0,0,0,0
дворфийский,6,0,0,0,0
всеобщий,7,0,0,0,0
язык демонов,8,0,0,0,0
язык титанов,9,0,0,0,0
талассийский,10,0,0,0,0
драконий,11,0,0,0,0
калимаг,12,0,0,0,0
гномский,13,0,0,0,0
зандаларский,14,0,0,0,0
наречие Отрекшихся,33,0,0,0,0
дренейский,35,0,0,0,0
наречие зомби,36,0,0,0,0
машинный гномский,37,0,0,0,0
машинный гоблинский,38,0,0,0,0
гилнеасский,39,0,0,0,0
гоблинский,40,0,0,0,0
пандаренский,42,0,0,0,0
пандаренский,43,0,0,0,0
пандаренский,44,0,0,0,0
язык лесных духов,168,0,0,0,0
шат'яр,178,0,0,0,0
нерглийский,179,0,0,0,0
язык совухов,180,0,0,0,0
Шалассийский,181,0,0,0,0
талассийский,182,0,0,0,0
Вульперский,285,0,0,0,0
Сложный шифр,287,0,0,0,0
Базовый шифр,288,0,0,0,0
Метрический,290,7,5410,36,0
Альтонийский,291,7,5410,36,0
Сопранийский,292,7,5410,36,0
Аэлический,293,7,5410,36,0
Деалический,294,7,5410,36,0
Требелимский,295,7,5410,36,0
Бассалимский,296,7,5410,36,0
Встроенные языки,297,2,0,0,0
Непостижимые,298,7,5410,36,0
фурболгский,303,1,5508,36,62550
Язык земельников,304,1,0,36,69564
Нерубский,307,0,0,0,0
