Name_lang,Description_lang,Map[0],Map[1],ID,JournalInstanceID,DungeonEncounterID,OrderIndex,FirstSectionID,UiMapID,MapDisplayConditionID,Flags,DifficultyMask
Глубток,"Однажды в приступе ярости Глубток высвободил дремлющую в нем магическую силу и превратил в пепел свою собственную деревню. Услышав о таких разрушительных талантах, братство Справедливости наняло огра присматривать за рабочими в качестве главного штейгера Мертвых копей.",0.3652697,0.6122755,89,63,2976,1,2010,291,54460,2,1
Хеликс Отломчикс,"Когда никому не известный инженер Хеликс еще трудился на благо картеля Трюмных Вод, он получил от братства Справедливости предложение на сумму, которую он не заработал бы и за всю жизнь. Отломчикс спешно принял его и отрекся от прежних хозяев... Впрочем, так поступил бы любой смышленый гоблин.",0.50199604,0.8682636,90,63,2977,2,2020,291,54460,2,1
Врагорез-5000,"Инженеры братства Справедливости потратили немало дней на разработку новой модели на основе ""Врагореза-4000"". Когда сборка этого монстра будет завершена, он пройдет сквозь ряды закованных в латы солдат Штормграда, как косарь сквозь поле пшеницы.",0.12475067,0.75898206,91,63,2975,3,3448,292,54460,2,1
Адмирал Терзающий Рев,"Проклятие воргенов круто изменило жизнь Джеймса Харрингтона: за одну ночь он в приступе кровавого безумия уничтожил свою семью и военную карьеру. Изменив имя, он бежал в Западный край и через некоторое время принял командование исполинским кораблем братства Справедливости.",0.60479087,0.38772452,92,63,2974,4,2044,292,54460,2,1
"""Капитан"" Пирожок","После смерти предыдущего капитана Пирожок не растерялся и шустро занял его место. Формально он все еще судовой повар, но любой, кто сомневается в праве Пирожка на капитанство, немедленно выходит из строя с тяжелейшим пищевым отравлением.",0.60479087,0.4550898,93,63,2973,5,2055,292,54460,2,1
Ванесса ван Клиф,"Когда Ванесса была еще совсем маленькой, на ее глазах был жестоко убит ее отец и бывший предводитель братства Справедливости, Эдвин ван Клиф. Теперь она унаследовала его титул и вынашивает планы мести Штормграду, планируя нанести удар из темных коридоров Мертвых копей.",0.6546913,0.40269458,95,63,1081,6,2060,292,54460,2,2
Барон Эшбери,"Предатель барон Эшбери был убит воргенами и возрожден Отрекшимися. Он любит играть со своими врагами, как кошка с мышью, причиняя им невыносимые страдания и боль, но не убивая.",0.66467136,0.732036,96,64,1069,1,2107,310,0,0,-1
Барон Сильверлейн,"Барон Сильверлейн некогда был хозяином крепости, захваченной воргенами Аругала. Теперь его неупокоенный дух охраняют растерзавшие его люди-волки, и горе каждому, кто осмелится вторгнуться в его владения.",0.30439156,0.7739521,97,64,1070,2,2118,311,0,0,-1
Командир Спрингвейл,"Призрак верного солдата, командира Спрингвейла, бродит по комнате советов, готовый в любой момент обрушить свое нечестивое могущество на захватчиков и отомстить за гибель своего повелителя – барона Сильверлейна.",0.2804395,0.5973054,98,64,1071,3,2137,310,0,0,-1
Лорд Вальден,"Правая рука Годфри, высокомерный лорд Вальден поклялся служить своему соотечественнику любой ценой, включая собственную жизнь, и остался верен своему слову даже после смерти. Его любимое оружие – яды и магия льда.",0.5449104,0.53742516,99,64,1073,4,2156,313,0,0,-1
