ID,Name_lang,Location_lang,Description_lang,MapPos[0],MapPos[1],WorldPos[0],WorldPos[1],GarrTypeID,GarrMissionTypeID,GarrFollowerTypeID,MaxFollowers,MissionCost,MissionCostCurrencyTypesID,OfferedGarrMissionTextureID,UiTextureKitID,EnvGarrMechanicID,EnvGarrMechanicTypeID,PlayerConditionID,GarrMissionSetID,TargetLevel,TargetItemLevel,MissionDuration,TravelDuration,OfferDuration,BaseCompletionChance,BaseFollowerXP,OvermaxRewardPackID,FollowerDeathChance,AreaID,Flags,AutoMissionScalar,AutoMissionScalarCurveID,AutoCombatantEnvCasterID
2,Тут полно гроннов,Подступы к Ледяным скалам,"Малые гронны держат в страхе окрестных жителей. Нам нужно объединиться с кланом Северного Волка и устранить эту угрозу. Может, кто-нибудь из Волков даже присоединится к нам...",0,0,0,0,2,3,1,1,0,824,0,101,0,23,26253,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
3,Припасы на корабле,Пылающий ледник,"Возможно, нам стоит обыскать корабль, на котором мы уплыли из Танаанских джунглей – там наверняка найдется что-нибудь полезное!",0,0,0,0,2,3,1,1,5,824,0,101,0,23,26251,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
5,Толченый гронн,Пещеры гарнизона,В пещере за гарнизоном найдены кости гроннов. Ваши алхимики хотят провести раскопки и исследовать кости.,0,0,0,0,2,18,1,1,10,824,0,0,0,24,26539,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
6,Убийцы волков,Холм Жестокого Холода,"Огры из клана Жестокого Холода, которые живут на востоке от Снегов Ледяного Ветра, чудовищно обходятся с северными волками. Это недопустимо!",0,0,0,0,2,3,1,1,10,824,0,101,0,12,26320,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
7,Спасение рядового,Земли Каменного Неистовства,Разведчики докладывают о кровавой бойне в Землях Каменного Неистовства! Отбейте атаку ледоклювых падальщиков и спасите раненых союзников!,0,0,0,0,2,3,1,1,10,824,0,101,0,15,28567,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
36,Замороженные зелья,Снега Ледяного Ветра,"Разведчик нашел в снегу партию зелий клана Громоборцев. Если вы их заберете, ваши алхимики узнают больше об ингредиентах Дренора.",0,0,0,0,2,18,1,1,10,824,0,0,0,23,26539,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
42,Давай добычу,Аукционный дом,Хватай добычу,0,0,0,0,2,4,1,1,0,824,0,0,0,23,26539,26,90,400,7,0,999999999,50,5,0,0,0,1,1,0,0
43,Дозор Ледяного Огня,Равнины Ледяного Ветра,This is Matt's test mission *bugles and horns blair a triumphant tune*,0,0,0,0,3,13,1,3,0,824,0,101,0,29,26539,26,90,0,10,0,9999999,0,100,0,0,0,0,1,0,0
44,Угроза с небес,Подступы к Ледяным скалам,На наши караваны нападают рилаки Пылающего ледника. Нужно возобновить поставку товаров!,0,0,0,0,2,3,1,1,0,824,0,101,0,15,26252,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
45,Лекарства огров,Пылающий ледник,"Отправляясь в дюны Ледяного огня, огры из клана Камнерогов, что в Пылающем леднике, обычно берут с собой мешки с провизией. Возможно, в них есть и новые зелья.",0,0,0,0,2,18,1,1,10,824,0,0,0,23,5703,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
54,Обойдешься без добычи!,Дом бедняка,Беги!!!,0,0,0,0,2,4,1,1,0,824,0,0,0,23,26539,26,90,400,7,0,60,0,5,0,0,0,0,1,0,0
55,Орки в горах!,Орочьи горы,Убейте орков в горах.,0,0,0,0,2,13,1,3,0,824,0,101,0,21,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
56,Огры в пустыне!,Огрские пустыни,Убейте огров в пустыне.,0,0,0,0,2,25,1,3,0,824,0,103,0,22,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
57,Нежить в снегах,Снега нежити,Убейте нежить в снегах.,0,0,0,0,2,24,1,3,0,824,0,104,0,23,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
58,Араккоа под землей,Подземелья араккоа,Убейте араккоа под землей.,0,0,0,0,2,23,1,3,0,824,0,106,0,24,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
59,Звери в джунглях,Звериные джунгли,Убейте зверей в джунглях.,0,0,0,0,2,18,1,3,0,824,0,107,0,25,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
60,Демоны в лесу,Лес демонов,Убейте демонов в лесу.,0,0,0,0,2,19,1,3,0,824,0,105,0,26,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
61,Разрушители в городе,Город разрушителей,Убейте разрушителей в городе.,0,0,0,0,2,20,1,3,0,824,0,102,0,27,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
62,Яростные духи на болоте,Болото яростных духов,Убейте яростных духов на болоте.,0,0,0,0,2,21,1,3,0,824,0,101,0,28,26539,18,90,0,8,0,9999999,100,100,0,0,0,0,1,0,0
63,Первозданные духи на равнинах,Равнины элементалей,Убейте первозданных элементалей на равнинах.,0,0,0,0,2,22,1,3,0,824,0,106,0,29,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
64,"Задание, чтоб править всеми",Горгронд,Меч тысячи истин должен быть уничтожен в литейной клана Черной горы. Займись этим.,0,0,0,0,2,3,1,1,0,824,0,0,0,21,26539,18,90,0,600,0,9999999,0,200,0,0,0,0,1,0,0
65,Ночной дозор,Периметр гарнизона,Вокруг гарнизона следует организовать постоянное патрулирование...,0,0,0,0,2,13,1,1,5,824,0,106,0,26,27657,20,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
66,Упокоение зараженных,Нечистые леса,"Оскверненные животные продолжают нападать на путников, идущих через Нечистые леса. Часовые заставы Падающих Звезд попросили у нас помощи в умерщвлении несчастных зверей.",0,0,0,0,2,3,1,1,0,824,0,106,0,26,26601,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
