SourceText_lang,ID,ItemID,PvpFaction,SourceTypeEnum,SpellID
|cFFFFD200Учитель профессии: |rклассическое кожевничество (15)|n|cFFFFD200Цена: |r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2532,0,-1,3,2153
|cFFFFD200Источник: |rсущества в мире|n|n|cFFFFD200Сокровище: |rслучайная добыча|n|n|cFFFFD200Сбор: |rзалежи ресурсов,2534,0,0,0,2158
|cFFFFD200Учитель профессии: |rклассическое кожевничество (85)|n|cFFFFD200Цена: |r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2535,0,-1,3,2159
|cFFFFD200Учитель профессии: |rклассическое кожевничество (40)|n|cFFFFD200Цена: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2536,0,-1,3,2160
|cFFFFD200Учитель профессии: |rклассическое кожевничество (55)|n|cFFFFD200Цена: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2537,0,-1,3,2161
|cFFFFD200Учитель профессии: |rклассическое кожевничество (60)|n|cFFFFD200Цена: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2538,0,-1,3,2162
|cFFFFD200Источник: |rсущества в мире|n|n|cFFFFD200Сокровище: |rслучайная добыча|n|n|cFFFFD200Сбор: |rзалежи ресурсов,2539,0,0,0,2163
|cFFFFD200Источник: |rсущества в мире|n|n|cFFFFD200Сокровище: |rслучайная добыча|n|n|cFFFFD200Сбор: |rзалежи ресурсов,2540,0,0,0,2164
|cFFFFD200Учитель профессии: |rклассическое кожевничество (100)|n|cFFFFD200Цена: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2541,0,-1,3,2165
|cFFFFD200Учитель профессии: |rклассическое кожевничество (120)|n|cFFFFD200Цена: |r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2542,0,-1,3,2166
|cFFFFD200Учитель профессии: |rклассическое кожевничество (100)|n|cFFFFD200Цена: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2543,0,-1,3,2167
|cFFFFD200Учитель профессии: |rклассическое кожевничество (110)|n|cFFFFD200Цена: |r15|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2544,0,-1,3,2168
|cFFFFD200Источник: |rсущества в мире|n|n|cFFFFD200Сокровище: |rслучайная добыча|n|n|cFFFFD200Сбор: |rзалежи ресурсов,2545,0,0,0,2169
|cFFFFD200Учитель профессии: |rклассическая алхимия (25)|n|cFFFFD200Цена: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2549,0,-1,3,2331
|cFFFFD200Учитель профессии: |rклассическая алхимия (40)|n|cFFFFD200Цена: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2550,0,-1,3,2332
|cFFFFD200Учитель профессии: |rклассическая алхимия (50)|n|cFFFFD200Цена: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2551,0,-1,3,2334
|cFFFFD200Источник: |rсущества в мире|n|n|cFFFFD200Сокровище: |rслучайная добыча|n|n|cFFFFD200Сбор: |rзалежи ресурсов,2552,0,0,0,2335
|cFFFFD200Учитель профессии: |rклассическая алхимия (55)|n|cFFFFD200Цена: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2553,0,-1,3,2337
|cFFFFD200Учитель профессии: |rклассическое горное дело (65)|n|cFFFFD200Цена: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2561,0,-1,3,2658
|cFFFFD200Учитель профессии: |rклассическое горное дело (50)|n|cFFFFD200Цена: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2562,0,-1,3,2659
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (35)|n|cFFFFD200Цена: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t30|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2564,0,-1,3,2661
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (1)|n|cFFFFD200Цена: |r10|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2565,0,-1,3,2662
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (90)|n|cFFFFD200Цена: |r6|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2567,0,-1,3,2664
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (65)|n|cFFFFD200Цена: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2568,0,-1,3,2665
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (70)|n|cFFFFD200Цена: |r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2569,0,-1,3,2666
|cFFFFD200Источник: |rсущества в мире|n|n|cFFFFD200Сокровище: |rслучайная добыча|n|n|cFFFFD200Сбор: |rзалежи ресурсов,2570,0,0,0,2667
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (105)|n|cFFFFD200Цена: |r12|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2571,0,-1,3,2668
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (105)|n|cFFFFD200Цена: |r12|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2572,0,-1,3,2670
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (120)|n|cFFFFD200Цена: |r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2573,0,-1,3,2672
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (125)|n|cFFFFD200Цена: |r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2574,0,-1,3,2674
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (145)|n|cFFFFD200Цена: |r52|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2575,0,-1,3,2675
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (15)|n|cFFFFD200Цена: |r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2576,0,-1,3,2737
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (110)|n|cFFFFD200Цена: |r15|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2577,0,-1,3,2740
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (115)|n|cFFFFD200Цена: |r17|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2578,0,-1,3,2741
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (20)|n|cFFFFD200Цена: |r75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2579,0,-1,3,2738
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (25)|n|cFFFFD200Цена: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2580,0,-1,3,2739
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (120)|n|cFFFFD200Цена: |r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2581,0,-1,3,2742
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (125)|n|cFFFFD200Цена: |r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2587,0,-1,3,3117
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (65)|n|cFFFFD200Цена: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2588,0,-1,3,3116
|cFFFFD200Учитель профессии: |rклассическая алхимия (90)|n|cFFFFD200Цена: |r6|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2589,0,-1,3,3171
|cFFFFD200Учитель профессии: |rклассическая алхимия (120)|n|cFFFFD200Цена: |r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2590,0,-1,3,3173
|cFFFFD200Источник: |rсущества в мире|n|n|cFFFFD200Сокровище: |rслучайная добыча|n|n|cFFFFD200Сбор: |rзалежи ресурсов,2591,0,0,0,3174
|cFFFFD200Учитель профессии: |rклассическая алхимия (125)|n|cFFFFD200Цена: |r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2592,0,-1,3,3176
|cFFFFD200Учитель профессии: |rклассическая алхимия (130)|n|cFFFFD200Цена: |r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2593,0,-1,3,3177
|cFFFFD200Источник: |rсущества в мире|n|n|cFFFFD200Сокровище: |rслучайная добыча,2594,0,0,0,2333
|cFFFFD200Источник: |rсущества в мире|n|n|cFFFFD200Сокровище: |rслучайная добыча,2595,0,0,0,3188
|cFFFFD200Учитель профессии: |rклассическая алхимия (15)|n|cFFFFD200Цена: |r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2596,0,-1,3,3170
|cFFFFD200Источник: |rсущества в мире|n|n|cFFFFD200Сокровище: |rслучайная добыча|n|n|cFFFFD200Сбор: |rзалежи ресурсов,2597,0,0,0,3230
|cFFFFD200Учитель профессии: |rклассическое горное дело (115)|n|cFFFFD200Цена: |r17|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2598,0,-1,3,3308
|cFFFFD200Учитель профессии: |rклассическое горное дело (100)|n|cFFFFD200Цена: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2599,0,-1,3,3307
|cFFFFD200Учитель профессии: |rклассическое горное дело (50)|n|cFFFFD200Цена: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2600,0,-1,3,3304
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (95)|n|cFFFFD200Цена: |r7|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2601,0,-1,3,3292
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (35)|n|cFFFFD200Цена: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t30|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2602,0,-1,3,3293
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (70)|n|cFFFFD200Цена: |r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2603,0,-1,3,3294
|cFFFFD200Источник: |rсущества в мире|n|n|cFFFFD200Сокровище: |rслучайная добыча|n|n|cFFFFD200Сбор: |rзалежи ресурсов,2604,0,0,0,3295
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (130)|n|cFFFFD200Цена: |r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2605,0,-1,3,3296
|cFFFFD200Источник: |rсущества в мире|n|n|cFFFFD200Сокровище: |rслучайная добыча,2606,0,0,0,3297
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (20)|n|cFFFFD200Цена: |r75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2607,0,-1,3,3319
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (25)|n|cFFFFD200Цена: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2608,0,-1,3,3320
|cFFFFD200Источник: |rсущества в мире|n|n|cFFFFD200Сокровище: |rслучайная добыча,2609,0,0,0,3321
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (40)|n|cFFFFD200Цена: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2610,0,-1,3,3323
|cFFFFD200Учитель профессии: |rклассическое кузнечное дело (45)|n|cFFFFD200Цена: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2611,0,-1,3,3324
|cFFFFD200Источник: |rсущества в мире|n|n|cFFFFD200Сокровище: |rслучайная добыча|n|n|cFFFFD200Сбор: |rзалежи ресурсов,2612,0,0,0,3325
