Text_lang,Text1_lang,ID,LanguageID,ConditionID,EmotesID,Flags,ChatBubbleDurationMs,VoiceOverPriorityID,SoundKitID[0],SoundKitID[1],EmoteID[0],EmoteID[1],EmoteID[2],EmoteDelay[0],EmoteDelay[1],EmoteDelay[2]
Помогите! Хулиганы зрения лишают!,,1,0,0,0,70,0,0,0,0,0,0,0,0,0,0
Начинаю процедуру саморазрушения.,,3927,0,0,0,69,0,0,0,0,0,0,0,0,0,0
Очиститесь огнем!,,9426,0,0,0,71,0,0,8046,0,0,0,0,0,0,0
,Идем. За мной.,15708,7,0,0,68,0,0,0,44118,0,0,0,0,0,0
"Ты зашел слишком далеко, орк! Бросай поводья и сдавайся – или умри!","Ты зашел слишком далеко, орк! Бросай поводья и сдавайся – или умри!",33630,0,8193,0,69,0,0,0,0,0,0,0,0,0,0
,"Прочь с дороги, глупцы!",33631,0,8193,0,69,0,0,0,0,0,0,0,0,0,0
Жизнь не может быть вечной.,,33996,0,0,0,65,0,0,0,0,0,0,0,0,0,0
"Я делаю то, что должен.",,33997,0,0,0,65,0,0,0,0,0,0,0,0,0,0
Ваше время вышло.,,34001,0,0,0,65,0,0,0,0,0,0,0,0,0,0
"Похоже, ваша сила кроется именно в несовершенстве. Дарованная вам свобода воли позволяет пренебрегать законами космоса... и выходить победителями тогда, когда идеальные создания титанов оказываются бессильны.",,34012,0,0,0,65,0,0,0,0,0,0,0,0,0,0
,"Капитан! По правому борту потерпевшее крушение судно! Кажется, там есть живые!",39672,0,0,0,71,0,0,0,20916,0,0,0,0,0,0
Настройтесь как следует. Уже через час мы будем кромсать орков.,,41964,0,0,1,71,0,0,21208,0,0,0,0,0,0,0
Всем построиться!,,41984,0,0,22,71,0,0,21205,0,0,0,0,0,0,0
Мы отправляемся на тот остров на горизонте.,,42092,0,0,1,71,0,0,21185,0,0,0,0,0,0,0
"Там мы исполним свой долг перед королем, Штормградом и людьми...",,42093,0,0,1,71,0,0,21186,0,0,0,0,0,0,0
Адский Крик отправил сюда своих лучших солдат. Ни один из них не должен вернуться домой!,,42095,0,0,1,71,0,0,21188,0,0,0,0,0,0,0
Штормград никогда не будет завоеван!,,42097,0,0,53,71,0,0,21190,0,0,0,0,0,0,0
,"Вперед, мои наги! Встретим Владыку Приливов!",42407,0,0,1,118,0,0,0,18874,0,0,0,0,0,0
Ты и твои червяки мне не противники!,,42434,0,0,0,118,0,0,19457,0,0,0,0,0,0,0
,Глупец! Это твой последний день!,42435,0,0,15,118,0,0,0,18875,0,0,0,0,0,0
"Ты слишком далеко зашла, змея. Ты горько пожалеешь о своей дерзости!",,42518,0,0,0,118,0,0,19463,0,0,0,0,0,0,0
,"Ко мне, слуги мои! Нанесем удар!",42545,0,0,15,118,0,0,0,18876,0,0,0,0,0,0
,Выпустить кракена!,44211,0,0,15,118,0,0,0,18877,0,0,0,0,0,0
Ааааа...,,44212,0,0,0,118,0,0,19464,0,0,0,0,0,0,0
,"За мной, мои питомцы! Царство могучего Нептулона стало нашим!",44213,0,0,15,118,0,0,0,18878,0,0,0,0,0,0
"Что же теперь, старина?",,44214,0,0,1,118,0,0,21217,0,0,0,0,0,0,0
Мы потерпели трагическое поражение...,,44215,0,0,396,118,0,0,19526,0,0,0,0,0,0,0
Надежд на будущее этого мира почти не осталось.,,44216,0,0,396,118,0,0,19527,0,0,0,0,0,0,0
Тралл должен обо всем узнать.,,44217,0,0,396,118,0,0,19528,0,0,0,0,0,0,0
"Он подскажет, что делать дальше...",,44218,0,0,396,118,0,0,19529,0,0,0,0,0,0,0
Эрунак! Нет!,,44219,0,0,1,118,0,0,21218,0,0,0,0,0,0,0
Гр-р-а-а-а-а-а-а!,,44220,0,0,396,118,0,0,19530,0,0,0,0,0,0,0
,"Ты был настоящим народным героем, Лиам. Не таким, как другие принцы. Они заплатят за твою смерть.",44223,0,0,0,71,0,0,0,19686,66,0,0,0,0,0
"Что же теперь, шаман?",,44225,0,0,1,118,0,0,21319,0,0,0,0,0,0,0
Эрунак! Сзади!,,44226,0,0,1,118,0,0,21320,0,0,0,0,0,0,0
"Свет да пребудет с духами наших предков, ибо они позволили моему сыну покоиться в этой священной земле.",,50471,0,0,1,71,0,0,19713,0,0,0,0,0,0,0
"Его место здесь, среди героев и защитников Гилнеаса.",,50472,0,0,1,71,0,0,19714,0,0,0,0,0,0,0
"Мы вернемся, Лиам. Клянусь.",,50473,0,0,66,71,0,0,19715,0,0,0,0,0,0,0
"Гилнеас не забудет твоего мужества, Лиам.",,50477,0,0,66,71,0,0,19497,0,0,0,0,0,0,0
"Прости меня за эту таинственность, но это было необходимо.",,56129,0,0,0,70,0,0,28571,0,0,0,0,0,0,0
Тысячи лет мы не встречали никого из твоего народа.,,56130,0,13211,0,70,0,0,28572,0,0,0,0,0,0,0
"Прежде всего я должна была понять, каково твое сердце.",,56131,0,0,0,70,0,0,28573,0,0,0,0,0,0,0
Идем со мной. Я хочу показать тебе кое-что.,,56154,0,0,0,70,0,0,28574,0,0,0,0,0,0,0
Мы превратим это место в воронку.,,57715,0,0,0,70,0,0,30625,0,5,0,0,0,0,0
[NOTE: Many placeholder visuals in this cinematic. Expecting Observatory WMO & charge up visuals.],,57899,0,0,0,70,0,0,0,0,0,0,0,0,0,0
"Беги, беги, грязень! Таких, как ты, я хрючу на завтрак!",,58170,0,0,0,70,0,0,0,0,0,0,0,0,0,0
"Я – Андуин Ринн, принц Штормграда. Я не умру вот так здесь!",,58171,0,0,0,70,0,0,27577,0,0,0,0,0,0,0
За Пандарию!,,59411,0,15760,4,70,0,0,31905,0,0,0,0,0,0,0
,Получилось! Рана затягивается!,60365,0,0,1,69,0,0,0,27417,0,0,0,0,0,0
,"Мы пошли на большой риск, но мы сделали это. Шэнь-Цзынь Су поправится.",60627,0,0,1,69,0,0,0,27418,0,0,0,0,0,0
"Наша история начинается в давние времена, в эпоху правления ужасного императора Тяня.",,61462,0,0,0,68,0,0,0,0,1,0,0,0,0,0
"Императору нужны были посланники, которым можно было доверять.",,61463,0,0,0,68,0,0,0,0,1,0,0,0,0,0
Поэтому он взял найденное им странное маленькое пещерное создание и наделил его силой Дола.,,61464,0,0,0,68,0,0,0,0,1,0,0,0,0,0
