ID,Name_lang,Name1_lang,Mask_ID,Flags
1,Рядовой %s,Рядовой %s,1,0
2,Капрал %s,Капрал %s,2,0
3,Сержант %s,Сержант %s,3,0
4,Старший сержант %s,Старший сержант %s,4,0
5,Старшина %s,Старшина %s,5,0
6,Рыцарь %s,Рыцарь %s,6,0
7,Рыцарь-лейтенант %s,Рыцарь-лейтенант %s,7,0
8,Рыцарь-капитан %s,Рыцарь-капитан %s,8,0
9,Рыцарь-защитник %s,Рыцарь-защитник %s,9,0
10,Лейтенант-командор %s,Лейтенант-командор %s,10,0
11,Командор %s,Командор %s,11,0
12,Маршал %s,Маршал %s,12,0
13,Фельдмаршал %s,Фельдмаршал %s,13,0
14,Главнокомандующий %s,Главнокомандующий %s,14,0
15,Разведчик %s,Разведчица %s,15,0
16,Рубака %s,Рубака %s,16,0
17,Сержант %s,Сержант %s,17,0
18,Старший сержант %s,Старший сержант %s,18,0
19,Старшина %s,Старшина %s,19,0
20,Каменный страж %s,Каменный страж %s,20,0
21,Кровавый страж %s,Кровавая стражница %s,21,0
22,Легионер %s,Легионер %s,22,0
23,Центурион %s,Центурион %s,23,0
24,Защитник %s,Защитница %s,24,0
25,Генерал-лейтенант %s,Генерал-лейтенант %s,25,0
26,Генерал %s,Генерал %s,26,0
27,Полководец %s,Полководец %s,27,0
28,Верховный полководец %s,Верховный полководец %s,28,0
42,Гладиатор %s,Гладиатор %s,29,0
43,Дуэлянт %s,Дуэлянт %s,30,0
44,Фаворит %s,Фаворит %s,31,0
45,Претендент %s,Претендент %s,32,0
46,Повелитель Скарабеев %s,Повелительница Скарабеев %s,33,0
47,Завоеватель %s,Завоевательница %s,34,0
48,Вершитель правосудия %s,Вершительница правосудия %s,35,0
53,"%s, защитник Наару","%s, защитница Наару",36,0
62,Безжалостный гладиатор %s,Безжалостный гладиатор %s,37,0
63,%s из Расколотого Солнца,%s из Расколотого Солнца,38,0
64,"%s, Длань А'дала","%s, Длань А'дала",39,0
71,Мстительный гладиатор %s,Мстительный гладиатор %s,40,0
72,Военачальник %s,Военачальник %s,41,0
74,%s Премудрый,%s Премудрая,43,0
75,Страж огня %s,Страж огня %s,44,0
76,Хранитель огня %s,Хранительница огня %s,45,0
77,%s Превозносимый,%s Превозносимая,46,0
78,Исследователь %s,Исследовательница %s,47,0
79,Дипломат %s,Дипломат %s,48,0
80,Жестокий гладиатор %s,Жестокий гладиатор %s,49,0
81,Искатель %s,Искательница %s,42,0
82,Повелитель арены %s,Повелительница арены %s,50,0
83,Морской дьявол %s,Морской дьявол %s,51,0
84,Шеф-повар %s,Шеф-повар %s,52,0
85,"%s ""Бей-Молоти""","%s ""Бей-Молоти""",53,0
86,"%s, повелитель штормов","%s, повелительница штормов",54,0
87,Изумрудный Сновидец %s,Изумрудная Сновидица %s,55,0
