ID,Name_lang,Description_lang,DescriptionShort_lang,Icon,Order,ChrRacesID
1,Воля Отрекшихся,"Может избавляться от страха, сна и подчинения.","Может избавляться от страха, сна и подчинения.",136187,0,5
2,Каннибализм,"Может поедать трупы, восполняя здоровье и ману.","Может поедать трупы, восполняя здоровье и ману.",132278,1,5
3,Могильное касание,Может похищать здоровье противников.,Похищает здоровье противников.,136157,2,5
4,Сопротивление темной магии,Повышенное сопротивление темной магии.,Повышенное сопротивление темной магии.,136152,3,5
5,Человеческий дух,"Скорость, вероятность критического удара, искусность и универсальность повышены.","Бонус к скорости, вероятности критического удара, искусности и универсальности.",132874,0,1
6,Дома лучше,Бонус к эффективности камня возвращения,Бонус к эффективности камня возвращения,134328,1,1
7,Каждый за себя,Может избавляться от эффектов оглушения.,Может избавляться от эффектов оглушения.,136129,2,1
8,Каменная форма,Может принимать каменный облик.,Может принимать каменный облик.,136225,0,3
9,Мощь гор,Усиливает критические эффекты.,Критические эффекты усилены.,133042,1,3
10,Сопротивление магии льда,Повышенное сопротивление магии льда.,Повышенное сопротивление магии льда.,135865,2,3
11,Исследователь,Повышает скорость археологических исследований и количество получаемых фрагментов.,Бонус к скорости археологических исследований и количеству получаемых фрагментов.,237387,3,3
98,Древняя история,Бонус к начертанию.,Бонус к начертанию.,1723985,4,27
99,Родство с магией,Увеличивает магический урон.,Бонус к магическому урону.,1723986,2,27
100,Фокус,"Призывает летающий фолиант, служащий почтовым ящиком.","Призывает летающий фолиант, служащий почтовым ящиком.",1723988,1,27
101,Единство с энтропией,При использовании способностей вы можете усилиться сущностью Бездны.,Может усиливаться сущностью Бездны.,1723992,1,29
102,Связь с эфиром,Уменьшает стоимость трансмогрификации.,Уменьшает стоимость трансмогрификации.,1723993,3,29
103,Сверхъестественное спокойствие,Применение заклинаний не задерживается при получении урона.,Применение заклинаний не задерживается при получении урона.,1724001,2,29
104,Дитя ночи,Повышенное сопротивление темной магии.,Повышенное сопротивление темной магии.,1723989,4,29
105,Пространственный разлом,"Открывает разлом в пространстве, позволяя телепортироваться на небольшое расстояние.",Телепортируется через пространственные разломы.,1724004,0,29
106,Сопротивление тайной магии,Повышенное сопротивление тайной магии.,Повышенное сопротивление тайной магии.,1723997,3,27
107,Чародейский импульс,Наносит урон находящимся рядом противникам и замедляет их.,Наносит урон находящимся рядом противникам и замедляет их.,1851463,0,27
108,Бычий натиск,"Совершает рывок, сбивая противников с ног.","Совершает рывок, сбивая противников с ног.",1723987,0,28
109,Гордость Железного Рога,Повышает навык горного дела и скорость добычи руды.,Бонус к горному делу и скорости добычи минералов.,1724002,4,28
110,Бережливость,Позволяет иногда собирать больше мяса и ловить больше рыбы.,Иногда собирает больше мяса и ловит больше рыбы.,1724005,3,28
111,Горец,Повышает универсальность.,Повышенная универсальность.,1723999,2,28
112,Прочная шкура,Уменьшает получаемый урон от атак.,Получает меньше урона от атак.,1724003,1,28
113,Правосудие Света,Наносит большой урон от светлой магии в указанной области.,Наносит большой урон от светлой магии в указанной области.,1724000,0,30
114,Сопротивление Свету,Уменьшает получаемый урон от светлой магии.,Повышенное сопротивление светлой магии.,1723996,2,30
115,Воздаяние Света,"После смерти взрывается, нанося урон от светлой магии противникам и исцеляя союзников.","После смерти взрывается, нанося урон противникам и исцеляя союзников.",1723994,1,30
116,Горн Света,Повышает навык кузнечного дела и позволяет устанавливать наковальню.,Бонус к кузнечному делу. Может призывать кузню.,1723995,3,30
117,Гроза демонов,"Получает больше опыта, убивая демонов.","Получает больше опыта, убивая демонов.",1723990,4,30
118,Огненная кровь,Снимает отрицательные эффекты и повышает характеристики.,Снимает отрицательные эффекты и повышает характеристики.,1786406,0,34
119,Знаток подземелий,Ускоряет передвижение внутри помещений.,Быстрее передвигается внутри помещений.,1786405,1,34
120,Массовое производство,"Навык кузнечного дела повышен, предметы создаются быстрее.",Бонус к кузнечному делу. Создает предметы быстрее.,1786408,2,34
121,Буровая установка,"Может призывать буровую установку вне помещений, чтобы передвигаться под землей.","Призывает буровую установку, чтобы передвигаться под землей.",1786409,3,34
122,Закалка пламенем,Уменьшает получаемый физический урон.,Получает меньше физического урона.,1786407,4,34
123,Призыв предков,Призывает духов предков и дает их силу.,"Призывает духов предков, получая их силу.",2021574,0,36
124,Открытое небо,Ускоряет передвижение на транспорте вне помещений.,Быстрее передвигается на транспорте вне помещений.,2021575,1,36
125,Узы стойкости,Увеличивает запас здоровья питомцев.,Бонус к запасу здоровья питомцев.,2021577,2,36
