ID,OverrideName_lang,Field_9_1_0_38709_001_lang,Flags
1,Doug Test,,1
2,Doug Test 2,,0
3,Акунда Акундейший,,1
4,Акунда Всезнающий,,1
5,Акунда Тревожный,,1
6,Акунда Проницательный,,1
7,Акунда Изумленный,,1
8,Акунда Бесчувственный,,1
9,Акунда Умный,,1
10,Акунда Осужденный,,1
11,Акунда Скромный,,1
12,Акунда Эксцентричный,,1
13,Акунда Несдержанный,,1
14,Акунда Помогающий,,1
15,Акунда Рассеянный,,1
16,Акунда Верный,,1
17,Акунда Забывчивый,,1
18,Акунда Первый,,1
19,Акунда Пассивно-агрессивный,,1
20,Акунда Скорбный,,1
21,Акунда Прославленный,,1
22,Акунда Трепетный,,1
23,Акунда Богатеище,,1
24,Акунда Уникальный,,1
25,Акунда Незыблемый,,1
26,Пресыщенный морской варан,,1
27,Друузун,,1
28,Гхаанам,,1
29,Тоодхон,,1
30,Гриином,,1
31,Приисин,,1
32,Флаадим,,1
33,Кхаалум,,1
34,Маагрим,,1
35,Тогро Пожиратель,,0
36,Хемкан Безжалостная,,0
37,Ксззикти Дезертир,,0
38,Сгусток гнева,,1
39,Сгусток страха,,1
40,Сгусток одиночества,,1
41,Сгусток горечи,,1
42,Сгусток боли,,1
43,Сгусток сомнения,,1
44,Сгусток горя,,1
45,Сгусток утраты,,1
46,Сгусток беспокойства,,1
47,Сгусток печали,,1
48,Нарастающая ненависть,,1
49,Нарастающий ужас,,1
50,Нарастающее одиночество,,1
51,Нарастающее отчаяние,,1
52,Нарастающая агония,,1
53,Нарастающая мука,,1
54,Иллюзорное жало,,0
55,Иллюзорный саблеклык,,0
56,Иллюзорный терзатель,,0
57,Иллюзорное чудище,,0
58,Олицетворение страха,,0
59,Паллавал Пристрастный,,0
60,Трикиди Кровавая,,0
61,Зи'Ги'Ти Фанатик,,0
62,Лилиззинк Бесстыдная,,0
63,Боппе Опозоренный,,0
64,Вортроф Невыразимый,,0
65,Ионапа Дородная,,0
66,Мэйнард,,0
67,Рогатый Охотник,,0
68,Верховная жрица Селенис,,0
69,Кусь Макшмяк,,0
70,Ю'гас,,0
71,Реджинальд,,0
72,Шипастик,,0
73,Громила,,1
74,Зилл'ки Погибель Миров,,0
75,Мунго Солнечный Король,,0
76,Послушник храма Отваги,,0
77,Дитя Рата,,0
78,Тультан,,0
79,Мал'ендра,,0
80,Фел'ендаи,,0
81,Испуганный гость,,0
82,Зеркальное отражение,,1
83,Покровник-чародей,,0
84,Воплощение гордыни,,0
85,Воплощение высокомерия,,0
86,Воплощение спесивости,,0
87,Воплощение эгоизма,,0
88,Воплощение нарциссизма,,0
89,Воплощение самовлюбленности,,0
90,Воплощение паранойи,,0
91,Тибо,,0
92,Кимос,,0
93,Илапос,,0
94,Бумос,,0
95,Динтос,,0
96,Грамилос,,0
97,Изилиос,,0
98,Абалус,,0
99,Ипадипос,,0
100,Пико,,0
101,Хака,,0
102,Дафи,,0
103,Фима,,0
104,Арафен,,0
105,Силла,,0
106,Фарра,,0
107,Коринта,,0
108,Аселия,,0
109,Минта,,0
110,Ларатис,,0
111,Бола,,0
112,Апа,,0
113,Дека,,0
114,Коукис,,0
115,Акирис,,0
116,Ипа,,0
117,Тулис,,0
118,Зенза,,0
119,Черми,,0
120,Мупу,,0
121,Падший претендент,,0
122,Зритель,,0
123,Бремя жизни,,0
124,Рыцарь Серебряного Авангарда,,1
125,Желающий пить гость,,0
126,Желающий есть гость,,0
127,Житель Тирна Скитта,,0
128,Заразный зомби,,1
129,Падший претендент Эолис,,0
130,Плененный свежеватель душ,,0
131,Исторгнутая ярость,,0
132,Исторгнутое неистовство,,0
133,Исторгнутое возмущение,,0
134,Исторгнутая ненависть,,0
135,Исторгнутый гнев,,0
136,Исторгнутая враждебность,,0
137,Исторгнутая злоба,,0
138,Исторгнутая мстительность,,0
139,Исторгнутое чревоугодие,,0
140,Исторгнутый голод,,0
141,Исторгнутая праздность,,0
142,Исторгнутое вожделение,,0
144,Уходящее эхо,,0
145,Мимолетное воспоминание,,0
146,Блуждающее раздумье,,0
147,Затухающая частица,,0
148,Лириана,,0
149,Ордстронг,,0
150,Лорра из пантеона ткачей,,0
151,Бориал Иоса,,0
152,Раксат,,0
153,Бравалат,,0
154,Раморра,,0
155,Толория из пантеона рвения,,0
156,Майяр'Та,,0
157,Мудрость Руулы,,0
158,Гнев Руулы,,0
159,Покаяние Руулы,,0
160,Вириэлла,,0
161,Р'ти'гн,,0
162,Лорет Ти'мана,,0
163,Уима Уима,,0
164,Лимао Юна,,0
165,Саво из пантеона древних,,0
166,Квип Быстрый,,0
167,Бассилион Квош,,0
168,Джасса Руаш,,0
169,Джасслина,,0
170,Джассона,,0
171,Брилла Щедрая,,0
172,Гур из пантеона клинка,,0
173,Хитрюга Спукит,,0
174,Гаван из Тивана,,0
175,Галуфт Эйр,,0
176,Раштар Мудрая,,0
177,Ро Яркая Звезда,,0
178,Ри Яркая Звезда,,0
179,Мистерион из пантеона любви,,0
180,Полрон Великий,,0
181,Реска из пантеона кротости,,0
182,Яр Лом,,0
183,Почтенный Гарриш из Зеля,,0
184,Радзур из пантеона войны,,0
185,Фиони Луч Надежды,,0
186,Фиенна Владыка Небес,,0
187,Вастук Владыка Небес,,0
188,Мистерион из пантеона судьбы,,0
189,Аойфена из пантеона благодати,,0
190,Лагрена Сокрушительница Воли,,0
191,Лесса Сердце,,0
192,Гоп из Фави,,0
193,Лариан Темная Душа,,0
194,Касха Прозревающая Души,,0
195,Гелиан из пантеона знаний,,0
196,Форрида из пантеона преданности,,0
197,Незнакомец в плаще,,0
198,Роги,,0
199,Граббер,,0
200,Джибс,,0
201,Смизер,,0
202,Хиггс,,0
203,Гряземут Лужницкий Третий,,0
204,Белви,,0
205,Вустур,,0
206,Рифф,,0
207,Эгор,,0
208,Землекопс,,0
209,Фургус,,0
210,Колем,,0
211,Паннс,,0
212,Жижик,,0
213,Добб,,0
214,Мету,,0
215,Медяк,,0
216,Фред,,0
217,Рафф,,0
218,Катализатор – хронолист,,0
219,Катализатор – дикий ночноцвет,,0
220,Катализатор – зерно дикого корня,,0
221,Строительная площадка причала для рыбалки,,0
222,Причал для рыбалки,,0
224,Маркграфиня Дрека,,1
225,Достойная душа,,0
226,Об'манн,,1
227,На'дул,,1
228,Об'дурил,,1
229,Ук'лон,,1
230,Ба'сня,,1
231,Ли'па,,1
232,Послушная крыса Утробы,,0
233,Усиленный Верный Утробе кандальщик,,0
234,Жевательная игрушка Верных Утробе,,0
235,Достойная валь'кира-претендентка,,0
236,Полемарх Калисфена,,0
237,Понукающий покупатель,,0
238,Шальной шутник,,0
239,Дородный дозорный,,0
240,Богатый барыга,,0
241,Оцепеневший оценщик,,0
242,Торопливый торгаш,,0
243,Корыстный клиент,,0
244,Зарвавшийся завсегдатай,,0
245,Достойный документалист,,0
246,Жеманный жулик,,0
247,Странный скупщик,,0
248,Задающийся закупщик,,0
249,Нищий нахал,,0
250,Сомневающийся скряга,,0
251,Молодцеватый меняла,,0
252,Заклинатель порталов Зо'хонн,,0
253,Заклинатель порталов Зо'дах,,0
254,Заклинатель порталов Зо'нии,,0
255,Горячий гость,,0
256,Клянчащий клиент,,0
257,Почитаемый покупатель,,0
258,Замучившийся завсегдатай,,0
259,Тормозной тусовщик,,0
260,Пьяный путник,,0
261,Висломордый громит,Хороший мальчик,0
262,Висломордый громит,Очень хороший мальчик,0
263,Висломордый громит,Самый хороший мальчик,0
264,Ваззеран Просветленный,,1
265,Клейя,Десница Преданности,0
266,Турболет,,1
267,Мародер,,1
268,Грязный дьявол,,1
269,Боевой вездеход,,1
270,Молния,,1
272,Олеа Ханоа,,0
273,Повелитель ужаса - лазутчик,,1
274,Материализованная тень,,0
275,Автом защитной матрицы,,1
276,Автом-компостировщик,,1
277,Автом-страж,,1
278,Автом-собиратель,,1
279,Мал'Ганис,Вечные,0
280,Кин'тесса,Обманщица,0
281,Автом-разоритель Нео,,1
282,Стабилизированный элементаль,,1
283,Перегретый сердечник,,0
284,Чародейский образ,,0
285,Внимательный страж,,1
286,Усмиренный служитель,,1
287,Беспринципный ловчий,,0
288,Амбициозный мини-босс,,0
289,Строящий козни шаман,,0
290,,,0
291,Натрезим-лазутчик,,0
292,Успокоенный краб,,0
293,Спасенная морская черепаха,,0
294,Спасенный детеныш черепахи,,0
295,Спасенный чирок,,0
296,Спасенное речное чудище,,0
297,Спасенный детеныш речного чудища,,0
298,"""Дружелюбный"" гнолл",,1
299,Спасенный василиск,,0
300,Пылающий грозный ворон,,0
301,Акора,Смотритель,0
302,Дазакрос,Смотритель,0
303,Трусливый рогоплав,,0
304,Мстительный длиннорог,,0
305,Уктулутский старший охотник,Охотник,0
306,Прирученный выдрек,Спутник старшего охотника,0
307,Перегруженный элементаль молний,,1
308,Успокоенный змей,,1
309,Дракомандир Саркарет,Расколотое Пламя,0
310,Крутой квакун,,0
311,Заряженный инструмент,,1
312,Усмиренная лягушка,,0
