CalloutText_lang,CalloutFrame,ID,Type,Direction,Field_10_1_0_48480_005,UiWidgetSetID,OffsetX,OffsetY
Добыча,ContainerFrame1Item1,1,2,1,107628,0,0,0
Замена,ContainerFrame1Item1,2,2,1,107628,0,0,0
Добыча,MultiBarBottomLeftButton1,9,2,1,107628,0,0,0
Поменять местами|n|n(прокрутка ячеек: |cFF00FFFFTab|r),MultiBarBottomLeftButton1,10,2,1,107628,0,0,0
Поменять местами|n|n(прокрутка ячеек: |cFF00FFFFTab|r),MultiBarBottomLeftButton2,11,2,1,107628,0,0,0
Добыча,MultiBarBottomLeftButton2,12,2,1,107628,0,0,0
Добыча,MultiBarBottomRightButton1,13,2,1,107628,0,0,0
Поменять местами|n|n(прокрутка ячеек: |cFF00FFFFTab|r),MultiBarBottomRightButton1,14,2,1,107628,0,0,0
Добыча,MultiBarBottomRightButton2,15,2,1,107628,0,0,0
Поменять местами|n|n(прокрутка ячеек: |cFF00FFFFTab|r),MultiBarBottomRightButton2,16,2,1,107628,0,0,0
"Нажмите [Tab], чтобы переключиться",MultiBarBottomLeft,17,3,3,0,0,0,0
Улучшение!,MultiBarBottomLeftButton1,18,2,1,107628,0,0,0
Улучшение!,MultiBarBottomLeftButton2,19,2,1,107628,0,0,0
Улучшение!,MultiBarBottomRightButton1,20,2,1,107628,0,0,0
Улучшение!,MultiBarBottomRightButton2,21,2,1,107628,0,0,0
"Дождитесь прибытия достаточного количества игроков, чтобы начать турнир!",UIWidgetBelowMinimapContainerFrame,29,3,3,0,0,0,0
,MultiBarBottomLeft,31,4,0,21439,772,-50000,16
,MultiBarBottomRight,32,4,0,21439,772,-50000,16
Test,ScenarioStageBlock,34,1,3,0,0,0,0
