ID,Name_lang,PlayerConditionID,VisibleTrackingQuestID,QuestFeedbackEffectID,Flags,MaxHeight,MinHeight,VignetteType,RewardQuestID,UiWidgetSetID,UiMapPinInfoID,ObjectiveType
4,Vignette Test Kill,0,0,89,66,0,0,0,0,0,1,0
5,Vignette Test Loot,18071,0,108,0,0,0,0,0,0,0,0
9,Vignette Test Event,10345,0,90,2,0,0,0,0,0,0,0
10,Рогаш Сбивающий Звезды,22188,0,89,0,0,0,0,0,0,0,0
11,Фара-кладоискатель,22189,0,88,0,0,0,0,0,0,0,0
12,Пленный дреней,22190,0,89,0,0,0,0,0,0,0,0
13,Пророк Бездны,22191,0,89,0,0,0,0,0,0,0,0
14,Урака,22192,0,89,0,0,0,0,0,0,0,0
15,Звездий,22193,0,89,0,0,0,0,0,0,0,0
16,Защитный кристалл Эмбаари,22194,0,90,0,0,0,0,0,0,0,0
17,Таинственная пустота,22196,0,90,0,0,0,0,0,0,0,0
18,Уничтожитель,22197,0,89,0,0,0,0,0,0,0,0
19,Пророчество Жеррикара,22198,0,89,0,0,0,0,0,0,0,0
20,Пророчество Краатора,22199,0,89,0,0,0,0,0,0,0,0
21,Пророчество стража портала,22200,0,89,0,0,0,0,0,0,0,0
22,Создание уничтожителя,22201,0,89,0,0,0,0,0,0,0,0
23,Листочтец Курри,22202,0,89,0,0,0,0,0,0,0,0
24,Сокровище железной цепи,22203,0,88,0,0,0,0,0,0,0,0
25,Гигрофор,22205,0,89,0,0,0,0,0,0,0,0
26,Каменное Копыто,22206,0,89,0,0,0,0,0,0,0,0
27,Талби,22213,0,90,0,0,0,0,0,0,0,0
28,Сокровище Тенистой горы,22215,0,88,0,0,0,0,0,0,0,0
29,Бергзоид,22216,0,89,0,0,0,0,0,0,0,0
30,Иггдрел,22217,33389,89,0,0,0,0,0,0,0,0
33,Кроволапка,19147,0,89,0,0,0,0,0,0,0,0
34,Хрустозуб,0,0,89,0,0,0,0,0,0,0,0
35,Злобнохап,0,0,89,0,0,0,0,0,0,0,0
36,Склизень,0,0,89,0,0,0,0,0,0,0,0
37,Айта,0,0,89,0,0,0,0,0,0,0,0
38,Дух Лао-Фэ,0,0,89,0,0,0,0,0,0,0,0
39,Бай-Цзинь Мясник,0,0,89,0,0,0,0,0,0,0,0
40,Гочао Железный Кулак,19146,0,89,0,0,0,0,0,0,0,0
41,Гаохунь Ловец Душ,19147,0,89,0,0,0,0,0,0,0,0
42,Генерал Темуджа,0,0,89,0,0,0,0,0,0,0,0
43,Повелитель теней Сайдоу,0,0,89,0,0,0,0,0,0,0,0
44,Улунь,0,0,89,0,0,0,0,0,0,0,0
45,Хо-Шуан,19147,0,89,0,0,0,0,0,0,0,0
46,Баолай Воспламенитель,0,0,89,0,0,0,0,0,0,0,0
47,Вираксис,0,0,89,0,0,0,0,0,0,0,0
48,Кри'чон,0,0,89,0,0,0,0,0,0,0,0
49,Напрочь прокисший хмель,0,0,90,0,50,-50,0,0,0,0,0
50,Зесква,0,0,89,0,50,-50,0,0,0,0,0
51,Затонувшее сокровище,22051,0,88,0,50,-50,0,0,0,0,0
52,Целый Зарим,22056,0,90,0,50,-50,0,0,0,0,0
53,Журавлецап,0,0,89,0,50,-50,0,0,0,0,0
54,Груз черного стража,22347,0,88,0,50,0,0,0,0,0,0
55,Клад Кукуру,0,0,88,0,50,-50,0,0,0,0,0
56,Перевязанный канатами ящик с сокровищами,0,0,88,8,0,-30,0,0,0,0,0
57,Блестящий сундук с сокровищами,0,0,88,8,0,-50,0,0,0,0,0
58,Блестящий мешок с сокровищами,0,0,88,8,50,-50,0,0,0,0,0
59,Шелон,0,0,89,0,50,-50,0,0,0,0,0
60,Карканос,0,0,89,0,50,-50,0,0,0,0,0
61,"Битва ""Рака""",0,0,90,0,0,0,0,0,0,0,0
62,Jeremy's Test Vignette,0,0,252,66,0,0,0,0,0,0,0
63,Лунная волчица,0,0,89,0,0,0,0,0,0,0,0
64,Обрушение,22415,0,90,0,50,-50,0,0,0,0,0
65,Твердорогий сталемех,0,0,89,0,50,-50,0,0,0,0,0
66,Целитель листвы,0,0,89,0,0,-50,0,0,0,0,0
67,Большая черепаха Гневный Панцирь,0,0,89,0,50,-50,0,0,0,0,0
68,Изумрудный гусак,0,0,89,0,50,-50,0,0,0,0,0
69,Гу'чи Зовущий Рой,0,0,89,0,50,-50,0,0,0,0,0
70,Дух Нефритового Пламени,22604,0,89,0,50,-50,0,0,0,0,0
71,Косохрип,0,0,89,0,50,-50,0,0,0,0,0
72,Виззиг,0,0,90,0,50,-50,0,0,0,0,0
73,Чжу-Гонь Прокисший,0,0,89,0,50,-50,0,0,0,0,0
74,Чароброд,0,0,89,0,50,-50,0,0,0,0,0
75,Гарния,120653,0,977,66660,0,0,0,0,0,0,0
76,Пещерный Мох,120653,0,977,66660,0,0,0,0,0,0,0
77,Пеплопад,120653,0,977,66660,0,0,0,0,0,0,0
78,Тсаво'ка,120653,0,977,66660,0,0,0,0,0,0,0
79,Холон,120653,0,977,66660,0,0,0,0,0,0,0
80,Огромный иглохват,120653,0,977,66660,0,0,0,0,0,0,0
81,Буфо,120653,0,977,66660,0,0,0,0,0,0,0
82,"Проклятый корабль ""Вазувий""",120653,0,977,66660,0,0,0,0,0,0,0
83,Голганарр,120653,0,977,66660,0,0,0,0,0,0,0
84,Императорский питон,120653,0,977,66660,0,0,0,0,0,0,0
85,Вечножор,120653,0,977,66660,0,0,0,0,0,0,0
86,Архиерей пламени,120653,0,977,66660,0,0,0,0,0,0,0
87,Смотритель Осу,120653,0,977,66660,0,0,0,0,0,0,0
88,Урдур Прижигатель,120653,0,977,66660,0,0,0,0,0,0,0
89,Якур Ордосский,120653,0,977,66660,0,0,0,0,0,0,0
90,Повелитель кремня Гайран,120653,0,977,66660,0,0,0,0,0,0,0
