ID,Name_lang,HordeName_lang,ParentTradeSkillCategoryID,SkillLineID,OrderIndex,Flags
58,Праздничная готовка,,72,185,4,0
59,Зимний Покров,,58,185,0,0
63,Для повседневного приготовления,,90,185,7,0
64,Путь Гриля,,90,975,1,1
65,Путь Вок,,90,976,2,1
66,Путь Котелка,,90,977,3,1
67,Путь Пароварки,,90,978,4,1
68,Путь Печи,,90,979,5,1
69,Путь варения напитков,,90,980,6,1
70,Необычные наслаждения,,72,185,5,0
72,Рецепты старого мира,,1016,2548,999,1
73,Блюда Запределья,,1017,2547,990,1
74,Рецепты далекого Севера,,1018,2546,980,1
75,Рецепты времен Катаклизма,,1019,2545,970,1
76,Основное,,379,165,0,0
84,Другое,,362,197,10,0
90,Пандаренские деликатесы,,1015,2544,960,1
91,Символы,,450,773,140,0
92,Символ - маг,,415,773,170,0
93,Символ - жрец,,415,773,200,0
94,Символ - чернокнижник,,415,773,230,0
95,Символ - друид,,415,773,150,0
96,Символ - монах,,415,773,180,0
97,Символ - разбойник,,415,773,210,0
98,Символ - охотник,,415,773,160,0
99,Символ - шаман,,415,773,220,0
100,Символ - паладин,,415,773,190,0
101,Символ - воин,,415,773,240,0
102,Посохи и жезлы,,415,773,70,0
103,Для левой руки,,415,773,80,0
104,Чернила,,415,773,20,0
105,Реагент,,415,773,110,0
106,Карта,,415,773,50,0
107,Свитки,,415,773,100,0
108,Исследование,,415,773,10,0
113,Символ,,415,773,0,0
114,Другое,,415,773,250,0
115,Задание,,415,773,60,0
116,Ремесла,,415,773,90,0
117,Телепортация,,415,773,120,0
118,Материал,,415,773,0,0
119,Начертание для наплечников,,763,773,60,0
127,Только для себя,,415,773,30,0
128,Становится персональным при надевании,,415,773,20,0
130,Становится персональным при использовании,,415,773,20,0
131,Становится персональным при поднятии,,415,773,10,0
150,Бинты,,397,129,100,0
151,Противоядия,,397,129,200,0
164,Синие самоцветы,,372,755,15,0
165,Кистевое оружие,,372,755,90,0
166,Зеленые самоцветы,,372,755,30,0
167,Короны и аксессуары,,372,755,80,0
168,Материалы,,372,755,65,0
169,Особые самоцветы,,372,755,40,0
170,Средства передвижения,,372,755,60,0
171,Ожерелья,,372,755,55,0
172,Оранжевые самоцветы,,372,755,25,0
173,Радужные самоцветы,,372,755,45,0
174,Фиолетовые самоцветы,,372,755,35,0
