ID,Text_lang
2,"Хотя по отдельности вурдалаки слабы и неразумны, они служат Черному Клинку в качестве пушечного мяса и способны одолеть врагов одним только численным превосходством."
3,"Хрупкие, но очень гибкие, упыри, преследуя свои жертвы, способны взбираться по отвесным стенам и неровным поверхностям."
4,Король-лич поднял из могил рыцарей Черного Клинка с одной-единственной целью – они должны убивать или быть убитыми.
5,"Опустошители Черного Клинка – бывалые воины, закаленные в множестве битв и сразившие бессчетное количество врагов. Это элита Черного Клинка, его самые неистовые и беспощадные воины."
6,"С тех пор как сломленных-Пеплоустов поразила энергия Скверны, они научились скрываться и выживать любыми способами – и могут нападать как в открытую, так и исподтишка."
7,"Наги из клана Змеиных Колец, которые некогда были подданными леди Вайш и Кель'таса, превратили мирмидонов в суровых и жестоких воинов."
8,"Иллидарские охотники на демонов овладевают демонической силой, утрачивая при этом эльфийские черты внешности, чтобы эффективнее сражаться с Пылающим Легионом."
9,"Самые могущественные из иллидари полностью подчинили себе силу демонов и обрели с ними абсолютное сходство, превратившись в темные крылатые существа, которые способны уничтожать врагов."
10,"Когда лесу угрожает опасность, деревья оживают и встают на защиту своего дома."
11,"Дриады – наполовину эльфы, наполовину олени. Обычно они миролюбивы и веселы. Однако случись кому-то причинить вред природе, дриады откроют на него безжалостную охоту."
12,"Друиды-медведи – настоящие мастера перевоплощения. Они способны пробудить в себе силу медведя и принять его облик, обретая мощь и стойкость этого зверя, чтобы расправиться с врагом."
13,"Внешне хранители рощи отчасти похожи на эльфов, отчасти – на оленей; на одной руке у них длинные когти, изгибом напоминающие ветви дерева. Они происходят от самого Кенария и обладают огромной властью над силами природы."
14,"Лучники – меткие стрелки, часто сопровождающие пехотные отряды. Они особенно эффективно сражаются в группах, которые обычно сосредотачивают свои усилия на одной цели или точке скопления врагов."
15,"Мастера-стрелки Незримого пути достигают в своем деле таких высот, что способны поразить врага при практически нулевой видимости."
16,"Даже когда бушуют стихии, а след едва различим, звероловы Незримого пути способны настичь и поразить свою добычу."
17,"Хотя ориентироваться на дикой местности способен каждый охотник, землепроходцам в этом поистине нет равных – они не только добровольно живут среди дикой природы, но и умеют обращать ее дары против своих врагов."
18,"Большинство магов считает элементалей непредсказуемыми, однако маги льда сделали элементалей воды своими магическими помощниками много веков назад."
19,"Чародейские големы – творения рук выдающихся каменщиков и металлорезов, оживленные могущественным колдовством. Они призваны защищать магов в случаях, когда нужна грубая сила."
20,"В ученики Стражей Тирисфаля попадают только самые талантливые заклинатели: у них даже новички могущественнее, чем мастера менее значимых орденов."
21,"Заклинатели Кирин-Тора – это элита среди практикующих тайную магию и магию стихий. Из их рядов в свое время вышло немало великих магов, в том числе Ниелас Аран, отец Медива."
22,"""Физическая сила приходит к нам извне, а стойкость рождается внутри"". Гневион"
23,"Стиль адептов школы Быка позволяет им держаться в бою дольше, чем большинство противников. Эти бойцы клянутся посвятить свою силу защите слабых."
24,"Монахи школы Быка – решительные и стойкие бойцы, и только самые достойные из них получают звание мастера. Для этого им часто необходимо пройти испытание: встретиться лицом к лицу со своими сильнейшими страхами и преодолеть их."
25,"""Сила и мощь – вещи столь же разные, как солнце и луна"". Сюэнь, Белый Тигр"
26,"Адепты школы Тигра, обученные наносить удары со скоростью молнии, знают, что выбор подходящего времени для удара важнее силы, с которой он будет нанесен."
27,"Быстрые и спокойные, мастера Пути Тигра в совершенстве овладели и силой, и терпением. Свою внутреннюю силу они посвятили служению другим."
28,"Очень многие оруженосцы Серебряной Длани мечтают сами стать рыцарями, но есть и такие, кто почитает за высшую честь служить тому, кто отдал Свету всего себя без остатка."
29,"Большинство паладинов ордена Серебряной Длани отправляются в битву верхом на боевых конях, однако у щитоносцев иная стезя: они специализируются на обороне, создавая из своих щитов непроницаемую стену."
30,"Рыцари ордена Серебряной Длани оттачивают свои боевые навыки с тем же рвением и прилежанием, с каким они предаются молитвам, ведь это необходимо, чтобы лучше защищать слабых и невинных."
31,"Храмовники Серебряной Длани отличаются не только исключительными боевыми навыками, но и праведностью своих поступков. Сила оружия и чистота помыслов – два обязательных требования, и лишь те, кто соответствует обоим, достойны называться защитниками."
32,"Послушники Конклава, многие из которых еще только начинают свой духовный путь, испытывают глубокую страсть к учению и с энтузиазмом выполняют наставления и задания."
33,"Идеалы Конклава достигли небывалых вершин мастерства во всем, что касается сил Света. Они получили известность благодаря скрупулезному изучению и толкованию священных текстов."
34,"Ревнители Конклава – это исполненные неистовой верой священники, подвергающие свою плоть истязаниям, среди которых и болезненное самобичевание. Они добровольно сносят мучения, чтобы достичь духовного просветления."
35,"Тайные ритуалы темных ревнителей призваны подтолкнуть преданных последователей к переломному моменту, а затем провести через него. Те, кто переживет это испытание, обретают способность полностью исчезать в тенях."
36,"Бандитов, которых часто считают обычными преступниками, Некоронованные используют для добычи информации и материальных ценностей. Выполняя подобные задачи, бандиты могут прибегать как к скрытным, так и к силовым методам."
37,"Закаленные головорезы из братства Справедливости, выступающие против развращенных коррупцией аристократов, носят красные банданы, символизирующие кровь, пролитую угнетенными."
38,"""Дуэльный круг? Здесь? Даже если они всего лишь азартные игроки без чести и совести, то все равно могут быть в хорошей боевой форме"". Джорах Черный Ворон"
39,"Пираты из шайки Кровавого Паруса могут сражаться и на суше, и на море – как в трезвом, так и в нетрезвом состоянии. Как только на горизонте показываются алые паруса, враги сдаются до того, как успеет выстрелить хотя бы одна пушка."
40,"Хотя малые элементали и занимают низкое положение в иерархии элементалей, они способны одолеть врагов благодаря своей несметной численности."
41,"Только самые могущественные шаманы могут призывать больших элементалей и повелевать ими, ведь элементаль может в любой момент восстать против призывателя и наказать его за дерзость."
42,"""Чтобы услышать голос земли, не нужны уши, ибо мудрость ее говорит не словами"". Заклинательница земли Ева"
43,"""Врагам очень непросто тебя одолеть, когда ты повелеваешь самой землей у них под ногами"". Геомант Джакара"
44,"Искусные шаманы воздуха играют роль живых проводников стихий и облекают себя яростью бури, становясь перерожденными служителями воздуха."
45,"Насыщая свои тела пламенем, перерожденные служители огня становятся с ним единым целым и сжигают врагов дотла."
46,"Выходя за пределы своей плоти и впуская в себя стихию воды, перерожденные служители воды подчиняют себе переменчивую и очищающую силу морей – глубокую, как сам океан."
47,"Бесы относятся к низшим демонам, и их часто недооценивают из-за того, что поодиночке они довольно слабы. Однако в стае они быстро восполняют боевые потери и представляют угрозу потому, что каждого из членов стаи очень непросто убить."
48,"""Понятия не имею, откуда они явились. Я стояла там и осыпала врагов адским пламенем, а через миг налетели эти маленькие твари, повсюду швыряя свои стрелы Скверны"". Люлюбелла Непопамс"
49,"Послушники Совета Мрачной Жатвы готовы ради запретного знания пожертвовать чем угодно, даже друг другом. Многих неофитов часто находят мертвыми после их экспериментальных ритуалов."
50,"Послушники Совета Мрачной Жатвы редко достигают звания заклинателя, ибо темная энергия, к которой они взывают в процессе своего восхождения, часто поглощает их."
51,"""Врайкулы, взятые нами в плен, смотрели на своих павших товарищей со странной печалью. Казалось, они завидовали мертвым"". Король Вариан Ринн"
52,"Самые достойные из валарьяров после смерти получают тела из чистого металла, облаченные светом молний."
53,"У дев щита незамысловатая тактика ведения боя, но они стремятся достойно показать себя в битвах, чтобы их имена всегда помнили в Чертогах Доблести Одина."
54,"Валькиры выбирают самых сильных дев щита на служение Эйир – стражнице титанов. Валькиры – девы щита, доблестно погибшие в бою, могут стать легендарными валькирами."
