Name_lang,Description_lang,Objective_lang,ID,BattlemasterListID,LFGDungeonsID,RewardsQuestID
Test Brawl,Test brawl description.,,1,0,2041,0
Потасовка: Южнобережье против Мельницы Таррен,Командная схватка,"- Убивайте вражеских игроков, чтобы заработать очки
- Почетные убийства повышают ваш ранг
- За убийство игроков более высоких рангов начисляется больше очков",2,789,0,0
Потасовка: храм Быстромогу,Сферы могущества,"- Скорость повышена
- Скорость передвижения повышена
- Время возрождения уменьшено",3,858,0,0
Потасовка: искажение гравитации,Повышенная мощь,"- Гравитация регулярно меняется
- Владелец флага становится тяжелее
- Все остальные игроки взлетают в воздух",4,859,0,0
Потасовка: вьюга на Арати,Ледяная мощь,"- Захватите объекты
- Видимость ограничена
- Территория заморожена",5,847,0,0
Потасовка: данк Суровых Ветров,Игра в мяч,"- Подбирайте мячи у рудников
- Доставляйте мячи на вражескую базу
- Забрасывайте мячи дальними бросками или данком",6,860,0,0
Потасовка: Ок-бору,Козлиная мощь,"- Вы сражаетесь верхом на козле!
- Козел отбрасывает противников
- С увеличением дистанции сила отбрасывания возрастает",7,862,0,0
Потасовка: аншлаг,Бой 15х15,"- Командная схватка
- 15 игроков на команду
- Побеждает команда, которая продержится дольше",8,866,0,0
Потасовка: драка Песни Войны,Захват флагов,"- Каждая команда имеет несколько флагов
- Достаточно захватить один из них
- Подбирайте кубики со случайными усилениями",9,861,0,0
Потасовка: разборка Шадо-Пан,Арена 5 на 5,"– Арена 5 на 5
– Убейте босса-могу команды соперника, чтобы одержать победу
– Откройте призванный сундук, чтобы подобрать усиление",10,853,0,0
Потасовка: великолепная шестерка,Поля боя 6 на 6,"– 6 игроков на команду
– Новые режимы игры",11,879,0,0
Потасовка: великолепная шестерка – битва за Гилнеас,Поля боя 6 на 6,"– 6 игроков на команду
– Новые режимы игры",12,885,0,0
Потасовка: великолепная шестерка – ущелье Песни Войны,Поля боя 6 на 6,"– 6 игроков на команду
– Новые режимы игры",13,886,0,0
Потасовка: великолепная шестерка – Сверкающие копи,Поля боя 6 на 6,"– 6 игроков на команду
– Новые режимы игры",14,883,0,0
Потасовка: великолепная шестерка – храм Котмогу,Поля боя 6 на 6,"– 6 игроков на команду
– Новые режимы игры",15,884,0,0
Потасовка: великолепная шестерка – Око Бури,Поля боя 6 на 6,"– 6 игроков на команду
– Новые режимы игры",16,882,0,0
Потасовка: Миссия неприготовима,Состязание собирателей,"- Собирайте ингредиенты возле фермы и приносите их своему повару.
- Побеждает тот, кто первым соберет достаточное количество.
- Одолейте прыгохвоста-грызуна противоположной фракции, чтобы завоевать его расположение.",17,887,0,0
Потасовка: дом полная хата,Командная схватка,"- Командная сватка
- 3 игрока на команду
- Первые двое погибших в каждой команде сразу воскресают",18,0,0,0
Бурлящий берег,Собирайте азерит,"Крупные запасы азерита были найдены на затерянном острове недалеко от Фераласа, теперь известном как Бурлящий берег.",19,894,0,0
Потасовка: классический Ашран,Поле бесконечной эпической битвы,"- Битва за Ашран никогда не заканчивается!
- Убивайте лидеров противоположной фракции и побеждайте в событиях, чтобы зарабатывать награды.
- Подбирайте фрагменты артефакта, обыскивая трупы убитых врагов, и получайте за них положительные эффекты для своей фракции.",120,1021,0,0
Потасовка: ботобойка,Превосходство,"- Захватывайте объекты
- Убивайте противников
- Одержите победу",121,0,1966,0
Озеро Ледяных Оков,Оборона или штурм крепости Ледяных Оков,"- Защитники побеждают, если удерживают контроль над крепостью.
- Атакующие побеждают, когда уничтожают последнюю стену крепости.",122,1030,0,0
Потасовка: остров Кишащий,Остров 10 на 10,Нам понадобится большой корабль...,123,0,2025,0
Месть Коррака,Событие к годовщине World of Warcraft,"– Сражайтесь в Альтеракской долине прошлых дней.
– Сразите Коррака Кровопуска и отразите нашествие троллей!
– Получайте награды за выполнение заданий и боевых задач.",124,1033,0,63953
Каньон Суровых Ветров,Захватите объекты.,"- Захватите и удерживайте объекты.
- Накопите 1500 ед. ресурсов.",125,1039,0,0
Потасовка: месть Коррака,Классическая Альтеракская долина,"– Сражайтесь в Альтеракской долине прошлых дней.
– Сразите Коррака Кровопуска и отразите нашествие троллей!
– Получайте награды за выполнение заданий и боевых задач.",126,1033,0,0
Соло-суматоха,Арена с перемешиванием команд,"– 6 игроков проводят 6 раундов на арене 3х3
– Команды перемешиваются в конце каждого раунда.
– В очередь можно встать только в одиночку.",130,1065,0,0
Соло-суматоха: Арена Тайн,Арена с перемешиванием команд,"– 6 игроков проводят 6 раундов на арене 3х3
– Команды перемешиваются в конце каждого раунда.
– В очередь можно встать только в одиночку.",132,0,0,0
Потасовка: взрывы Суровых Ветров,Найти и уничтожить,"- Поднимите бомбу на рынке
- Сопроводите ее до базы
- Заложите бомбу и защищайте ее",133,1075,0,0
Потасовка: блиц по полям боя,Блиц по полям боя,"- Одиночная очередь. Исключение: лекари (+1 игрок)
- По 8 игроков в каждой команде
- Сражайтесь плечом к плечу с участниками обеих фракций
- Скорость передвижения на транспорте повышена для всех игроков
- Ускоренные режимы игры",136,1101,0,0
Потасовка: блиц по полям боя – ущелье Песни Войны,Блиц по полям боя,,137,1102,0,0
Потасовка: блиц по полям боя – Два Пика,Блиц по полям боя,,138,1103,0,0
Потасовка: блиц по полям боя – битва за Гилнеас,Блиц по полям боя,,139,1104,0,0
Потасовка: блиц по полям боя – Сверкающие копи,Блиц по полям боя,,140,1105,0,0
Потасовка: блиц по полям боя – храм Котмогу,Блиц по полям боя,,141,1106,0,0
Потасовка: блиц по полям боя – каньон Суровых Ветров,Блиц по полям боя,,142,1109,0,0
Потасовка: блиц по полям боя – низина Арати,Блиц по полям боя,,143,1108,0,0
Потасовка: блиц по полям боя – Око Бури,Блиц по полям боя,,144,1107,0,0
Потасовка: пыл битвы,Арена 3 на 3,"– Арена 3 на 3.
– Чем ниже уровень здоровья у вражеских игроков, тем больше урона наносит ваша команда.
– Лекари получают флягу для восстановления маны, из которой можно пить в бою.",145,1111,0,0
Потасовка: блиц по полям боя – Золотоносная падь,Блиц по полям боя,,147,1118,0,0
Золотоносная падь,Золотоносная падь,"- Захватывайте и защищайте вагонетки
- Захватите центральный самоцвет
- Добудьте 1500 ресурсов",148,1110,0,0
