ID,Name_lang,TrophyTypeID,GameObjectDisplayInfoID,PlayerConditionID
1,Мастер апексита,3,20529,28227
3,Мастер дренорского ремесла,3,19152,27762
4,Защитник Дренора,4,19153,28169
5,Дренорский зверовод,3,20514,28226
9,Рейдер Дренора (эпохальный режим),3,19207,28220
10,Рейды Дренора (эпохальный режим),4,19209,28220
11,Мастер дренорского ремесла,4,19573,27762
12,Защитник Дренора,3,20403,28169
13,Дренорский зверовод,4,20528,28226
14,Мастер апексита,4,20530,28227
15,Вполне обычная статуя,0,10782,24827
16,Король в зеленом,4,23436,30838
17,Король в зеленом,3,23502,30838
18,Глава 4: Воплощение мрака,3,26914,34184
19,Дренорский зверовод,0,20514,27108
20,Глава 4: Воплощение мрака,4,26914,34184
