ID,Name_lang,Description_lang,Flags,ClassMask,SpellIconFileID,RaceMasks[0],RaceMasks[1]
1,Телепорт,Переносит вас в крупный город.,0,128,237509,1309324210,-1440044374
8,Телепорт,Переносит вас в крупный город.,0,128,237509,-1321907123,1427461461
9,Призыв питомца,Призвать выбранного питомца.,0,4,132161,-1,-1
10,Призыв демона,Призывает одного из ваших демонов.,0,256,136082,-1,-1
11,Портал,"Создает портал, который переносит использовавших его участников группы в крупный город.",0,128,135744,1309324210,-1440044374
12,Портал,Переносит вас в крупный город.,0,128,135748,-1321907123,1427461461
66,Яды,Смазать оружие сильным ядом.,0,8,136242,-1,-1
67,Гримуар служения,"Мгновенно призвать второго демона, который будет сражаться на вашей стороне в течение 25 сек.",0,256,538444,-1,-1
84,Путь героя: Mists of Pandaria,"Телепортирует ко входу в подземелье Mists of Pandaria, для которого вы получили золотую медаль или достижение ""Герой ключей"". Время восстановления этих заклинаний сбрасывается, когда вы проходите подземелье с эпохальным ключом.",0,-1,519384,-1,-1
92,Виды превращения,"Альтернативные визуальные эффекты заклинания ""Превращение"", позволяющие вам превращать цель в различные виды существ.",0,128,575586,-1,-1
93,Особенные боеприпасы,"Позволяет изменять свое оружие дальнего боя, чтобы использовать особенные боеприпасы.",0,4,249177,-1,-1
96,Путь героя: Warlords of Draenor,"Телепортирует ко входу в подземелье Warlords of Draenor, для которого вы получили золотую медаль или достижение ""Герой ключей"". Время восстановления этих заклинаний сбрасывается, когда вы проходите подземелье с эпохальным ключом.",0,-1,519384,-1,-1
103,Инструментарий питомца,"Различные инструменты, предназначенные для управления вашим питомцем.",0,4,132179,-1,-1
106,"Вариации ""Сглаза""","Альтернативные визуальные эффекты заклинания ""Сглаз"", позволяющие вам превращать цель в различные виды существ.",0,64,538518,-1,-1
217,Инструменты кирий,Сыграть на музыкальном инструменте кирий.,0,0,454048,-1,-1
219,Адаптация,"Вы адаптируетесь к новому виду магии, в результате чего ваша атака дыханием изменяется.",0,4096,254886,-1,-1
220,Путь героя: Темные Земли,"Телепортирует к входу в подземелье Темных Земель, для которого вы получили достижение ""Герой ключей"". Время восстановления этих заклинаний сбрасывается, когда вы проходите подземелье с эпохальным ключом.",0,-1,519384,-1,-1
222,Путь героя: рейды Shadowlands,"Телепортирует ко входу в рейд Shadowlands. Доступно только после получения достижения  ""Судьбоносные рейды Темных Земель"" в эпохальном режиме.",0,-1,519384,-1,-1
