DisplayName_lang,AlternateVerb_lang,Description_lang,HordeDisplayName_lang,NeutralDisplayName,ID,CategoryID,SpellIconFileID,CanLink,ParentSkillLineID,ParentTierIndex,Flags,SpellBookSpellID,ExpansionNameSharedStringID,HordeExpansionNameSharedStringID
Мечи,,"Чем лучше развит этот навык, тем больше вероятность нанесения урона.",,,43,6,136243,0,0,0,128,0,0,0
Топоры,,"Чем лучше развит этот навык, тем больше вероятность нанесения урона.",,,44,6,136243,0,0,0,128,0,0,0
Луки,,"Чем лучше развит этот навык, тем больше вероятность нанесения урона.",,,45,6,136243,0,0,0,128,0,0,0
Огнестрельное оружие,,"Чем лучше развит этот навык, тем больше вероятность нанесения урона.",,,46,6,136243,0,0,0,128,0,0,0
Дробящее оружие,,"Чем лучше развит этот навык, тем больше вероятность нанесения урона.",,,54,6,136243,0,0,0,128,0,0,0
Двуручные мечи,,"Чем лучше развит этот навык, тем больше вероятность нанесения урона.",,,55,6,136243,0,0,0,128,0,0,0
Защита,,"Чем лучше развит этот навык, тем выше ваши шансы на успешное парирование, блок или уклонение от атаки противника. Кроме того, развитие этого навыка снижает вероятность получения критического урона.",,,95,6,136243,0,0,0,640,0,0,0
Язык: всеобщий,,,,,98,10,136243,0,0,0,144,0,0,0
Расовая способность дворфов,,Расовая способность дворфов,,,101,9,136243,0,0,0,33938,0,0,0
Язык: орочий,,,,,109,10,136243,0,0,0,128,0,0,0
Язык: дворфийский,,,,,111,10,136243,0,0,0,128,0,0,0
Язык: дарнасский,,,,,113,10,136243,0,0,0,128,0,0,0
Язык: таурахэ,,,,,115,10,136243,0,0,0,128,0,0,0
Бой с оружием в каждой руке,,Бой с оружием в каждой руке,,,118,6,136243,0,0,0,146,0,0,0
Расовая способность тауренов,,Расовая способность тауренов,,,124,9,136243,0,0,0,33938,0,0,0
Расовая способность орков,,Расовая способность тауренов,,,125,9,136243,0,0,0,32914,0,0,0
Расовая способность ночных эльфов,,Расовая способность ночных эльфов,,,126,9,136243,0,0,0,33938,0,0,0
Посохи,,"Чем лучше развит этот навык, тем больше вероятность нанесения урона.",,,136,6,136243,0,0,0,128,0,0,0
