Name_lang,ID,SecondaryID,Flags,ChrModelID,OrderIndex,ChrCustomizationCategoryID,OptionType,BarberShopCostModifier,ChrCustomizationID,Requirement,SecondaryOrderIndex,AddedInPatch
Цвет кожи,1,1,16,0,0,2,0,0,0,0,0,90001
Лицо,2,2,0,0,1,2,0,0,0,0,1,90001
Прическа,3,3,0,0,2,4,0,0,0,0,2,90001
Цвет волос,4,4,0,0,3,4,0,0,0,0,3,90001
Борода и усы,5,5,0,0,4,4,0,0,0,0,4,90001
Татуировка,6,6,8,0,5,5,0,0,0,0,5,90001
Вид рогов,7,7,0,0,6,2,0,0,0,0,6,90001
Повязка на глаза,8,8,8,0,7,2,0,0,0,0,7,90001
Цвет кожи,9,9,80,1,2,2,0,0,1,0,1,90001
Лицо,10,10,128,1,1,2,0,0,2,0,2,90001
Прическа,11,11,0,1,3,2,0,0,3,0,4,90001
Цвет волос,12,12,2,1,4,2,0,0,4,0,5,90001
Борода,13,13,0,1,6,2,0,0,5,0,7,90001
Цвет кожи,14,14,80,2,2,2,0,0,1,0,1,90001
Лицо,15,15,128,2,1,2,0,0,2,0,2,90001
Прическа,16,16,0,2,3,2,0,0,3,0,3,90001
Цвет волос,17,17,2,2,4,2,0,0,4,0,4,90001
Цвет кожи,19,19,80,3,2,2,0,0,1,0,1,90001
Лицо,20,20,128,3,1,2,0,0,2,0,2,90001
Прическа,21,21,0,3,3,2,0,0,3,0,3,90001
Цвет волос,22,22,2,3,4,2,0,0,4,0,4,90001
Борода,23,23,0,3,5,2,0,0,5,0,5,90001
Прямая осанка,24,24,40,3,24,5,1,0,46,0,24,90001
Цвет кожи,25,25,80,4,2,2,0,0,1,0,1,90001
Лицо,26,26,128,4,1,2,0,0,2,0,2,90001
Прическа,27,27,0,4,3,2,0,0,3,0,3,90001
Цвет волос,28,28,2,4,4,2,0,0,4,0,4,90001
Серьги,29,29,8,4,10,3,0,0,11,0,10,90001
Цвет кожи,30,30,80,5,2,16,0,0,1,0,1,90001
Лицо,31,31,128,5,1,16,0,0,2,0,2,90001
Прическа,32,32,0,5,3,16,0,0,3,0,3,90001
Цвет волос,33,33,2,5,4,16,0,0,4,0,4,90001
Борода,34,34,0,5,6,16,0,0,5,0,6,90001
