ID,Name_lang,TotemCategoryType,TotemCategoryMask
1,Нож для снятия шкур,1,1
2,Тотем земли,2,1
3,Тотем воздуха,2,2
4,Тотем огня,2,4
5,Тотем воды,2,8
6,Рунический жезл для наложения чар,24,65536
7,Рунический жезл для наложения чар,24,65536
8,Рунический жезл для наложения чар,24,65536
9,Рунический жезл для наложения чар,24,65536
10,Рунический жезл для наложения чар,24,65536
11,Шахтерская кирка,21,1
12,Философский камень,22,1
13,Кузнечный молот,23,1
14,Тангенциальный вращатель,24,1
15,Шлицевой гироинструмент,24,2
21,Тотем власти,2,15
41,Рунический жезл для наложения чар,24,65536
62,Рунический жезл для наложения чар,24,65536
63,Рунический жезл для наложения чар,24,65536
81,Священное перо,22,4
101,Рунический жезл для наложения чар,24,69631
121,Набор виртуозного начертателя,24,-2147483648
141,Барабаны,24,1073741824
161,Гномский армейский нож,24,127
162,Кузнечный молот,24,4
165,Шахтерская кирка,24,8
166,Нож для снятия шкур,24,16
167,Тяжелая кирка,24,12
168,Заостренная кирка,24,24
169,Кремень и трут,24,32
189,Рунический жезл для наложения чар,24,65536
190,Рунический жезл для наложения чар,24,65536
209,Рунический жезл для наложения чар,24,65536
210,Высокомощный крепежный пистолет,24,64
230,Рунический жезл для наложения чар,24,65536
238,Инструменты ювелира,24,64
250,Образцовый гномский армейский нож,24,-2147417985
253,Окровавленное перо Лана'тель,61,1
354,Гаечный уб3р-ключ,24,1
355,Средоточие Бездны,162,1
356,Усиленное средоточие Бездны,162,3
357,Освобожденное средоточие Бездны,162,7
358,Мастер на все руки,24,-2147483553
359,Набор гравировщика-виртуоза,24,-2147483648
362,Универсальный инженерный инструмент,24,71
369,Гномий армейский универсальный инструмент,164,-1
