Name_lang,Pos[0],Pos[1],Pos[2],MapOffset[0],MapOffset[1],FlightMapOffset[0],FlightMapOffset[1],ID,ContinentID,ConditionID,CharacterBitNumber,Flags,UiTextureKitID,MinimapAtlasMemberID,Facing,SpecialIconConditionID,VisibilityConditionID,MountCreatureID[0],MountCreatureID[1]
Аббатство Североземья,-8888.98,-0.54,94.39,0,0,0,0,1,0,0,0,1024,0,4689,0,0,0,308,0
"Штормград, Элвиннский лес",-8841.06,489.656,109.607,0.00998004,0.0101744,0,0,2,0,0,2,1,0,4689,0,0,0,0,541
Остров программиста,16391.81,16341.21,69.44,0,0,0,0,3,0,0,0,1024,0,4689,0,0,0,308,0
"Сторожевой холм, Западный край",-10551.9,1034.39,56.9543,0,0,0,0,4,0,0,4,1,0,4689,0,0,0,0,541
"Приозерье, Красногорье",-9429.1,-2231.4,68.65,0,0,0,0,5,0,20068,5,1,0,4689,0,0,0,0,541
"Стальгорн, Дун Морог",-4821.78,-1155.44,502.21,0,0,0,0,6,0,0,6,1,0,4689,0,0,0,0,541
"Гавань Менетилов, Болотина",-3787.81,-777.696,1.5582,-0.002,0.002,0,0,7,0,0,7,1,0,4689,0,0,0,0,541
"Телcамар, озеро Лок Модан",-5421.91,-2930.01,347.25,0,0,0,0,8,0,0,8,1,0,4689,0,0,0,0,541
"Пиратская Бухта, Тернистая долина",-14271.8,299.87,31.09,0,0,0,0,9,0,0,0,1024,0,4689,0,0,0,0,541
"Гробница, Серебряный бор",478.86,1536.59,131.32,0,0,0,0,10,0,0,10,2,0,4689,0,0,0,3574,0
"Подгород, Тирисфаль",1568.62,267.97,-43.1,0,0,0,0,11,0,96403,11,10,0,4689,0,0,0,3574,0
"Темнолесье, Сумеречный лес",-10515.5,-1261.65,41.34,0,0,0,0,12,0,0,12,1,0,4689,0,0,0,0,541
"Мельница Таррен, Хилсбрад",-17.7066,-874.203,59.0056,0,0.003,0,0,13,0,0,13,2,0,4689,0,0,0,3574,0
"Южнобережье, Хилсбрад",-711.48,-515.48,26.11,0,0,0,0,14,0,5793,14,1024,0,4689,0,0,0,0,541
Восточные Чумные земли,2253.4,-5344.9,83.38,0,0,0,0,15,0,0,0,1024,0,4689,0,0,0,0,541
"Опорный пункт, Арати",-1240.53,-2515.11,22.16,0,0,0,0,16,0,0,16,1,0,4689,0,0,0,0,541
"Павший Молот, Арати",-916.29,-3496.89,70.45,0.007,-0.007,0,0,17,0,0,17,2,0,4689,0,0,0,2224,0
"Пиратская Бухта, Тернистая долина",-14444.3,509.62,26.2,0,0,0,0,18,0,0,18,2,0,4689,0,0,0,2224,0
"Пиратская Бухта, Тернистая долина",-14473,464.15,36.43,0,0,0,0,19,0,0,19,1,0,4689,0,0,0,0,541
"Гром'гол, Тернистая долина",-12414.2,146.29,3.28,0,0,0,0,20,0,0,20,2,0,4689,0,0,0,2224,0
"Новый Каргат, Бесплодные земли",-6676.87,-2433.37,272.771,0.002,-0.01,0,0,21,0,0,21,2,0,4689,0,0,0,2224,0
