ID,Name_lang,Description_lang,Cooldown,Duration,Flags,SchoolMask,IconFileDataID
1,DNT JasonTest Envirospell,,2,1,0,0,0
2,DNT JasonTest Ability Spell,"DNT Test test  Effect 0 Attack points $s0, Effect 1 Attack points % $s1, Effect 2 Flat points $s2, Effect 3 Flat points % $s3",4,2,1,0,461809
3,DNT Owen Test Double Effect,,3,0,0,0,0
4,Двойной удар,"Наджия дважды атакует ближайшего противника, нанося $s1 ед., а затем еще $s2 ед. физического урона.",3,0,0,1,333546
5,Сметание крылом,"Дрейвен бьет крыльями, нанося $s1 ед. физического урона всем противникам.",1,0,0,1,2103875
6,Взрыв крови,"Теотар создает темный импульс, наносящий $s1 ед. урона от темной магии всем противникам на расстоянии.",2,0,0,32,136118
7,Удар скелета,Наносит $s1 ед. физического урона ближайшему противнику.,2,1,0,32,3386321
8,Удар ястреба,"Эли стремительно атакует, нанося урон ближайшему противнику.",1,0,0,8,132188
9,Исцеляющий вой,Восполняет всем союзникам $s1% максимального запаса здоровья.,4,0,0,64,1033494
10,Удар звездной ветви,"Бьет ближайшего противника, нанося урон в объеме $s1% его максимального запаса здоровья. Каждый ход восполняет $s3% здоровья и наносит всем противникам урон от магии льда в объеме $s2% их максимального запаса здоровья.",3,3,0,16,514019
11,Автоматическая атака,Наносит урон от атаки ближайшему противнику.,0,0,0,1,1064261
12,Восстановление костей,Восстанавливает всем союзникам $s1 ед. здоровья.,1,1,0,32,136230
13,Нежное касание,,0,0,0,8,132125
14,Призрачная ласка,Анджали восстанавливает союзникам $s1 ед. здоровья.,3,0,0,32,132993
15,Автоматическая атака,Наносит урон противнику на расстоянии.,0,0,0,1,135490
16,Раскол души,"Телла похищает воспоминание самого отдаленного противника, нанося $s1 ед. урона от темной магии.",1,0,0,32,2065625
17,Трюк могильщика,"Рыт бросает могильную грязь, нанося $s1 ед. урона от магии льда противникам и восполняя себе $s2 ед. здоровья.",0,0,0,16,134436
18,Крылья ярости,"Нерит трижды атакует всех находящихся рядом противников, нанося $s1 ед. урона от темной магии каждым ударом.",4,0,0,32,2103919
19,Жгучий укус,"Кусает ближайшего противника огненными зубами, нанося $s1 ед. урона от огня.",4,0,0,4,236167
