ID,Name_lang,CreatureType,Flags,AttackIconFileID,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeID,CreatureDisplayID[0],CreatureDisplayID[1],CreatureDisplayID[2],CreatureDisplayID[3],PresetSpellID[0],PresetSpellID[1],PresetSpellID[2],PresetSpellID[3],PresetSpellID[4],PresetSpellID[5],PresetSpellID[6],PresetSpellID[7]
1,Облик кошки,1,248,132116,1,1000,0.4,0,892,0,0,0,0,0,0,0,0,0,0,0
2,Облик древа жизни,7,2257,0,0,0,0,0,37165,0,0,0,0,0,0,0,0,0,0,0
3,Походный облик,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Водный облик,1,216,0,0,0,0,0,2428,0,0,0,0,0,0,0,0,0,0,0
5,Облик медведя,1,248,132143,3,2500,0.4,0,2281,0,0,0,0,0,0,0,0,0,0,0
6,Фауна,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0
7,Вурдалак,6,9689,0,0,0,0,0,25527,0,0,0,6603,47468,47481,47482,47480,0,47484,47496
8,Облик лютого медведя,1,248,132143,3,2500,0.4,0,2281,0,0,0,0,0,0,0,0,0,0,0
9,Стойка журавля,-1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Скелет Тарон'джа,6,1034,0,0,0,0,0,9784,0,0,0,50799,49613,49609,49617,0,0,0,0
11,Ярмарка Новолуния - испытание силы,-1,1226,0,0,0,0,0,0,0,0,0,62022,62023,62024,62025,0,0,0,0
12,BLB Player,-1,0,0,0,0,0,0,0,0,0,0,44029,44752,44083,44010,44012,44817,0,0
13,Танец теней,-1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Существо: медведь,1,0,0,0,0,0,0,2281,0,0,0,0,0,0,0,0,0,0,0
15,Существо: кошка,1,0,0,0,0,0,0,892,0,0,0,0,0,0,0,0,0,0,0
16,Призрачный волк,1,216,0,0,0,0,0,55287,0,0,0,0,0,0,0,0,0,0,0
17,Боевая стойка,-1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Оборонительная стойка,-1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Стойка берсерка,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Стойка змеи,-1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Зомби,6,5150,0,0,0,0,0,26942,0,0,0,57596,51230,56560,43949,56528,0,0,0
22,Метаморфоза,7,2252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Стойка быка,-1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Стойка тигра,-1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Нежить,6,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Бешенство,1,216,0,0,0,0,0,17170,0,0,0,0,0,0,0,0,0,0,0
27,Облик стремительной птицы,1,32776,0,0,0,0,246,21243,0,0,0,0,0,0,0,0,0,0,0
28,Облик Тьмы,-1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Облик птицы,1,32776,0,0,0,0,245,20857,0,0,0,0,0,0,0,0,0,0,0
30,Незаметность,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Облик лунного совуха,-1,2241,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Дух воздаяния,-1,82704,0,0,0,0,0,16031,0,0,0,0,0,0,0,0,0,0,0
33,Стойка гладиатора,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Метаморфоза,3,472,1035040,0,0,0.4,0,64560,0,0,0,0,0,0,0,0,0,0,0
35,Облик лунного совуха,-1,2241,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Облик древня,7,2257,0,0,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0
37,Облик духа совы,1,32776,0,0,0,0,295,38633,0,0,0,0,0,0,0,0,0,0,0
38,Облик духа совы,0,32776,0,0,0,0,204,38633,0,0,0,0,0,0,0,0,0,0,0
39,Облик огонька,6,32776,0,0,0,0,295,10045,0,0,0,0,0,0,0,0,0,0,0
40,Облик огонька,6,32776,0,0,0,0,204,10045,0,0,0,0,0,0,0,0,0,0,0
41,Облик души,1,216,0,0,0,0,0,93949,0,0,0,0,0,0,0,0,0,0,0
42,Откровения мастера кузни,-1,65792,0,0,0,0,0,66094,0,0,0,0,0,0,0,0,0,0,0
43,Облик человека,7,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Островной дракон,-1,217,0,4,0,0,0,0,0,0,0,372608,372610,361584,0,0,0,0,0
48,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
