Name_lang,Description_lang,ID,HouseLevelDataID,Field_12_0_0_63967_004,IconFileDataID
Стартовая коллекция комнат,Набор стандартных комнат поможет построить ваш первый дом. С новосельем!,11,35,0,4217590
Наружное оформление,Можно разместить декор для двора на 200 очков.,12,35,1,8164790
Армиллярная сфера очага,"Вы получите армиллярную сферу очага, изощренное устройство, позволяющее усилить или ослабить яркость света в доме владельца и его окрестностях.|n|nВы можете приобрести дополнительные копии этого предмета у последнего архитектора в вашем районе.",23,52,0,7487068
Наружная отделка среднего размера,Можно добавлять наружную отделку среднего размера.,24,53,0,7252953
Больше комнат и декора,Лимит на количество комнат и элементов декора для этого уровня увеличен (+10 и +500 соответственно).,26,55,0,135769
Больше комнат и декора,Лимит на количество комнат и элементов декора для этого уровня увеличен (+10 и +500 соответственно).,27,56,0,135769
Лимит предметов декора в экстерьере повышен,"Теперь вы можете разместить декор для двора еще на 50 очков, вплоть до 250.",30,30,0,8164790
Лимит предметов декора в экстерьере повышен,"Теперь вы можете разместить декор для двора еще на 50 очков, вплоть до 300.",38,34,0,8164790
Лимит предметов декора в экстерьере повышен,"Теперь вы можете разместить декор для двора еще на 50 очков, вплоть до 350.",39,55,1,8164790
Сокровища из далеких земель,"Раз в неделю у последнего архитектора в вашем районе вы можете получить сферу магического хранения, содержащую случайный предмет декора из тщательно отобранной коллекции.",40,66,0,7137527
Больше комнат и декора,Лимит на количество комнат и элементов декора для этого уровня увеличен (+10 и +500 соответственно).,41,67,0,135769
Наружная отделка большого размера,Можно добавлять наружную отделку большого размера.,42,68,0,7252953
