ID,Name_lang,Tooltip_lang,Field_10_1_0_48776_002_lang,Field_8_2_0_30430_003
57,Захваты флага,"Количество флагов, захваченных вами.",Захваты флага,0
58,Разбито стен,Количество разрушенных вами стен противника.,Разрушено стен,0
59,Уничтожено строений,Количество уничтоженных строений противника.,Уничтожено строений,0
60,Врат разрушено,Сколько раз вы разрушили врата.,Врат разрушено,0
61,Оборона кладбищ,Количество предотвращенных попыток захвата кладбищ.,Оборона кладбищ,0
62,Возвраты флага,Количество возвращенных на базу флагов,Возвраты флага,0
63,Штурмы башен,"Количество знамен противника, захваченных на башнях.",Штурмы башен,0
64,Доп. цели,Количество задействованных дополнительных войск,Доп. цели,0
65,Штурмы баз,Количество убранных с базы знамен противника.,Штурмы баз,0
67,Оборона башен,Количество предотвращенных попыток захвата башен.,Оборона башен,0
69,Оборона баз,Количество предотвращенных попыток захвата базы.,Оборона баз,0
70,Разрушителей уничтожено,Сколько раз вы уничтожили разрушитель.,Разрушителей уничтожено,0
71,Штурмы кладбищ,"Количество знамен противника, захваченных на кладбищах.",Штурмы кладбищ,0
75,Захваты вагонеток,Количество захваченных вагонеток.,Захваты вагонеток,0
78,Захваты вагонеток,Количество захваченных вагонеток противника.,Захваты вагонеток,0
79,Возвраты вагонеток,Количество возвращенных на базу вагонеток,Возвраты вагонеток,0
81,Защиты рудников,Количество предотвращенных попыток захвата рудника.,Защиты рудников,0
87,Захваты сферы,Количество захваченных сфер.,Захваты сферы,0
88,Очки победы,Количество заработанных очков победы,Очки победы,0
89,Счет,Набрано для победы,Счет,0
98,Собрано артефактов,"Общее количество фрагментов артефактов, которые вы нашли и сдали.",Собрано артефактов,0
99,Собрано азерита,Общее количество собранного вами азерита.,Собрано азерита,0
102,Собранные ингредиенты,Количество собранных ингредиентов,Собранные ингредиенты,0
1092,Нападений на рудники,Количество убранных с базы знамен противника.,Штурмы рудников,0
1093,Захваты флага,"Количество флагов, захваченных вами.",Захваты флага,0
1097,Выиграно раундов,,Раундов|nвыиграно,0
1100,Захваты кристалла,"Количество кристаллов, захваченных вами.",Захваты кристалла,0
