ID,Name_lang,UiTextureAtlasMemberID,UiTextureKitID
3,Бой,3475,0
4,Случайная,3475,0
5,Сбор утиля,3567,0
6,Снабжение,3580,0
7,Разведение животных,3572,0
8,Торговля,3575,0
9,Строительство,3578,0
10,Припасы,3568,0
11,Вербовка,3583,0
12,Тренировка,3574,0
13,Патрулирование,3582,0
14,Изучение,3574,0
15,Защита,3577,0
16,Исследование,3476,0
17,Осада,3570,0
18,Алхимия,3571,0
19,Кузнечное дело,3474,0
20,Наложение чар,3566,0
21,Инженерное дело,3581,0
22,Начертание,3579,0
23,Ювелирное дело,3576,0
24,Кожевничество,3584,0
25,Портняжное дело,3573,0
35,Сокровище,3575,0
36,Битва питомцев,3572,0
37,Корабль: бой,4613,174
38,Корабль: топливо (не используется),4614,175
39,Корабль: тренировка,4617,178
40,Корабль: сокровище,4618,179
41,Ship-SiegeA,4615,176
42,Ship-SiegeH,4616,177
46,Разведка,3582,0
47,Корабль: дополнительно,4897,220
48,Корабль – легендарный,4931,221
49,Ship-SiegeIHA,5016,224
50,Ship-SiegeIHH,5017,223
51,Поддержка зоны – Альянс,5597,244
52,Вторжение,3577,224
53,Артефакт – задание для монаха,4929,221
54,Generic (7.0),3475,0
55,7.0 Tutorial,4929,221
57,Поддержка зоны – Орда,5598,245
58,Артефакт – задание для шамана,4929,221
59,Артефакт – задание для друида,4929,221
60,Артефакт – задание для мага,4929,221
61,Артефакт – задание для охотника,4929,221
63,Артефакт – задание для паладина,4929,221
64,Артефакт – задание для чернокнижника,4929,221
65,Артефакт – задание для охотника на демонов,4929,221
66,Артефакт – задание для разбойника,4929,221
67,Артефакт – задание для жреца,4929,221
68,Артефакт – задание для рыцаря смерти,4929,221
69,Артефакт – задание для воина,4929,221
70,7.0 Class Hall - Campaign Missions,6130,0
71,7.0 Class Hall - Generic Missions,6132,0
72,7.0 Class Hall - Treasure Missions,6128,0
73,7.0 Class Hall - Special Reward Missions,6131,0
74,7.0 Class Hall - Quest Missions,6130,0
75,7.0 Class Hall - Treasure Missions - Dungeon,6128,0
76,7.0 Class Hall - Treasure Missions - Raid,6128,0
79,7.2 Broken Shore - Generic Missions,6132,0
80,8.0 - Generic Missions,7747,0
81,8.0 - Stealth,7749,0
82,8.0 - Quick Strike,7748,0
83,8.0 - Long Campaign,8046,0
184,8.0 - Hub Unlock,7746,0
185,8.1 - Treasure Map,8778,0
186,8.2 - Holiday Mission,7746,0
187,8.2 - Deep Sea,9262,0
188,8.2 Azerite Essence - Treasure,8778,0
189,9.0 Encounter - Maldraxxus,6128,0
190,9.0 Encounter - Ardenweald,4929,0
191,9.0 Encounter - Revendreth,7748,0
192,9.0 Encounter - Bastion,6130,0
193,9.0 сражение – Тазавеш,6128,0
194,9.0 сражение – штурм Утробы,6128,0
195,9.0 Encounter - Treasure,6128,0
196,Сражение 9.2 – Зерет Мортис,6128,0
