ID,Name_lang,TypeID,Parent_group_ID,Order_index
1,Классические подземелья,1,0,114
2,Burning Crusade (обычный режим),1,0,113
3,Burning Crusade (героический режим),1,0,112
4,Wrath of the Lich King (обычный режим),1,0,111
5,Wrath of the Lich King (героический режим),1,0,110
6,Классические рейды,2,0,522
7,Рейды Burning Crusade,2,0,521
8,Рейды Wrath of the Lich King (10),2,0,520
9,Рейды Wrath of the Lich King (25),2,0,519
11,Игровые события,0,0,10
12,Cataclysm (героический режим),1,0,108
13,Cataclysm (обычный режим),1,0,109
14,Рейды Cataclysm (25),2,0,517
15,Рейды Cataclysm (10),2,0,518
20,Рейтинговое поле боя,2,0,1024
33,Время Сумерек (героический режим),1,0,107
36,Mists of Pandaria (героический режим),1,0,105
37,Mists of Pandaria (обычный режим),1,0,106
38,Сценарии,1,0,1025
40,Рейды Mists of Pandaria (25),2,0,516
41,Рейды Mists of Pandaria (10),2,0,515
43,Сценарии (героический режим),1,0,1026
44,Путешествие во времени,0,0,1027
45,Mists of Pandaria (гибкий рейд),2,0,514
46,Босс вне подземелья (Mists of Pandaria),2,0,513
47,Warlords of Draenor (обычный режим),1,0,104
48,Warlords of Draenor (героический режим),1,0,103
49,Рейд Warlords of Draenor (обычный режим),2,0,510
50,Рейд Warlords of Draenor (героич.),2,0,511
51,Рейд Warlords of Draenor (эпохальный режим),2,0,512
52,Подземелье Legion (героический режим),1,0,102
53,Подземелье Legion (обычный режим),1,0,101
54,Рейды Legion (обычный режим),2,0,507
55,Рейды Legion (героический режим),2,0,508
56,Рейды Legion (эпохальный режим),2,0,509
57,Battle for Azeroth (обычный режим),1,0,99
58,Battle for Azeroth (героический режим),1,0,100
159,Рейд Battle for Azeroth (обычный режим),2,0,510
160,Рейд Battle for Azeroth (героический режим),2,0,511
161,Рейд Battle for Azeroth (эпохальный режим),2,0,512
162,Battle for Azeroth (э. р.),1,0,101
163,Shadowlands (эпохальный),1,0,98
164,Shadowlands (героический),1,0,97
165,Shadowlands (обычный),1,0,96
166,Остров Изгнанников,1,0,115
167,Рейды Shadowlands (э. р.),2,0,95
168,Рейды Shadowlands (г. р.),2,0,94
169,Рейды Shadowlands (об. р.),2,0,93
170,Dragonflight: эпохальный режим,1,0,92
171,Dragonflight: героический режим,1,0,91
172,Dragonflight: обычный режим,1,0,90
173,Соратник из Dragonflight,1,0,90
177,The War Within (обычный режим),1,0,87
178,The War Within (героический режим),1,0,88
180,Mists of Pandaria с соратниками,1,0,106
182,Подземелья путешествий во времени,0,0,1028
183,Путешествия во врем.: гер. подзем.,0,0,1029
184,Путешествия во времени: сценарии,1,0,1030
185,Путешествия во врем.: гер. сценарии,1,0,1031
186,1-й сезон The War Within (героич. режим),1,0,89
192,2-й сезон The War Within (героич. режим),1,0,89
194,3-й сезон The War Within (героич. режим),1,0,89
