ID,DisplayName_lang,Description_lang,Type,Cost_Modifier,Race,Sex,Data
3,Длинные волосы,,0,1,11,0,0
4,Лисий хвост,,0,1,11,0,1
5,Косы,,0,1,11,0,2
6,Метелка,,0,1,11,0,3
7,Колючий хвост,,0,1,11,0,4
8,Украшенная коса,,0,1,11,0,5
9,Рога,,0,1,11,0,6
10,Хвост петлей,,0,1,11,0,7
11,Лысина,,0,1,11,0,8
19,Без щупальцев,,2,0.75,11,0,0
20,Толстые щупальца,,2,0.75,11,0,1
21,Бачки,,2,0.75,11,0,2
22,Бакенбарды,,2,0.75,11,0,3
23,Усатый,,2,0.75,11,0,4
24,Аккуратная бородка,,2,0.75,11,0,5
25,Козлиная бородка,,2,0.75,11,0,6
26,Два щупальца,,2,0.75,11,0,7
27,Прямые волосы,,0,1,1,1,0
28,Прямой пробор,,0,1,1,1,1
29,Челка,,0,1,1,1,2
30,Густые волосы,,0,1,1,1,3
31,Удлиненная прическа,,0,1,1,1,4
32,Косой пробор,,0,1,1,1,5
33,Проказница,,0,1,1,1,6
34,"Хвост, пробор справа",,0,1,1,1,7
35,"Хвост, пробор слева",,0,1,1,1,8
36,Боб,,0,1,1,1,9
37,Ступеньки,,0,1,1,1,10
38,Короткая стрижка,,0,1,1,1,11
39,Кокетка,,0,1,1,1,12
40,Пышные волосы,,0,1,1,1,13
41,Узел,,0,1,1,1,14
42,Укороченная прическа,,0,1,1,1,15
43,Волнистый боб,,0,1,1,1,16
44,Небрежный хвост,,0,1,1,1,17
55,Без серег,,2,0.75,1,1,0
56,Серьги,,2,0.75,1,1,1
57,Верхние серьги,,2,0.75,1,1,2
58,Две пары верхних серег,,2,0.75,1,1,3
59,Полный набор серег,,2,0.75,1,1,4
60,Кольцо в носу,,2,0.75,1,1,5
61,Кольца в носу и брови,,2,0.75,1,1,6
62,Мокрые волосы,,0,1,1,1,18
63,Лысина,,0,1,1,0,0
64,Крестьянин,,0,1,1,0,1
65,Солдат,,0,1,1,0,2
66,Монах,,0,1,1,0,3
67,Варвар,,0,1,1,0,4
68,Удалец,,0,1,1,0,5
69,Граф,,0,1,1,0,6
70,Придворный,,0,1,1,0,7
71,Ученый,,0,1,1,0,8
72,Разбойник,,0,1,1,0,9
73,Знаменитость,,0,1,1,0,10
74,Самсон,,0,1,1,0,11
85,Бородач,,2,0.75,1,0,0
86,Полковник,,2,0.75,1,0,1
87,Дуэлянт,,2,0.75,1,0,2
88,Эспаньолка,,2,0.75,1,0,3
89,Волшебник,,2,0.75,1,0,4
90,Бачки,,2,0.75,1,0,5
91,Ван Дайк,,2,0.75,1,0,6
92,Усач,,2,0.75,1,0,7
93,Без бороды и усов,,2,0.75,1,0,8
125,Прямые волосы,,0,1,11,1,0
126,Косой пробор,,0,1,11,1,1
127,Очаровательные хвостики,,0,1,11,1,2
128,Перышки,,0,1,11,1,3
129,Калачики,,0,1,11,1,4
130,Драгоценный обруч,,0,1,11,1,5
131,Длинная челка,,0,1,11,1,6
132,Изящная прическа,,0,1,11,1,7
133,Неровная длина,,0,1,11,1,8
134,Начес,,0,1,11,1,9
135,Дерзкие шипы,,0,1,11,1,10
143,Загнутые рога,,2,0.75,11,1,0
