ID,Question_lang
28,Предоставил ли ГМ ответ на ваш вопрос или решение вашей проблемы?
29,Насколько просто вам было понять полученный ответ и/или следовать инструкциям?
30,"Проявил ли ГМ компетентность, уважение и дружелюбие при общении с вами?"
31,Как вы оцениваете сроки ответа на ваш запрос?
32,Как вы оцениваете общее впечатление от работы гейм-мастера с вашим запросом?
33,"Стали бы вы рекомендовать WoW другим игрокам, исходя из впечатления от работы службы поддержки?"
35,"Исходя из полученного опыта общения со службой поддержки, готовы ли вы порекомендовать продукцию и услуги Blizzard своим знакомым?"
36,Была ли ваша проблема решена?
37,Общий уровень работы службы внутриигровой поддержки Blizzard:
38,Время ожидания ответа от службы внутриигровой поддержки Blizzard:
39,Профессионализм представителя Blizzard:
40,Навыки общения представителя Blizzard:
41,Общее впечатление от работы представителя Blizzard:
42,Насколько вы довольны World of Warcraft в целом?
43,Продолжите ли вы играть в World of Warcraft?
44,Порекомендуете ли вы игру World of Warcraft своим друзьям?
45,"Насколько вы довольны качеством поддержки, оказанной вам при последнем обращении в Blizzard?"
46,Представитель компании верно понял причину моего обращения в Blizzard.
47,Ко мне отнеслись как к ценному клиенту.
48,Ответ представителя компании был верным и понятным.
49,"Представитель компании объяснил, какие действия необходимы для решения моей проблемы."
50,Была ли решена ваша проблема?
51,Насколько вы довольны временем ожидания между вашим обращением в службу поддержки и ответом представителя компании?
52,"Сколько раз вы обращались в Blizzard для того, чтобы решить эту проблему?"
53,Представитель компании обладал необходимыми знаниями.
