DisplayName_lang,VerboseName_lang,ID,ClassID,SubClassID,AuctionHouseSortOrder,PrerequisiteProficiency,Flags,DisplayFlags,WeaponSwingSize,PostrequisiteProficiency
Сумка,,2,1,0,0,-1,0,0,0,-1
Топор,Одноручные топоры,3,2,0,0,-1,3,0,1,1
Топор,Двуручные топоры,4,2,1,0,0,3,0,2,-1
Лук,Луки,5,2,2,0,-1,128,0,1,-1
Огнестрельное,Огнестрельное,6,2,3,0,-1,160,0,1,-1
Дробящее,Одноручное дробящее,7,2,4,0,-1,3,0,1,5
Дробящее,Двуручное дробящее,8,2,5,0,4,3,0,2,-1
Древковое,Древковое,9,2,6,0,-1,3,0,2,-1
Меч,Одноручные мечи,10,2,7,0,-1,3,0,1,8
Меч,Двуручные мечи,11,2,8,0,7,3,0,2,-1
Боевые клинки,,12,2,9,0,-1,1,0,2,-1
Посох,Посохи,13,2,10,0,-1,3,0,2,-1
Медвежьи когти,Медвежьи когти,14,2,11,0,-1,0,3,1,12
Кошачьи когти,CatClaws,15,2,12,0,11,0,3,1,-1
Кистевое,Кистевое,16,2,13,0,-1,5,0,1,-1
Разное,,17,2,14,0,-1,2,1,0,-1
Кинжал,Кинжалы,18,2,15,0,-1,3,0,8,-1
Разное,,19,4,0,0,-1,512,1,0,-1
Ткань,Тканевые,20,4,1,0,-1,1536,0,0,-1
Кожа,Кожаные,21,4,2,0,-1,1536,0,0,-1
Кольчуга,Кольчужные,22,4,3,0,-1,1536,0,0,-1
Латы,Латные,23,4,4,0,-1,1536,0,0,-1
Декоративный предмет,Декоративные,24,4,5,0,-1,0,1,0,-1
Щит,Щиты,25,4,6,0,5,0,0,0,-1
Жезл(НЕ ИСП.),,26,6,0,0,-1,0,3,0,-1
Болт(НЕ ИСП.),,27,6,1,0,-1,0,2,0,-1
Стрелы,,28,6,2,0,-1,0,2,0,-1
Пули,,29,6,3,0,-1,0,2,0,-1
Колчан(НЕ ИСП.),,30,11,0,0,-1,0,7,0,-1
Bolt(OBSOLETE),,31,11,1,0,-1,0,7,0,-1
Колчан,,32,11,2,0,-1,0,6,0,-1
Подсумок,,33,11,3,0,-1,0,6,0,-1
Метательное,Метательное,34,2,16,0,-1,16,0,1,-1
Метательное(НЕ ИСП.),,35,6,4,0,-1,0,2,0,-1
Интеллект,,36,3,0,1,-1,0,1,0,-1
Trade Goods (OBSOLETE),,37,7,0,0,-1,0,3,0,-1
Детали,,38,7,1,10,-1,0,1,0,-1
Explosives (OBSOLETE),,39,7,2,0,-1,0,3,0,-1
Книга,,40,9,0,0,-1,0,1,0,-1
Кожевничество,,41,9,1,0,-1,0,1,0,-1
Портняжное дело,,42,9,2,0,-1,0,1,0,-1
Взрывчатка и устройства,,43,0,0,0,-1,0,1,0,-1
Зелья,,44,0,1,0,-1,0,1,0,-1
Эликсиры,,45,0,2,0,-1,0,1,0,-1
Копье,Копья,46,2,17,0,-1,3,2,2,-1
Деньги (НЕ ИСП.),,47,10,0,0,-1,0,1,0,-1
