ID,Name_lang,Description_lang,CovenantID,Level,Icon,Field_10_2_6_53840_005,UiOrder,SpellID
1074,Смертоносный кинжал,"|cFF00ccffОблик Dragonflight|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Смертоносный кинжал"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Добро пожаловать в команду Бочконога, юнга! Держи кинжал и начинай грабить!""",23,1,2175564,0,0,0
1075,Перчатки юнги,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Перчатки юнги"".|n|n""Кожаные перчатки, в которых удобно собирать добычу"".",23,2,1063260,0,0,439457
1076,Устойчивые сапоги,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Устойчивые сапоги"".|n|n""То, что нужно, чтобы крепко стоять и на палубе, и на суше"".",23,3,590806,0,0,439448
1077,Стеганые брюки,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Стеганые брюки"".|n|n""Новые штаны для мягкой посадки"".",23,4,5489011,0,0,439451
1078,Окаменевший клеймор,"|cFF00ccffОблик Dragonflight|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Окаменевший клеймор"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Меч – это все равно что кинжал, только крупнее"".",23,5,2182692,0,0,439390
1231,Пряденая хлопковая рубашка,"|cFF00ccffОблик Dragonflight|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Пряденая хлопковая рубашка"".|n|nТакже открывает ветхий наряд юнги в ""Пиратской буре"". Менять наряды можно у Да'каша Мракочета.",23,6,4279080,0,0,439453
1232,Плащ тихоступа,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Плащ тихоступа"".|n|n""Некоторые расхитители предпочитают действовать в тени"".",23,7,2124014,0,0,439455
1233,Медная пушка,"|cFF00ccffОблик Dragonflight|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Медная пушка"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""С хорошей пушкой грабить куда проще"".",23,8,304333,0,0,439393
1234,Теплая шерстяная шапка,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Теплая шерстяная шапка"".|n|n""Даже самым загорелым пиратам иногда бывает холодно"".",23,9,1676426,0,0,439445
1235,Серебряный бурунный конек,"|cFF00ccffТранспорт Dragonflight|r|n|nОткрывает подводный транспорт ""Серебряный бурунный конек"".|n|n""Пахнет креветками"".",23,10,2741477,0,0,437516
1236,Пузырек,"|cFF00ccffПитомец Dragonflight|r|n|cFF1eff00Питомец ""Пиратской бури""|r|n|nОткрывает питомца Пузырька. Да'каш Мракочет может призвать его в ходе ""Пиратской бури"".|n|n""Он за тобой увязался!""",23,11,2027915,0,0,439477
1237,Полуперчатки афериста,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Полуперчатки афериста"".|n|n""Для негодяев с ловкими пальцами"".",23,12,1026773,0,0,439458
1238,Сабля из черной стали,"|cFF00ccffОблик Dragonflight|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Сабля из черной стали"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Клинок для бесшабашных схваток под палящим солнцем"".",23,13,960919,0,0,439391
1239,Кожаные тихоступы,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Кожаные тихоступы"".|n|n""Порой скрытность – лучшее оружие"".",23,14,590806,0,0,439450
1240,Плетеные штаны,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Плетеные штаны"".|n|n""Подарок от капитана, изготовленный специально для тебя!""",23,15,1981728,0,0,439452
1241,Чудесный многострел,"|cFF00ccffОблик Dragonflight|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Чудесный многострел"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Только не целься себе в лицо"".",23,16,135628,0,0,439394
1242,Изящный багровый дублет,"|cFF00ccffОблик Dragonflight|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Изящный багровый дублет"".|n|nТакже открывает броский наряд юнги в ""Пиратской буре"". Менять наряды можно у Да'каша Мракочета.",23,17,5519312,0,0,439454
1243,Кровавый железный мясоруб,"|cFF00ccffОблик Dragonflight|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Кровавый железный мясоруб"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Окровавленный топор для кровожадного пирата!""",23,18,1092278,0,0,439392
1244,Пелерина суровой погоды,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Пелерина суровой погоды"".|n|n""Эта пелерина пережила натиск стихий, а не защищает от него. Не прыгай в ней за борт"".",23,19,2124014,0,0,439456
1245,Синий морской попугай,"|cFF00ccffТранспорт Dragonflight|r|n|nОткрывает летающий транспорт ""Синий морской попугай"".|n|n""Награбив столько добра, грех не завести гигантского попугая"".",23,20,4395379,0,0,437517
1246,Шляпа штормового капитана,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Шляпа штормового капитана"".|n|n""Отличная шляпа для превозмогающего бури капитана!""",23,21,1676418,0,0,439446
1247,Позолоченная печать владыки грабежа,"|cFF00ccffОблик Dragonflight|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Позолоченная печать владыки грабежа"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Подними посох владыки грабежа к небу и веди команду на разбой!""",23,22,5581310,0,0,439382
1248,Манжеты владыки грабежа,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Манжеты владыки грабежа"".|n|n""Золотые манжеты, достойные самых выдающихся пиратов"".",23,23,5559628,0,0,439375
1249,Мешок с награбленными жетонами,|cFF00ccffНаграда Dragonflight|r|n|nДобавляет 250 торговых жетонов в сундук коллекционера в Штормграде или Оргриммаре.,23,24,975746,0,0,437507
1250,Золотой кушак владыки грабежа,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Золотой кушак владыки грабежа"".|n|n""Большая золотая пряжка в виде черепа отлично дополнит твой наряд"".",23,25,5559626,0,0,439373
1251,Хвататели владыки грабежа,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Хвататели владыки грабежа"".|n|n""Очень мягкие и шелковистые"".",23,26,5559630,0,0,439377
1252,Горлорез владыки грабежа,"|cFF00ccffОблик Dragonflight|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Горлорез владыки грабежа"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Необходимый инструмент в арсенале повелителя пиратов"".",23,27,5580802,0,0,439386
1253,Грязеступы владыки грабежа,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Грязеступы владыки грабежа"".|n|n""На самом деле их лучше не пачкать"".",23,28,5559627,0,0,439372
1254,Элегантные штаны владыки грабежа,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Элегантные штаны владыки грабежа"".|n|n""Теперь можешь хвастаться, что у тебя самые модные штаны"".",23,29,5559632,0,0,439378
1255,Скалюкс,"|cFF00ccffПитомец Dragonflight|r|n|cFF1eff00Питомец ""Пиратской бури""|r|n|nОткрывает питомца Скалюкса. Да'каш Мракочет может призвать его в ходе ""Пиратской бури"".|n|n""Он тоже обожает грабить"".",23,30,5559624,0,0,439478
1256,Изысканная рапира владыки грабежа,"|cFF00ccffОблик Dragonflight|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Изысканная рапира владыки грабежа"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""И входит, и выходит"".",23,31,5581649,0,0,439383
1257,Мушкетон владыки грабежа,"|cFF00ccffОблик Dragonflight|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Мушкетон владыки грабежа"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Пахнет золотом и порохом"".",23,32,5581325,0,0,439388
1258,Сундук с награбленными жетонами,|cFF00ccffНаграда Dragonflight|r|n|nДобавляет 500 торговых жетонов в сундук коллекционера в Штормграде или Оргриммаре.,23,33,4696085,0,0,437510
1259,Камзол владыки грабежа,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Камзол владыки грабежа"".|n|n""В камзоле каждый выглядит эффектно"".",23,34,5559633,0,0,439370
1260,Ткани владыки грабежа,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Ткани владыки грабежа"".|n|n""Конечно же, в сочетании красного и золотого цветов"".",23,35,5559629,0,0,439379
1261,Серебряная сабля владыки грабежа,"|cFF00ccffОблик Dragonflight|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Серебряная сабля владыки грабежа"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Красиво сверкает на солнце, когда вы поднимаете клинок к небу"".",23,36,5581315,0,0,439384
1262,Украшенный наплеч владыки грабежа,"|cFF00ccffОблик Dragonflight|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид снаряжения ""Украшенный наплеч владыки грабежа"".|n|nТакже открывает крепкий наряд юнги в ""Пиратской буре"". Менять наряды можно у Да'каша Мракочета.",23,37,5559634,0,0,439380
1263,Адмиральская треуголка владыки грабежа,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Адмиральская треуголка владыки грабежа"".|n|n""Шикарный головной убор с перьями, сидит как влитой"".",23,38,5559631,0,0,439355
1264,Пернатый Роджер,"|cFF00ccffТранспорт Dragonflight|r|n|nОткрывает транспорт ""Пернатый Роджер"", для которого требуется навык полетов на драконе.|n|n""Капитан подарил тебе своего капризного гигантского попугая. Желаю удачи!""",23,39,5578050,0,0,437164
1265,Владыка грабежа,"|cFF00ccffЗвание Dragonflight|r|n|nОткрывает звание ""Владыка грабежа"".|n|n""Капитан наградил тебя званием ""Владыка грабежа"". Пусть все твои враги идут ко дну!""",23,40,4203076,0,0,439552
1266,Веселюша,"|cFF00ccffПитомец Dragonflight|r|n|cFF1eff00Питомец ""Пиратской бури""|r|n|nОткрывает питомца Веселюшу. Да'каш Мракочет может призвать его в ходе ""Пиратской бури"".|n|n""Он просто очень рад. Всегда. Без причины"".",23,6,237309,0,1,439475
1267,Юнга,"|cFF1eff00Звание ""Пиратской бури""|r|n|nОткрывает звание ""Юнга"" в режиме ""Пиратская буря"" у Да'каша Мракочета.|n|n""Капитан официально объявил тебя юнгой!""",23,2,1063033,0,1,438007
1268,Сорвиголова,"|cFF1eff00Звание ""Пиратской бури""|r|n|nОткрывает звание ""Сорвиголова"" в режиме ""Пиратская буря"" у Да'каша Мракочета.|n|n""Теперь ясно, что ты умеешь срывать головы с плеч. В основном, конечно, вражеские"".",23,10,2060684,0,1,438036
1269,Буканьер,"|cFF1eff00Звание ""Пиратской бури""|r|n|nОткрывает звание ""Буканьер"" в режиме ""Пиратская буря"" у Да'каша Мракочета.|n|n""Никто не знает, что страшнее – буря или ты"".",23,20,2055037,0,1,438034
1270,Старпом,"|cFF1eff00Звание ""Пиратской бури""|r|n|nОткрывает звание ""Старпом"" в режиме ""Пиратская буря"" у Да'каша Мракочета.|n|n""Твоя любовь к грабежам поистине легендарна!""",23,30,2055032,0,1,438029
1271,Крошечная треуголка с перьями,"|cFF00ccffДруг Dragonflight|r|n|cFF1eff00Друг ""Пиратской бури""|r|n|nПризванный Пепе теперь иногда будет одет, как владыка грабежа. Обратитесь к Да'кашу Мракочету, чтобы призвать этого крошку-капитана в ходе ""Пиратской бури"".",23,24,1044996,0,1,438055
1272,Потемневший предупредительный знак,"|cFF00ccffИгрушка Dragonflight|r|n|nОткрывает игрушку ""Потемневший предупредительный знак"".|n|n""Отлично подойдет для любого пиратского пристанища"".",23,16,2055035,0,1,443715
1273,Посылка с рисунком бочки,|cFF00ccffЗадание Dragonflight|r|n|nПерсонажи 70-го уровня могут получить новое задание в Вальдраккене на Драконьих островах.,23,5,236664,0,1,443716
1274,Пинчи,"|CFFa335eeПитомец Classic|r|n|nОткрывает питомца ""Пират Пинчи"" в Wrath of the Lich King: Classic.|n|n""Берегись колючек!""",23,11,5559624,0,1,440575
1275,Пернатый Роджер,"|CFFa335eeТранспорт Classic|r|n|nОткрывает летающий транспорт ""Пернатый Роджер"" в Wrath of the Lich King: Classic.",23,39,5578050,0,1,440578
1311,Монокль владыки грабежа,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Монокль владыки грабежа"".|n|n""Очень помогает смотреть одним глазом"".",23,38,5689350,0,0,443376
1312,Гербовая накидка владыки грабежа,"|cFF00ccffОблик Dragonflight|r|n|nОткрывает внешний вид снаряжения ""Гербовая накидка владыки грабежа"".|n|n""У вас – сердце настоящего буканьера. Вы порадовали капитана Бочконога и заслужили эту накидку. Носите ее с гордостью"".",23,40,5690395,0,1,443375
