String_lang,ID,Flags
"Требуется достижение ""Синий союзник"".",740,1
"Требуется достижение ""Скальный спутник"".",741,1
"Требуется достижение ""Небесное единство"".",742,1
"Требуется достижение ""Новый друг"".",743,1
|cff808080Этот талант открывается для вашей специализации автоматически. Его нельзя забыть.|r,910,1
"Потратьте еще не менее %1$d |4очка:очков:очков;, чтобы открыть этот талант.",911,1
Classic,953,1
Запределье,954,1
Нордскол,955,1
Cataclysm,956,1
Пандария,957,1
Дренор,958,1
Legion,959,1
Кул-Тирас,960,1
Shadowlands,961,1
Драконьи острова,962,1
Зандалар,963,1
Исследователь,970,1
Искатель приключений,971,1
Ветеран,972,1
Защитник,973,1
Герой,974,1
"Если переделать этот предмет с помощью искры более высокого уровня, он потеряет гнездо, полученное от заряженного молнией манипулятора.|n|nПродолжить?",975,1
"Потратьте еще не менее %1$d |4очка:очков:очков;, чтобы открыть этот талант.",976,1
|cff808080Этот талант открывается для вашей специализации автоматически. Его нельзя забыть.|r,977,1
Легенда,978,1
Каз Алгар,989,1
Искатель приключений,990,1
"Если переделать этот предмет с помощью искры более высокого уровня, он потеряет гнездо, полученное от вулканического резца.|n|nПродолжить?",991,1
Вкладка 1,992,0
Вкладка 2,993,0
Вкладка 3,994,0
Вкладка 4,995,0
Вкладка 5,996,0
"Если переделать этот предмет с помощью искры более высокого уровня, он потеряет гнездо, полученное от колыбели природы.|n|nПродолжить?",997,1
Пробужденный герой,998,1
           %s         ,999,0
"Требуется талант ""$@spellname263165""",1000,0
Генерал должен считать вас соратником.,1001,1
Прядильщица должна считать вас знакомым.,1002,1
Прядильщица должна считать вас помощником.,1003,1
Прядильщица должна считать вас подельником.,1004,1
Генерал должен считать вас компаньоном.,1005,1
Генерал должен считать вас партнером.,1006,1
Генерал должен считать вас заговорщиком.,1007,1
Прядильщица должна считать вас криминальным гением.,1008,1
Генерал должен считать вас знакомым.,1009,1
Генерал должен считать вас помощником.,1010,1
Генерал должен считать вас подельником.,1011,1
Прядильщица должна считать вас компаньоном.,1012,1
Прядильщица должна считать вас соратником.,1013,1
Прядильщица должна считать вас партнером.,1014,1
Прядильщица должна считать вас заговорщиком.,1015,1
Визирь должен считать вас знакомым.,1016,1
Визирь должен считать вас помощником.,1017,1
Визирь должен считать вас подельником.,1018,1
Визирь должен считать вас компаньоном.,1019,1
Визирь должен считать вас соратником.,1020,1
Визирь должен считать вас партнером.,1021,1
Визирь должен считать вас заговорщиком.,1022,1
Визирь должен считать вас криминальным гением.,1023,1
Генерал должен считать вас криминальным гением.,1024,1
Требуется купить больше громобоев.,1025,1
"Требуется талант ""$@spellname120517""",1026,0
"Требуется талант ""$@spellname73325""",1027,0
"Требуется талант ""$@spellname121536""",1028,0
"Требуется талант ""$@spellname374348""",1029,0
"Требуется талант ""$@spellname367226""",1030,0
"Требуется талант ""$@spellname370553""",1031,0
"Требуется талант ""$@spellname6343""",1032,0
"Требуется талант ""$@spellname46968""",1033,0
"Требуется талант ""$@spellname29725""",1034,0
"Требуется талант ""$@spellname227847""",1036,0
"Требуется талант ""$@spellname265187""",1037,0
"Требуется талант ""$@spellname1122""",1038,0
"Требуется талант ""$@spellname108558""",1039,0
"Требуется талант ""$@spellname386997""",1041,0
"Требуется талант ""$@spellname375982""",1042,0
"Требуется талант ""$@spellname200071"" или ""$@spellname73685""",1043,0
"Требуется талант ""$@spellname51564""",1044,0
"Требуется талант ""$@spellname79206""",1045,0
"Требуется талант ""$@spellname210689""",1046,0
"Требуется талант ""$@spellname6343"" и ""$@spellname107574""",1047,0
"Требуется талант ""$@spellname108416""",1049,0
"Требуется талант ""$@spellname107570""",1050,0
"Требуется талант ""$@spellname3411""",1051,0
"Требуется талант ""$@spellname268358""",1052,0
"Требуется талант ""$@spellname4584""",1053,0
"Требуется талант ""$@spellname106898""",1054,0
"Требуется талант ""$@spellname274837""",1055,0
"Требуется талант ""$@spellname80313""",1056,0
"Требуется талант ""$@spellname202770"" или ""$@spellname274281""",1057,0
"Требуется талант ""$@spellname204066""",1058,0
"Требуется талант ""$@spellname203964""",1059,0
"Требуется талант ""$@spellname102401""",1060,0
"Требуется талант ""$@spellname205636""",1061,0
"Требуется талант ""$@spellname102693""",1062,0
"Требуется талант ""$@spellname392356""",1063,0
"Требуется талант ""$@spellname390378"" или ""$@spellname450184""",1064,0
"Требуется талант ""$@spellname102793""",1065,0
"Требуется талант ""$@spellname194878""",1066,0
"Требуется талант ""$@spellname279302""",1067,0
"Требуется талант ""$@spellname42650""",1068,0
"Требуется талант ""$@spellname232893""",1070,0
"Требуется талант ""$@spellname179057""",1071,0
"Требуется талант ""$@spellname360194""",1072,0
"Требуется талант ""$@spellname382245""",1073,0
"Требуется талант ""$@spellname57934""",1074,0
"Требуется талант ""$@spellname381988""",1075,0
"Требуется талант ""$@spellname359844""",1076,0
"Требуется талант ""$@spellname288613""",1077,0
"Требуется талант ""$@spellname19574""",1078,0
"Требуется талант ""$@spellname360952""",1079,0
"Требуется талант ""$@spellname153561""",1080,0
"Требуется талант ""$@spellname153595""",1081,0
"Требуется талант ""$@spellname342245""",1082,0
"Требуется талант ""$@spellname389713""",1083,0
"Требуется талант ""$@spellname382440""",1084,0
"Требуется талант ""$@spellname55342""",1085,0
"Требуется талант ""$@spellname365350""",1086,0
