ID,Name_lang,Description_lang,BountySetID,SkillLineID,DeathTeleportSpellID,Field_9_0_2_36165_006,Field_9_0_2_36165_007,FactionID,CurrencyTypesID,RequiredPlayerConditionID
1,Кирии,"Кирии – несгибаемые стражи загробного мира, которые переносят души мертвых в Темные Земли. Они посвящают себя служению и принимают в свои ряды только самых достойных.",111,2730,315066,346042,346046,2407,1829,0
2,Вентиры,"Вентиры – аристократы, чьим заботам поручаются души, обремененные злобой и гордыней. Они направляют грешников на трудный путь к искуплению, добывая при этом аниму для нужд своего мира.",112,2731,344545,346037,346043,2413,1830,0
3,Ночной народец,"Ночной народец ухаживает за павшими духами природы, дремлющими в безмятежном лесу. Те, кто посвятил свою жизнь природе, могут примкнуть к ним и помогать возвращать духов в вечный круговорот.",114,2732,344538,346039,346044,2465,1831,0
4,Некролорды,"Некролорды вознаграждают сильных и избавляются от слабых. Амбициозные и свирепые души становятся частью бессмертной армии, стоящей на страже Темных Земель.",113,2733,344544,346041,346045,2410,1832,0
12,Кентавры Маруук,"Разные кланы кентавров с равнин Он'ары, вместе образующие племя Маруук.",119,0,0,0,0,2503,2002,104408
13,Драконья экспедиция,Лига исследователей и Реликварий организовали совместную экспедицию на Драконьи острова.,119,0,0,0,0,2507,2021,104394
14,Искарские клыкарры,Племя суровых клыкарров с Драконьиих островов.,119,0,0,0,0,2511,2087,104409
15,Союз Вальдраккена,"Вальдраккен – сияющая столица драконов, где они заключили союз, чтобы вновь прийти на помощь смертным.",119,0,0,0,0,2510,2088,104407
20,Лоаммские ниффы,"Ниффы из города Лоамм, раскинувшегося в подземных глубинах Драконьих островов.",119,0,0,0,0,2564,2402,108239
21,Стражи Сна,"Союз нескольких рас, готовый защищать Изумрудный Сон от любых угроз.",119,0,0,0,0,2574,2653,115959
23,Команда Бочконога,"Команда свободолюбивых изгоев, бесчинствующих под знаменем капитана Бочконога.",0,0,0,0,0,2593,2814,119189
24,Совет Дорногала,[DNT],120,0,0,0,0,2590,2900,117972
25,Ассамблея глубин,[DNT],120,0,0,0,0,2594,2898,117991
26,Арати Тайносводья,[DNT],120,0,0,0,0,2570,2901,118011
27,Отрезанные нити,[DNT],120,0,0,0,0,2600,2904,118037
28,[DNT] 11.0 Delves Season 1,[DNT],0,0,0,0,0,2644,3022,121067
29,[DNT] TBD The Undermine,[DNT] The Undermine,120,0,0,0,0,2653,3120,129040
30,Концерн К'ареша,[DNT],120,0,0,0,0,2658,3128,129096
31,[DNT] 11.0 Delves Season 2,[DNT],0,0,0,0,0,2683,3130,129178
32,Система лояльности Галаджио,[DNT],0,0,0,0,0,2685,3315,132346
33,Сияние Пламени,[DNT],0,0,0,0,0,2688,3140,130290
34,[DNT] 11.0 Delves Season 3,[DNT],0,0,0,0,0,2722,3271,135812
35,Крушители манагорнов,[DNT],0,0,0,0,0,2736,3305,140006
