ID,OverrideNameString_lang,SlotMask,ItemNameDescriptionID
1,Поножи яростного перезвона,128,13884
15,Chilly Robe (DNT),1048576,13586
17,Длань боязливой симметрии,1024,13642
22,Кираса утомительного напряжения,32,13662
23,Плащ смертельного лика,65536,13663
24,Пелерина чудовища,65536,13665
26,Вампирская бригантина,32,13668
27,Боевые рукавицы алой руны,1024,13669
28,Цепь абсолютного нуля,4,13673
29,Пояс неслабеющей хватки,64,13675
30,Напульсники раскаленного неба,512,13679
31,Клобук глубокой заморозки,2,13682
32,Кольцо четкого распорядка,2048,13684
33,Кушак расширенного потенциала,64,13685
34,Кружевные обмотки чародейской гармонии,1024,13691
35,Кольцо времени,2048,13692
37,Святилище Утера,36,13695
38,Преследование безумного идеала,256,13694
40,Печать праведной ярости,2048,13704
42,Накидка непреклонного инквизитора,65536,13709
43,Башмаки карательных мер,256,13713
44,Высокие ботинки Владыки грома,256,13716
45,Рукавицы воина без тормозов,1024,13720
47,Подвеска воеводы,4,13722
48,Наплечники сейсмического отзвука,8,13723
49,Напульсники предков,512,13724
50,Ремень глубинного землетрясения,64,13725
51,Наплечные щитки укоренившихся стихий,8,13726
52,"Огненная гибель ""Усмирителя небес""",1048608,13728
53,Набедренники равновесия стихий,128,13729
54,Отголоски Великого Раскола,8,13730
55,Извержение говорящего с ветром,256,13731
56,Набедренники природного средоточия Джоната,128,13736
57,Плащ волн духостранника,65536,13737
58,Боевые рукавицы изначальных волн,1024,13738
59,Плащ земной гармонии,65536,13739
60,Шлем вестника боли,2,13742
61,Напульсники дикого зова,512,13743
62,Пояс мастера ловушек Хеминга,64,13744
63,Эполеты углей из Кузни душ,8,13745
64,Амулет малодушной уловки,4,13746
66,Гравированное кольцо ужасной команды,2048,13747
67,Поножи огненной кобры,128,13748
68,Наплеч эредарской войны,8,13749
69,Плащ опытного охотника на рилаков,65536,13750
70,Боевые наручи буйных стрел,512,13752
71,Наплечники ловца змей,8,13753
72,Напульсники неусыпного бдения,512,13754
73,Ошеломляющие набедренники охотника на рилаков,128,13756
74,Напульсники усиленного призыва Вилфреда,512,13759
77,Столпы Темного портала,4,13762
78,Одеяние с аз'акирскими письменами,1048608,13763
79,Темные накулачники Сакролаш,128,13764
80,Расшитые сапоги гнева,256,13766
81,Рогатые наплечники кошмаров,8,13769
82,Набедренники жарких углей Аз'Акира,128,13771
84,Набедренники оживления,128,13666
87,Маска исполина,2,13776
90,Копыта владыки судеб,256,13779
99,Сапоги с когтями Эндерета,256,13760
100,Элегантная опояска имирьяров,64,13774
102,Печать мастера-убийцы,2560,13790
105,Жакет темной пыли,32,13793
106,Сапоги ядовитых клинков,256,13791
110,Наглазная повязка Сумеречного Странника,32,13797
111,Фитиль Зеленямса,2,13798
112,Подвеска бандита,4,13799
114,Кольцо стремительности,2048,13789
115,Спрятанный мушкетон,1024,13800
116,Последний занавес,65536,13801
117,Фрагмент души Акаари,1024,13802
119,Губительные тени,128,13804
126,Видение демонической синергии,2,13761
127,Наследие семейства Золдик,256,13796
128,Эполеты окровавленного рокового клинка,8,13795
130,Наплеч кровавых клыков,8,13792
131,Гнилой аппетит,65536,13803
151,Нестабильные подошвы Скверны,256,13781
158,Охваченный огнем Скверны шлем,2,13782
159,Накидка темнейшего часа,32,13778
161,Медальон созерцателя тьмы,4,13777
163,Цикл хаоса,64,13780
165,Вечногорящий нагрудник,32,13810
167,Копыта владыки судеб,256,13809
168,Непрерывный круговорот пламени Скверны,2048,13785
169,Клобук пламени тьмы,2,13783
170,Безрассудная хватка пылающей души,1024,13786
171,Потерянные набедренники осквернителя,128,13784
172,Видение заката и рассвета,2,13697
175,Шлем окончательного приговора,130,13834
176,Наголенники неутолимого голода,256,13835
179,Греховное наплечье,8,13837
180,Кираса триумфа,32,13836
182,Захваты греховного потворства,1024,13839
184,Наплеч связи близких душ,8,13844
185,Ботфорты небесных духов,256,13846
186,Нагрудный доспех гневного роя,32,13841
187,Наплечные щитки резонирующей ясности,8,13851
189,Шлем долга и служения,2,13854
190,Поножи пылающей бойни,256,13857
191,Захваты сияющих углей,1024,13853
192,Обувь сезонов изобилия,256,13861
193,Шлем сделки Бвонсамди,2,13862
195,Наручи слова Тьмы: Манипуляция,512,13863
197,Напульсники расколотых стихий,64,13867
198,Плетеная рубашка проводника стихий,32,13869
199,Поножи с осколком аннигиляции,128,13871
200,Башмаки разлагающихся душ,256,13872
201,Тюрбан контролируемого бесконечного взрыва,2,13873
202,Перчатки ловцов душ,1024,13874
203,Рукавицы улучшенных боеприпасов,512,13875
204,Ожерелье из осколков древних рогов,4,13876
205,Сапоги с осколками бритвы,256,13877
206,Жилет благодати,32,13866
207,Захваты поганища,1024,13832
208,Бригантина безудержного перенаправления,32,13833
209,Обмотки волшебной гармонии,1024,13881
210,Chestplate of Test 1 Override,32,13882
211,Chest of Test 2 Override,32,13883
213,Three-pronged Defender (DNT),4,13588
218,Обмотки яростного перезвона,256,13884
219,Напульсники зловещено учения,512,13885
220,Кольцо зловещего учения,2048,13885
222,Оплечье гармонии сфер,8,13887
223,Поножи гармонии сфер,128,13887
224,Кольцо мертвенного приказа,2048,13888
225,Сандалии мертвенного приказа,256,13888
226,Бригантина смертельного лика,32,13663
227,Ножные латы чудовища,128,13665
228,Воинский пояс оживления,64,13666
229,Вампирское кольцо,2048,13668
230,Наплечные щитки алой руны,8,13669
231,Боевые наручи абсолютного нуля,512,13673
232,Боевые сапоги неслабеющей хватки,256,13675
233,Оберег раскаленного неба,4,13679
234,Наплечные пластины глубокой заморозки,8,13682
235,Напульсники четкого распорядка,64,13684
236,Сапоги расширенного потенциала,256,13685
237,Наплечные пластины чародейской гармонии,8,13691
238,Расшитая мантия времени,32,13692
239,Оковы безумного идеала,64,13694
240,Преданность Утера,4,13695
242,Чешуя непреклонного инквизитора,128,13709
243,Набедренники карательных мер,128,13713
244,Рукавицы Владыки грома,1024,13716
245,Латные наручи воина без тормозов,512,13720
246,Нарукавники воеводы,512,13722
247,Тяжелый шлем сейсмического отзвука,2,13723
248,Воинский пояс вестника боли,64,13742
249,Гравированный браслет всеобщей тоски,512,13775
250,Наплечные щитки исполина,8,13776
251,Боевой пояс созерцателя тьмы,64,13777
253,Наплеч павшего Владыки судеб,8,13779
254,Шнурованный ремень теории хаоса,64,13780
255,Нестабильное ядро Скверны,2048,13781
256,Подвеска обстрела Скверной,4,13782
258,Тяжелые наручи осквернителя,512,13784
259,Вьющийся жгут пламени Скверны,64,13785
260,Оплавленные оковы души,512,13786
261,Опояска отравителя,64,13791
262,Учебные поножи семейства Золдик,128,13796
263,Кольцо Сумеречного Странника,2048,13797
264,Промокший боевой пояс Зеленямса,64,13798
265,Браслет смекалки,512,13799
266,Оплечье проворства,8,13789
267,Латные наручи с манком,512,13800
268,Завершение,32,13801
269,Искаженное видение Акаари,2,13802
270,Гнилой осадок,128,13803
271,Обмотки губительных теней,64,13804
273,Вечногорящие наплечные щитки,8,13810
274,Хватка всеобщей тоски,512,13775
275,Покров темнейшего часа,128,13778
276,Наплечные щитки обстрела Скверной,8,13782
277,Вечное пламя,0,13810
278,Изукрашенный медальон пламени Тьмы,4,13783
280,Бесконечный цикл Хаоса,64,13780
282,Накидка заката и рассвета,8,13697
283,Воинский пояс безудержного перенаправления,64,13833
284,Ножные латы завершения,128,13834
285,Ножные латы неутолимого голода,128,13835
286,Воинский пояс поганища,64,13832
287,Воинский пояс торжества,64,13836
288,Шлем грешника,2,13837
289,Шнурованный ремень греховного потворства,64,13839
290,Наручники гневного роя,512,13841
291,Талисман связи близких душ,4,13844
292,Поножи небесных духов,128,13846
293,Наручники роя саранчи,512,13841
294,Воинский пояс резонирующей ясности,64,13851
295,Воинский пояс божественного резонанса,64,13853
296,Наплечье долга и служения,8,13854
297,Наплеч пылающей бойни,8,13857
298,Наручи сияющих углей,512,13853
299,Поножи сезонов изобилия,128,13861
300,Застежка сделки Бвонсамди,64,13862
301,Наручи сделки Бвонсамди,512,13863
302,Наплечье благодатного хмеля,8,13866
303,Амулет расколотых стихий,4,13867
304,Напульсники проводника стихий,512,13869
305,Пояс осколков аннигиляции,64,13871
306,Повязки гниющих душ,1024,13872
307,Наплечные щитки взрывной энергии,8,13873
308,Боевой пояс ловцов душ,64,13874
309,Кольчужный капюшон боеприпасов,2,13875
310,Набедренники колючей проволоки,128,13877
312,Нарукавники поганища,512,13832
313,Воинский пояс безудержного перенаправления,64,13833
314,Шнурованный ремень волшебной гармонии,64,13881
315,Boots of Test 1 Override,256,13882
316,Ring 1 Test 2 Override,0,13883
317,dfg,16777216,13588
318,Test,131072,13588
319,Башмаки элизийской мощи,256,13889
320,Наголенники элизийской мощи,128,13889
321,Воинский пояс божественного резонанса,64,13890
322,Бригантина божественного резонанса,32,13890
323,Талисман глубокой заморозки,4,13682
324,Перчатки ведуна,1024,13681
325,Набедренники владыки судеб,128,13809
326,Воинский пояс алой руны,64,13669
327,Подвеска ловушек Эрнестуэя,4,13744
328,Кольцо углей из Кузни душ,2048,13745
329,Наголенники охотника на рилаков,128,13750
330,Колье заката и рассвета,4,13697
331,Кольцо кровавых клыков,2048,13792
332,Окровавленный покров,65536,13795
333,Печатка глубинного землетрясения,2048,13725
334,Напульсники укоренившихся стихий,512,13726
335,Наплечники демонической синергии,8,13761
336,Башмаки сейсмического отзвука,256,13723
337,Кольцо воина без тормозов,2048,13720
338,Плащ завершения,65536,13834
339,Подвеска грешника,4,13837
340,Перстень долга и служения,2048,13854
341,Покров пылающей бойни,65536,13857
342,Захваты сделки Бвонсамди,1024,13862
343,Колье благодатного хмеля,0,13866
344,Оберег бесконечного взрыва,4,13873
