Word,ID
Косматый молодой волк,741
Кролик,742
Трогг Каменной Челюсти,743
Двуручные топоры,744
Посохи,745
Двуручное ударное,746
Мечи,747
Жезлы,748
Древковое оружие,749
Огнестрельное оружие,750
Кистевое оружие,751
Арбалеты,752
Топоры,753
Метательное оружие,754
Луки,755
Кинжалы,756
Ударное,757
Двуручные мечи,758
Бой двумя руками,759
Защита,760
Наложение чар,761
Ювелирное дело,762
Кузнечное дело,763
Механика,764
Алхимия,765
Портняжное дело,766
Кожевенное дело,767
Травничество,768
Горное дело,769
Свежевание,770
Рыбная ловля,771
Кулинария,772
Первая помощь,773
Выживание,774
Плавание,775
Рукопашный бой,776
Физический,777
Огонь,778
Лед,779
Тайная магия,780
Природа,781
Тень,782
Свет,783
Неизвестно,784
Мана,785
Ярость,786
Энергия,787
Настроение,788
Руны,789
Счетчик маноотбора Солнечного Странника,790
Хранитель Колодца Соланиан,791
Порченый дух тайной магии,792
Детеныш прыголапа,793
Змей Маны,794
Зверопастырь,795
Шара Солнечное Крыло,796
Одичавший зверопастырь,797
Магистресса Эриона,798
Следопыт Кариэл,799
Фелендрен Изгой,800
Страж из клана Солнечный Странник,801
Ясмин Тели-Лариен,802
Рысь-прыголап,803
Джулия Удар Солнца,804
Марсилла Рассветная Звезда,805
Раэлис Рассветная Звезда,806
Джестенис Удар Солнца,807
Смотрительница Арина,808
Джейн,809
Джессел,810
Нова,811
Джейнтесс Тельрин,812
Дух тайной магии,813
Чародей Итанас,814
Чародей Хелион,815
Фараден Тельрин,816
Егерь Саллина,817
Лантан Перилон,818
Гонец Аларион,819
Заклинатель Тели-Лариен,820
Воин,821
Паладин,822
Охотник,823
Разбойник,824
Жрец,825
Шаман,826
Маг,827
Чернокнижник,828
Друид,829
Воительница,830
Охотница,831
Разбойница,832
Жрица,833
Шаманка,834
Волшебница,835
Чернокнижница,836
Друидесса,837
Лесной тролль,838
Человек,839
Орк,840
Дворф,841
Ночной эльф,842
Нежить,843
Таурен,844
Гном,845
Тролль,846
Гоблин,847
Эльф крови,848
Дреней,849
Орк Скверны,850
Нага,851
Падший,852
Скелет,853
Лесная троллиха,854
Орчиха,855
Дворфийка,856
Ночная эльфийка,857
Тауренка,858
Гномесса,859
Троллиха,860
Гоблиниха,861
Эльфийка крови,862
Дренейка,863
Орчиха Скверны,864
Падшая,865
сопротивление,866
атака блокирована,867
критический урон,868
удар пришелся вскользь,869
сокрушительный удар,870
атака поглощена,871
атака отражена,872
Сопротивление,873
Атака блокирована,874
Критический урон,875
Удар пришелся вскользь,876
Сокрушительный удар,877
Атака поглощена,878
Атака отражена,879
Прервано,880
Недостаточно ярости,881
Недостаточно энергии,882
Вне зоны действия,883
Общий,884
Журнал боя,885
Взлом,886
красный,887
синий,888
желтый,889
пурпурный,890
зеленый,891
оранжевый,892
Двуручное дробящее оружие,893
Дробящее оружие,894
Джестенис Солнцесвет,895
Джулия Солнцесвет,896
Заклинатель Тель’Лариен,897
Лазутчик Кариэл,898
Магистресса Эрона,899
Марсилла Утренняя Звезда,900
Оскверненный дух тайной магии,901
Раэлис Утренняя Звезда,902
Сестра Арина,903
Следопыт Саллина,904
Страж острова Солнечного Скитальца,905
Шера Солнечное Крыло,906
Ясмин Тель’Лариен,907
Блокировано,908
нет цели,909
еще не готово,910
воин,911
паладин,912
охотник,913
разбойник,914
жрец,915
шаман,916
маг,917
чернокнижник,918
друид,919
воительница,920
охотница,921
разбойница,922
жрица,923
шаманка,924
волшебница,925
чернокнижница,926
друидесса,927
лесной тролль,928
человек,929
орк,930
дворф,931
ночной эльф,932
нежить,933
таурен,934
гном,935
тролль,936
гоблин,937
эльф крови,938
дреней,939
орк Скверны,940
нага,941
падший,942
скелет,943
лесная троллиха,944
орчиха,945
дворфийка,946
ночная эльфийка,947
тауренка,948
гномесса,949
троллиха,950
гоблиниха,951
эльфийка крови,952
дренейка,953
орчиха Скверны,954
падшая,955
Цель слишком низкого уровня,961
Причина неизвестна,962
Внутренняя ошибка,963
Неверная цель,964
Нет цели,965
Это невозможно здесь использовать,966
Сейчас выполняется другое действие,967
Цель слишком близко,968
Цель вне поля зрения,969
Еще не готово,970
Заклинание не выучено,971
Вы мертвы,972
Не сработало,973
Маназмей,974
Одичавший древун,975
Древун,976
Cледопыт Саллина,977
Ваша цель мертва,981
Бес-прислужник,982
подчинение,983
ошеломление,984
без оружия,985
отвлечение,986
бегство,987
неуклюжесть,988
оплетение,989
покой,990
немота,991
сон,992
в ловушке,993
оглушение,994
заморозка,995
паралич,996
кровотечение,997
лечение,998
превращение,999
изгнание,1000
защита,1001
оковы,1002
верхом,1003
подавление,1004
обращение,1005
испуг,1006
неуязвимость,1007
прерывание,1008
замедление,1009
открытие,1010
парализован,1011
Рыцарь смерти,1012
паника,1023
дезориентация,1024
обольщение,1025
ужас,1026
Кожевничество,1027
Зачаровывание,1028
Снятие шкур,1029
Инженерное дело,1030
Взлом замков,1031
Стрелы,1032
Пули,1033
Камни душ,1034
Кожи и шкуры,1035
Травы,1036
Материалы для зачаровывания,1037
Инженерные материалы,1038
Ключи,1039
Самоцветы,1040
Руда и камни,1041
Мелкие питомцы,1042
1 миллисекунда,1043
1 секунда,1044
"1,5 секунды",1045
2 секунды,1046
"2,5 секунды",1047
3 секунды,1048
"3,5 секунды",1049
4 секунды,1050
"4,5 секунды",1051
21 секунда,1052
22 секунды,1053
24 секунды,1054
32 секунды,1055
44 секунды,1056
53 секунды,1057
1 минута,1058
"3,5 минуты",1059
1 час,1060
2 часа,1061
3 часа,1062
4 часа,1063
1 неделя,1064
Заём,1065
Наём,1066
Лёд,1067
Лён,1068
Лоб,1069
Пёс,1070
Сон,1071
Овёс,1072
Рожь,1073
Ложь,1074
Церковь,1075
Любовь,1076
