Name_lang,ID,ArtifactAppearanceSetID,DisplayIndex,UnlockPlayerConditionID,ItemAppearanceModifierID,UiSwatchColor,UiModelSaturation,UiModelOpacity,OverrideShapeshiftFormID,OverrideShapeshiftDisplayID,UiItemAppearanceID,UiAltItemAppearanceID,Flags,UiCameraID,UsablePlayerConditionID
Лиловый кристалл,1,1,1,0,10,0,0.5,0.5,1,66784,0,0,0,0,0
Синий кристалл,2,1,2,0,12,0,0.5,0.5,0,0,0,0,0,0,0
Красный кристалл,3,1,3,0,11,0,0.5,0.5,1,66785,0,0,0,0,0
Желтые шипы,5,2,1,12549,18,0,0.5,0.5,0,0,0,0,0,0,0
Зеленые шипы,6,2,3,0,19,0,0.5,0.5,0,0,0,0,0,0,0
Огненные шипы,7,2,2,0,20,0,0.5,0.5,0,0,0,0,0,0,0
Испепелитель,8,3,2,37718,9,13946667,0.5,0.5,0,0,0,0,0,62,0
Испепелитель,9,3,1,88084,10,12207429,0.5,0.5,0,0,0,0,1,62,0
Испепелитель,10,3,3,37719,11,2777830,0.5,0.5,0,0,0,0,0,62,0
Испепелитель,11,3,4,37720,12,7194424,0.5,0.5,0,0,0,0,0,62,0
Испепелитель,12,4,2,37722,13,13753664,0.5,0.5,0,0,0,0,0,65,0
Испепелитель,13,4,1,37721,14,14170168,0.5,0.5,0,0,0,0,0,65,0
Испепелитель,14,4,3,37723,15,4341749,0.5,0.5,0,0,0,0,0,65,0
Испепелитель,15,4,4,37724,16,2400311,0.5,0.5,0,0,0,0,0,65,0
Испепелитель,16,5,1,37725,17,15636775,0.5,0.5,0,0,0,0,0,63,0
Испепелитель,17,6,1,37726,18,9769406,0.8,0.7,0,0,0,0,0,66,0
Испепелитель,18,6,2,37728,19,5384685,0.5,0.6,0,0,0,0,0,66,0
Испепелитель,19,6,3,37729,20,46171,0.7,0.5,0,0,0,0,0,66,0
Испепелитель,20,6,4,37730,21,2918886,0.7,0.5,0,0,0,0,0,66,0
Испепелитель,21,7,3,52635,22,15526961,0.5,0.5,0,0,0,0,16,64,0
Испепелитель,22,7,2,52557,23,16250871,0.5,0.5,0,0,0,0,16,64,0
Испепелитель,23,7,1,44699,24,4385004,0.5,0.5,0,0,0,0,8,64,0
Испепелитель,24,7,4,52668,25,5054922,0.5,0.5,0,0,0,0,16,64,0
Парные клинки Искусителя,25,8,2,37718,9,3666175,0.5,0.5,0,0,0,0,0,72,0
Парные клинки Искусителя,26,8,1,88117,10,6870528,0.5,0.5,0,0,0,0,1,72,0
Парные клинки Искусителя,27,8,3,37719,11,9845974,0.5,0.5,0,0,0,0,0,72,0
