ID,Name_lang,EnumID
1,Мастерство,0
2,Вдохновение,1
3,Находчивость,2
4,Точность,3
5,Сноровка,4
6,Внимательность,5
7,Скорость изготовления,6
8,Перепроизводство,7
9,Unlock Reagent Slot (DNT - write manually!),8
10,Вдохновение,9
11,Находчивость,10
12,Точность,11
13,Сноровка,12
14,Внимательность,13
15,Скорость изготовления,14
16,Перепроизводство,15
17,Сноровка,16
18,Gather Range Rating (DNT - write manually!),17
19,additional items crafted with Multicraft (DNT - write manually!),18
20,basic reagents gathered from Finesse (DNT - write manually!),19
21,бонус к мастерству от вдохновения,20
22,reagents saved from Resourcefulness (DNT - write manually!),21
23,Понижение сложности,22
24,Повышение сложности,23
25,Изменение скорости повышения навыка,24
26,Trait Ranks By Points-Modifier Label (DNT),25
27,Изобретательность,26
28,reduce concentration cost (DNT - write manually),27
29,Dummy Effect For # Tokenization (DNT),28
30,Изобретательность,29
31,Ingenuity Refund Increase (DNT - write manually!),30
