ID,Title_lang,Description_lang,UiTextureKitID,RewardQuestID,Prerequisite,Field_9_0_1_35755_007,Completed,OnlyStallIf,UiQuestDetailsThemeID,Flags,DisplayPriority,Field_10_0_2_45779_012,Field_10_0_2_46144_013
1,Военная кампания,Ваш долг защитника Альянса – принять участие в военной кампании против Орды и ее новых союзников.,261,0,5793,5793,73395,88077,8,1,0,0,0
2,Военная кампания,За Орду!,262,0,5793,5793,73395,0,10,0,0,0,0
3,Test Campaign,,261,52262,5703,0,0,0,0,0,0,0,0
111,Владыка Ревендрета,"Возможно, сир Денатрий знает, как возобновить течение анимы. Отправляйтесь в его владения в Ревендрете, чтобы узнать больше.",5279,0,76298,89063,0,85362,16,0,95,105475,0
113,Кампания вентиров,"Дорога искупления для жителей Ревендрета будет долгой, но Темный принц Грехопада готов ее пройти. Ему нужна ваша помощь, чтобы захватить власть в Ревендрете, победив Владыку и верных ему вентиров.",5285,0,76299,70102,92582,80502,20,0,94,105475,0
114,Бастион,"Вас попросили узнать больше о таинственных темных кириях, которых вы видели в Утробе. Их истинная природа может быть известна только Архонту, правительнице Бастиона.",5280,0,77903,89061,80035,85362,15,0,98,105475,0
115,Искусство войны,"Амбициозные некролорды готовы истребить друг друга в своем собственном мире. Ваша задача – объединить их раздробленные силы и создать армию, способную изменить ход судьбы.",5287,0,78568,70104,92799,0,19,0,94,105475,0
117,Кампания ночного народца,"Рощи Арденвельда гибнут. Королева Зимы в отчаянии наблюдает за тем, как одно за другим умирают небесные древа. Двору Ночи требуется ваша помощь, чтобы восстановить равновесие в Арденвельде.",5302,0,78569,70103,92586,0,22,0,94,105475,0
118,Клинок Примаса,"Малдраксийская армия напала на Бастион. Вас отправили в этот раздираемый войнами мир, чтобы узнать о причинах вторжения.",5282,0,88931,89062,0,85362,18,0,97,105475,0
119,Кампания кирий,"Благородные кирии Бастиона переживают трудные времена: наступающие силы раскольников грозят уничтожить их мир. Кириям нужна ваша помощь, чтобы отвоевать Бастион и спасти Темные Земли.",5283,0,78609,70101,86729,0,17,0,94,105475,0
124,Рощи Арденвельда,У вас есть важное сообщение для Королевы Зимы. Найдите ее в одной из небесных рощ Арденвельда.,5301,0,84196,89060,0,85362,21,0,96,105475,0
125,Кампания Темных Земель,Это обычная кампания для игроков в интервалах между кампаниями Темных Земель.,5362,0,89137,89138,89140,0,26,0,99,105475,0
126,Надвигающаяся тьма,"Разоблачив козни Денатрия, вы должны решить, как действовать дальше.",5284,0,85641,89059,0,0,26,0,94,105475,0
130,Shadowlands,,0,0,5703,5703,0,0,0,1,0,0,0
131,Нити судьбы,,0,0,87258,89064,0,0,26,0,99,105475,0
133,Covenant Tutorials,,0,0,5703,5703,0,0,0,0,0,0,0
134,Covenant Tutorials,,0,0,5703,5703,0,0,0,0,0,0,0
135,Covenant Tutorials,,0,0,5703,5703,0,0,0,0,0,0,0
136,Covenant Tutorials,,0,0,5703,5703,0,0,0,0,0,0,0
137,Covenant Tutorials,,0,0,5703,5703,0,0,0,0,0,0,0
138,Цепи Господства,"Кампания, раскрывающая новый контент обновления 9.1.",5362,0,92542,92543,92550,0,26,0,93,105475,0
140,Наверстываем!,,0,0,5703,5703,0,0,0,0,0,0,0
141,Наверстываем!,,0,0,5703,5703,0,0,0,0,0,0,0
142,Наверстываем!,,0,0,5703,5703,0,0,0,0,0,0,0
143,Наверстываем!,,0,0,5703,5703,0,0,0,0,0,0,0
