SourceText_lang,ID,CostItemID,CurrencyID,OrderIndex,ItemBonusSeasonID,FragmentItemID,FragmentsEarnedTrackingCurrencyID
"Способы получения:|n -Подземелья Dragonflight в эпохальном режиме до 6 уровня|n -Боссы Аберрия в рейде, собранном с помощью системы поиска рейда|n -Локальные задания, сокровища и различные занятия в пещере Заралек",9,204193,0,1,3,204075,2409
Способы получения:|n -Подземелья Dragonflight в эпохальном режиме уровней 6–10|n -Боссы Аберрия в обычном режиме|n -Определенные еженедельные задачи в пещере Заралек,10,204195,0,2,3,204076,2410
Способы получения:|n -Боссы Аберрия в героическом режиме|n -Подземелья Dragonflight в эпохальном режиме уровней 11–15,11,204196,0,3,3,204077,2411
Способы получения:|n -Боссы Аберрия в эпохальном режиме|n -Подземелья Dragonflight в эпохальном режиме выше 16 уровня,12,204194,0,4,3,204078,2412
,14,0,2706,1,7,0,0
,15,0,2707,2,7,0,0
,16,0,2708,3,7,0,0
,17,0,2709,4,7,0,0
,18,0,2806,1,8,0,0
,19,0,2807,2,8,0,0
,20,0,2809,3,8,0,0
,21,0,2812,4,8,0,0
