ID,Name_lang,ResourceName_lang,Verb_lang,CursorName,EnumID,TrackingIcon
1,Взлом замков,Запертые объекты,Взломать,PickLock,0,0
2,Травничество,Травы,Собрать,GatherHerbs,1,17635
3,Горное дело,Залежи руды,Добыть,Mine,2,17636
4,Обезвреживание ловушки,Ловушка,Обезвредить,,3,0
5,Открытие,Незапертые объекты,Открыть,,4,0
6,Клад (DND),Клад,,,5,0
7,Эльфийские самоцветы (DND),Эльфийские самоцветы,,,6,0
8,Закрытие,Незапертые объекты,Закрыть,,7,0
9,Установка,Ловушка,Установить,,8,0
10,Быстрое открытие,Незапертые объекты,Открыть,,9,0
11,Быстрое закрытие,Незапертые объекты,Закрыть,,10,0
12,Открытие: механика,Незапертые объекты,Открыть,,11,0
13,Открытие: наклон,Незапертые объекты,Открыть,,12,0
14,Открытие: атака,Незапертые объекты,Открыть,,13,0
15,Газ'рилльское украшение,Газ'рилльское украшение,,,14,0
16,Взрыв,Запертые объекты,Взорвать,,15,0
17,Медленное открытие (PvP),Незапертые объекты,Открыть,,16,0
18,Медленное закрытие (PvP),Незапертые объекты,Закрыть,,17,0
19,Рыбная ловля (DND),Рыба,Поймать,FishingCursor,18,17634
20,Начертание,Фолиант,Расшифровать,,19,0
21,Открыть на ходу,Незапертые объекты,Открыть,,20,0
22,Археология,Фрагменты,Исследовать,,21,0
23,Быстрое открытие (PvP),Незапертые объекты,Открыть,,22,0
28,Лесопилка,Дерево,Собрать,HarvestTimber,23,0
29,Снятие шкур,Кожа,Снять,skin,24,0
30,Древняя мана,Залежи маны,Извлечь,Extract,25,0
31,Доска приказов,Доски приказов,Осмотреть,,26,0
32,Травничество,Травы,Собрать,GatherHerbs,27,17635
33,Травничество,Травы,Собрать,GatherHerbs,28,17635
34,Травничество,Травы,Собрать,GatherHerbs,29,17635
35,Травничество,Травы,Собрать,GatherHerbs,30,17635
36,Травничество,Травы,Собрать,GatherHerbs,31,17635
37,Травничество,Травы,Собрать,GatherHerbs,32,17635
38,Травничество,Травы,Собрать,GatherHerbs,33,17635
39,Травничество,Травы,Собрать,GatherHerbs,34,17635
40,Горное дело,Залежи руды,Добыть,Mine,35,17636
41,Горное дело,Залежи руды,Добыть,Mine,36,17636
42,Горное дело,Залежи руды,Добыть,Mine,37,17636
43,Горное дело,Залежи руды,Добыть,Mine,38,17636
44,Горное дело,Залежи руды,Добыть,Mine,39,17636
45,Горное дело,Залежи руды,Добыть,Mine,40,17636
46,Горное дело,Залежи руды,Добыть,Mine,41,17636
47,Горное дело,Залежи руды,Добыть,Mine,42,17636
48,Снятие шкур,Кожа,Снять,skin,43,0
149,Open (Locked Inventory Item Opening),Незапертые предметы,Открыть,,44,0
150,Заготовка ресурсов,Поиск припасов,Поиск припасов,ForagePlants,45,0
152,Сота с пчелиным молочком,Пчелиное молочко,Собрать,,46,0
153,Травничество,Травы,Собрать,GatherHerbs,47,17635
155,Горное дело,Залежи руды,Добыть,Mine,48,17636
157,Ковенант: ночной народец,Доступные предметы,Открыть,,49,0
158,Ковенант: вентиры,Доступные предметы,Открыть,,50,0
159,Ковенант: кирии,Доступные предметы,Открыть,,51,0
160,Ковенант: некролорды,Доступные предметы,Открыть,,52,0
161,Профессия: инженерное дело,,Деактивация,,53,0
162,Травничество Драконьих островов,Травы,Собрать,GatherHerbs,54,17635
163,Горное дело,Залежи руды,Добыть,Mine,55,17636
166,Травничество,Травы,Собрать,GatherHerbs,56,17635
167,Горное дело,Залежи руды,Добыть,Mine,57,17636
169,Наложение чар,Зачарованные предметы,Распылить,,58,0
170,Сокровища Драконьих островов,Сокровища,Открыть,Open,59,0
172,Алхимия Драконьих островов: 25,Доступные предметы,Открыть,,60,0
173,Кузнечное дело Драконьих островов: 25,Доступные предметы,Открыть,,61,0
174,Наложение чар Драконьих островов: 25,Доступные предметы,Открыть,,62,0
175,Инженерное дело Драконьих островов: 25,Доступные предметы,Открыть,,63,0
176,Травничество Драконьих островов: 25,Доступные предметы,Открыть,,64,17635
177,Начертание Драконьих островов: 25,Доступные предметы,Открыть,,65,0
178,Ювелирное дело Драконьих островов: 25,Доступные предметы,Открыть,,66,0
179,Кожевничество Драконьих островов: 25,Доступные предметы,Открыть,,67,0
180,Горное дело Драконьих островов: 25,Доступные предметы,Открыть,,68,17636
181,Снятие шкур Драконьих островов: 25,Доступные предметы,Открыть,,69,0
182,Портняжное дело Драконьих островов: 25,Доступные предметы,Открыть,,70,0
186,Открытие: наклон – растение,Незапертые предметы,Взлом,,71,0
188,Горное дело Драконьих островов,Залежи руды,Добыть,Mine,72,17636
193,Горное дело Каз Алгара,Залежи руды,Добыть,Mine,73,17636
194,Травничество Каз Алгара,Травы,Собрать,GatherHerbs,74,17635
195,Алхимия Каз Алгара: 25,Открытые объекты,Открыть,,75,0
196,Кузнечное дело Каз Алгара: 25,Открытые объекты,Открыть,,76,0
197,Наложение чар Каз Алгара: 25,Открытые объекты,Открыть,,77,0
198,Инженерное дело Каз Алгара: 25,Открытые объекты,Открыть,,78,0
199,Травничество Каз Алгара: 25,Открытые объекты,Открыть,,79,17635
200,Начертание Каз Алгара: 25,Открытые объекты,Открыть,,80,0
201,Ювелирное дело Каз Алгара: 25,Открытые объекты,Открыть,,81,0
202,Кожевничество Каз Алгара: 25,Открытые объекты,Открыть,,82,0
203,Горное дело Каз Алгара: 25,Открытые объекты,Открыть,,83,17636
204,Снятие шкур Каз Алгара: 25,Открытые объекты,Открыть,,84,0
205,Портняжное дело Каз Алгара: 25,Открытые объекты,Открыть,,85,0
