ID,Name_lang,CreatureType,Flags,AttackIconFileID,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeID,CreatureDisplayID[0],CreatureDisplayID[1],CreatureDisplayID[2],CreatureDisplayID[3],PresetSpellID[0],PresetSpellID[1],PresetSpellID[2],PresetSpellID[3],PresetSpellID[4],PresetSpellID[5],PresetSpellID[6],PresetSpellID[7]
1,獵豹形態,1,248,132116,1,1000,0.4,0,892,0,0,0,0,0,0,0,0,0,0,0
2,樹形,7,2257,0,0,0,0,0,37165,0,0,0,0,0,0,0,0,0,0,0
3,旅行形態,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,水棲形態,1,216,0,0,0,0,0,2428,0,0,0,0,0,0,0,0,0,0,0
5,熊形態,1,248,132143,3,2500,0.4,0,2281,0,0,0,0,0,0,0,0,0,0,0
6,小動物,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0
7,食屍鬼,6,9689,0,0,0,0,0,25527,0,0,0,6603,47468,47481,47482,47480,0,47484,47496
8,巨熊形態,1,248,132143,3,2500,0.4,0,2281,0,0,0,0,0,0,0,0,0,0,0
9,祥鶴式,-1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,薩隆杰骷髏,6,1034,0,0,0,0,0,9784,0,0,0,50799,49613,49609,49617,0,0,0,0
11,暗月 - 力量試煉,-1,1226,0,0,0,0,0,0,0,0,0,62022,62023,62024,62025,0,0,0,0
12,BLB玩家,-1,0,0,0,0,0,0,0,0,0,0,44029,44752,44083,44010,44012,44817,0,0
13,暗影之舞,-1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,生物 - 熊,1,0,0,0,0,0,0,2281,0,0,0,0,0,0,0,0,0,0,0
15,生物 - 豹,1,0,0,0,0,0,0,892,0,0,0,0,0,0,0,0,0,0,0
16,鬼魂之狼,1,216,0,0,0,0,0,55287,0,0,0,0,0,0,0,0,0,0,0
17,戰鬥姿態,-1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,防禦姿態,-1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,狂暴姿態,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,靈蛟式,-1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,殭屍,6,5150,0,0,0,0,0,26942,0,0,0,57596,51230,56560,43949,56528,0,0,0
22,惡魔化身,7,2252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,磐牛式,-1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,猛虎式,-1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,不死生物,6,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,狂亂,1,216,0,0,0,0,0,17170,0,0,0,0,0,0,0,0,0,0,0
27,飛行形態，史詩,1,32776,0,0,0,0,246,21243,0,0,0,0,0,0,0,0,0,0,0
28,暗影形態,-1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,飛行形態,1,32776,0,0,0,0,245,20857,0,0,0,0,0,0,0,0,0,0,0
30,潛行,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,梟獸形態,-1,2241,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,救贖之靈,-1,82704,0,0,0,0,0,16031,0,0,0,0,0,0,0,0,0,0,0
33,鬥士姿態,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,惡魔化身,3,472,1035040,0,0,0.4,0,64560,0,0,0,0,0,0,0,0,0,0,0
35,梟獸形態,-1,2241,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,樹人形態,7,2257,0,0,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0
37,貓頭鷹靈魂形態,1,32776,0,0,0,0,295,38633,0,0,0,0,0,0,0,0,0,0,0
38,貓頭鷹靈魂形態,0,32776,0,0,0,0,204,38633,0,0,0,0,0,0,0,0,0,0,0
39,幽光形態,6,32776,0,0,0,0,295,10045,0,0,0,0,0,0,0,0,0,0,0
40,幽光形態,6,32776,0,0,0,0,204,10045,0,0,0,0,0,0,0,0,0,0,0
41,靈魂幻體,1,216,0,0,0,0,0,93949,0,0,0,0,0,0,0,0,0,0,0
42,爐裔奇想,-1,65792,0,0,0,0,0,66094,0,0,0,0,0,0,0,0,0,0,0
43,人類型態,7,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,巨龍群島飛龍,-1,217,0,4,0,0,0,0,0,0,0,372608,372610,361584,0,0,0,0,0
48,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,zzReuseMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
