ID,Tooltip_lang,Name_lang,Field_8_2_0_30430_003
57,搶奪旗幟的總次數,奪旗次數,0
58,摧毀敵方城牆的次數。,城牆摧毀,0
59,摧毀敵方建築的次數。,建築摧毀,0
60,摧毀大門的次數,大門摧毀,0
61,阻止敵人奪取墓地的次數,保衛墓地,0
62,從戰場上將己方旗幟搶回己方基地的總次數,還旗次數,0
63,敵方哨塔上的旌旗被拔除的次數,佔領哨塔,0
64,輔助作戰單位被啟動的數量,次要目標,0
65,敵人基地中旌旗被拔走的次數,突襲基地,0
67,阻止敵人爭奪哨塔的次數,保衛哨塔,0
69,敵人奪取基地的行動被阻止的次數,防禦基地,0
70,摧毀石毀車的次數,石毀車摧毀,0
71,敵方墓地中的旌旗被拔除的次數,佔領墓地,0
75,協助控制礦坑推車的次數,已控制的礦坑推車,0
78,佔領敵方礦坑推車的總次數,佔領推車次數,0
79,從戰場上將己方框坑推車搶回己方基地的總次數,奪回推車次數,0
81,敵人奪取礦坑的行動被阻止的次數,防禦礦坑,0
87,收集到異能球的總次數,獲得異能球次數,0
88,贏得勝利點數,勝利點數,0
89,對勝利所做出的貢獻,得分,0
98,你收集到和繳納的文物碎片總數。,收集到的文物,0
99,你所收集到的艾澤萊晶岩總數。,收集艾澤萊晶岩,0
102,收集的食材數量,收集食材,0
1092,敵人基地中旌旗被拔走的次數,突襲礦坑,0
1093,搶奪旗幟的總次數,奪旗次數,0
1097,獲勝回合次數,獲勝回合|n次數,0
