ID,Name_lang,Flags,UiTextureKitID,UiTextureKitElementCount
1,獸人語,0,0,0
2,達納蘇斯語,0,0,0
3,牛頭人語,0,0,0
6,矮人語,0,0,0
7,通用語,0,0,0
8,惡魔語,0,0,0
9,泰坦語,0,0,0
10,薩拉斯語,0,0,0
11,龍語,0,0,0
12,元素語,0,0,0
13,地精語,0,0,0
14,食人妖語,0,0,0
33,不死族語,0,0,0
35,德萊尼語,0,0,0
36,殭屍語,0,0,0
37,地精二進位語,0,0,0
38,哥布林二進位語,0,0,0
39,狼人語,0,0,0
40,哥布林語,0,0,0
42,熊貓人語,0,0,0
43,熊貓人語,0,0,0
44,熊貓人語,0,0,0
168,妖精語,0,0,0
178,古神語,0,0,0
179,魚人語,0,0,0
180,梟獸語,0,0,0
181,夏拉斯語,0,0,0
182,薩拉斯語,0,0,0
285,狐狸人語,0,0,0
287,複雜暗語,0,0,0
288,基礎暗語,0,0,0
290,節拍語,3,5410,36
291,低音語,3,5410,36
292,高音語,3,5410,36
293,初調語,3,5410,36
294,中調語,3,5410,36
295,輕頻語,3,5410,36
296,重頻語,3,5410,36
297,內嵌語言,2,0,0
298,不可知,3,5410,36
