ID,Title_lang,InternalTitle,Description_lang,UiTextureKitID,RewardQuestID,Prerequisite,Field_9_0_1_35755_007,Completed,OnlyStallIf,UiQuestDetailsThemeID,Flags,DisplayPriority,Field_10_0_2_45779_012,Field_10_0_2_46144_013
1,陣營戰役,Alliance War Campaign,身為聯盟勇士，你有義務協助進行抗戰準備，以對付部落和他們的新盟友。,261,0,86702,924,73395,88077,8,1,0,0,0
2,陣營戰役,Horde War Campaign,為了部落！,262,0,86703,923,73395,88077,10,1,0,0,0
3,Test Campaign,[Internal] Test Campaign,,261,52262,5703,0,0,0,0,0,0,0,0
111,瑞文崔斯主宰,9.0 Shadowlands - Narrative Arc - Revendreth (ZTO),戴納瑟斯王或許知道該如何結束這場靈魄乾旱。進入他的瑞文崔斯界域探尋真相。,5279,0,76298,89063,0,85362,16,0,0,105475,0
113,汎希爾族戰役,9.0 Shadowlands - Covenant Campaign - Revendreth (ZTO),尋求瑞文崔斯的救贖是一條漫漫長路，罪殞城的黑暗王子已經準備好踏上旅途了。他需要你的幫助，才能從主宰和他的忠誠者手中把瑞文崔斯奪回來。,5285,0,76299,70102,92582,80502,20,0,0,105475,0
114,昇靈堡,9.0 Shadowlands - Narrative Arc - Bastion - GJC,你被派去調查你在淵喉裡面遇到的神秘淵喉琪瑞安。只有負責監督昇靈堡的御靈者才知道他們真正的本性。,5280,0,77903,89061,80035,85362,15,0,0,105475,0
115,戰爭的藝術,9.0 Shadowlands - Covenant Campaign - Maldraxxus  (MDE),野心勃勃的死靈領主面臨自尋毀滅的威脅。你的出現會讓不同勢力再次攜手合作，組成足以挑戰命運本身的大軍。,5287,0,78568,70104,92799,0,19,0,0,105475,0
117,暗夜妖精戰役,9.0 Shadowlands - Covenant Campaign - Ardenweald  (KRB),亞登曠野的林地正在凋零。隨著巨大的星界之樹一棵棵倒下，凜冬女王也變得愈來愈絕望。女王和她的暗夜之廷需要你來協助恢復森林的昔日和諧。,5302,0,78569,70103,92586,0,22,0,0,105475,0
118,統御者之刃,9.0 Shadowlands - Narrative Arc - Maldraxxus - SJC,瑪卓薩斯的軍隊襲擊了昇靈堡。你奉命前往這個飽受戰爭蹂躪的國度，找出原因。,5282,0,88931,89062,0,85362,18,0,0,105475,0
119,琪瑞安族戰役,9.0 Shadowlands - Covenant Campaign - Bastion - GJC,昇靈堡的高貴琪瑞安族面臨著危險的局勢，棄誓者部隊步步逼近，打算摧毀他們的界域。他們需要你的協助，才能奪回昇靈堡並拯救暗影之境。,5283,0,78609,70101,86729,0,17,0,0,105475,0
