Name_lang,Description_lang,ID,FiledataID
溢流,超過目標生命力上限的過量治療會造成吸收治療效果。,1,463570
輕浮,敵人沒那麼在乎坦克產生的威脅值。,2,135994
火山,在戰鬥中敵人會週期性的在遠處玩家的腳下引爆噴發的烈火。,3,451169
壞死,所有敵人的近戰攻擊都會造成可堆疊的瘟疫腐疽，造成持續性傷害，並且降低受到的治療效果。,4,1029009
擁擠,額外的非首領敵人會出現在地城各處。,5,136054
狂怒,非首領敵人的生命力剩下30%時，造成的傷害提高50%，直到被擊敗為止。,6,132345
激勵,非首領敵人的死亡哀號會激勵附近的盟友，暫時使其生命力上限提高15%、造成的傷害提高20%。,7,132333
膿血,非首領敵人死亡時會留下一灘膿血，對其盟友造成治療效果，對玩家造成傷害。,8,136124
暴君,首領的生命力提高30%。首領與其爪牙所造成的傷害提高15%。,9,236401
強悍,非首領敵人生命力提高20%，造成的傷害提高30%。,10,463829
屍爆,當非首領敵人死亡時，身體會爆炸、在4秒內對所有玩家造成傷害。此效果會堆疊。,11,1035055
兇殘,受傷的玩家會承受不斷提高的持續性傷害，直到其獲得治療。,12,132090
火爆,戰鬥期間，敵人會週期性召喚爆炸球體，如果沒有迅速摧毀則會爆炸。,13,2175503
震地,所有玩家會週期性釋放衝擊波，對所有附近的盟友造成傷害並且中斷施法。,14,136025
感染,有部分非首領敵人受到古翰幼體感染。,16,2032223
奪魂,非首領敵人得到伯昂撒姆第的力量，會定期死而復生，向生者復仇。,117,2446016
誘惑,艾薩拉的特使會出現在地城各處。,119,237565
甦醒,遍布地城的方尖碑可以讓玩家進入奈奧羅薩，面對威力強大的恩若司僕人。如果不先解決這些僕人，就得在最後首領戰中與他們交手。,120,442737
傲慢,玩家擊敗非首領敵人後，自尊不斷提高到過剩，最終轉化為自尊化身。擊敗這個化身可大幅提高玩家的能力。,121,3528307
振奮,部分非首領敵人擁有振奮風采，可強化盟友。,122,135946
惡意,惡魔會從非首領敵人的屍體上出現，並追擊隨機玩家。,123,135945
風暴,戰鬥時，敵人會週期性召喚造成傷害的旋風。,124,136018
磨難,地城中會出現閻獄之主的僕從，擊敗後能獲得強大的效果。如果不處理僕從，則會強化最後的首領。,128,3528304
煉獄火,某些首領附近有煉獄火信標。啟動信標或攻擊附近的首領會觸發燃燒軍團入侵。,129,1394959
密文,地城各處的敵人持有首創者的聖物。摧毀聖物就能召喚首創者的自主機，並依據摧毀的順序獲得不同的強大力量。,130,4038106
隱蔽,納斯雷茲姆滲透者偽裝成敵人，散布在地城的各個角落。捕捉滲透者，塔商集團就會給你豐富的獎勵。,131,136177
雷霆,敵人的生命力提高5%。在戰鬥中，玩家每隔一段時間就會從菈薩葛絲的無盡風暴獲得超載的洪荒能量。這種能量十分危險，若是無法快速釋放，將會帶來昏迷的效果。,132,1385910
[PH],[PH],133,0
