ID,SortName_lang,UiOrderIndex
1,史詩,0
21,萬鬼節,0
22,季節性,0
23,浩劫與重生,0
24,草藥學,0
25,戰場,0
41,亡者節,0
61,術士,0
81,戰士,0
82,薩滿,0
101,釣魚,0
121,鍛造,0
141,聖騎士,0
161,法師,0
162,盜賊,0
181,鍊金術,0
182,製皮,0
201,工程學,0
221,藏寶圖,0
241,聯賽,3
261,獵人,0
262,牧師,0
263,德魯伊,0
264,裁縫,0
284,特殊,0
304,烹飪,0
324,急救,0
344,傳說,0
364,暗月馬戲團,0
365,安其拉之戰,0
366,新年慶典,0
367,聲望,0
368,入侵,0
369,仲夏節,0
370,啤酒節,0
371,銘文學,0
372,死亡騎士,0
373,珠寶設計,0
374,貴族花園,0
375,旅人豐年祭,0
376,愛就在身邊,0
377,考古學,0
378,兒童週,0
379,火源之界進軍行動,0
380,贊達拉,0
381,元素桎梏,0
391,熊貓人釀酒大師,0
392,事件,0
394,戰寵,2
395,武僧,0
396,登陸,0
397,熊貓人戰役,0
398,騎術,0
399,鬥陣俱樂部,0
400,試煉場,0
401,要塞戰役,0
402,襲擊黑暗之門,0
403,要塞支援,0
404,伐木,0
405,偷竊,0
406,神兵武器,0
407,惡魔獵人,0
408,採礦,0
409,週末事件,0
410,附魔,0
411,剝皮,0
412,世界任務,0
413,死亡騎士戰役,0
416,惡魔獵人戰役,0
417,德魯伊戰役,0
418,獵人戰役,0
419,武僧戰役,0
420,法師戰役,0
421,牧師戰役,0
422,聖騎士戰役,0
423,薩滿戰役,0
424,盜賊戰役,0
425,術士戰役,0
426,戰士戰役,0
427,職業大廳,0
428,軍團之殞戰役,0
429,獵殺伊利丹‧怒風,0
430,海盜節,0
431,阿古斯遠征,0
432,戰爭前線,0
433,梟獸節,0
434,國王之道,0
435,克羅米之死,0
436,火箭雞,0
437,光鑄德萊尼,0
438,高嶺牛頭人,0
439,虛無精靈,0
440,夜裔精靈,0
441,地城,0
442,團隊,0
444,同盟種族,0
445,大酋長的計畫,0
446,冒險旅程,0
447,聯盟陣營戰役,0
448,部落陣營戰役,0
449,黑鐵矮人,0
450,瑪格哈獸人,0
451,暗影獵手,0
453,海嶼遠征,0
555,世界PvP,0
556,庫爾提拉斯之光,0
557,積分PvP,0
559,贊達拉食人妖,0
560,傳承,0
561,任務之落,0
562,泰蘭妲的復仇,0
563,薩魯法爾的命運,0
564,免費T恤衫日,0
565,風暴邪淵,0
566,庫爾提拉斯人,0
567,衝突戰,0
569,艾澤拉斯之心,0
571,專業技能,0
573,納沙塔爾追隨者,0
574,罪殞城,0
575,科爾拉克復仇之地,0
576,誓盟聖所,0
579,招兵買馬召集令,0
580,恩若司的幻象,0
582,狐狸人,0
583,機械地精,0
584,黑暗帝國戰役,0
586,餘燼宴會,0
587,穿越破碎天空,0
588,死亡崛起,0
589,琪瑞安的使命,0
590,暗夜妖精的使命,0
591,死靈領主的使命,0
592,汎希爾的使命,0
593,憎惡縫合術,0
594,時光漫遊戰役,0
595,晉升之路,0
596,傳說級物品製作,0
600,9.1戰役,0
601,首創者的暗語,0
602,澤瑞斯莫提斯戰役,0
603,博文者寶典,0
604,誓盟進攻戰,0
606,原靈體合成,0
607,第6章符號追蹤,0
608,被釋放的暴風雨,0
609,龍鱗遠征隊,0
610,洪荒風暴,0
611,伊斯凱拉巨牙海民,0
612,莫魯克半人馬,0
613,沃卓肯協調者,0
615,貿易站,0
616,創新引擎,0
617,工匠聯盟,0
