ID,Name_lang,GameType_lang,ShortDescription_lang,LongDescription_lang,InstanceType,MinLevel,MaxLevel,RatedPlayers,MinPlayers,MaxPlayers,GroupsAllowed,MaxGroupSize,HolidayWorldState,Flags,IconFileDataID,Required_Player_Condition_ID,MapID[0],MapID[1],MapID[2],MapID[3],MapID[4],MapID[5],MapID[6],MapID[7],MapID[8],MapID[9],MapID[10],MapID[11],MapID[12],MapID[13],MapID[14],MapID[15]
1,奧特蘭克山谷,史詩戰場,,,3,20,70,25,10,40,1,5,1941,152,136324,0,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,經典戰歌峽谷,搶旗戰,,,3,0,0,10,5,10,1,5,1942,0,136365,0,489,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,經典阿拉希盆地,資源戰,,,3,0,0,10,8,15,1,5,1943,0,136322,0,529,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,Nagrand Arena (old),,,,4,0,0,5,0,5,1,5,0,1,460867,5793,559,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,zzOldBlade's Edge Arena,,,,4,0,0,5,0,5,1,5,0,1,460861,0,562,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,所有競技場,,,,4,20,70,5,0,5,1,3,0,8,525915,0,1505,1672,572,617,980,1134,1504,1552,1825,1911,2167,2373,2509,2547,2563,-1
7,暴風之眼,資源戰,,,3,20,70,15,8,15,1,5,2851,24,525912,0,566,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,羅德隆廢墟,,,,4,10,70,5,0,5,1,5,0,8,460869,0,572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,遠祖灘頭,攻城戰,,,3,10,60,15,8,15,1,5,3695,1,460870,0,607,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,達拉然下水道,,,,4,10,70,5,0,5,1,5,0,8,460862,0,617,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,勇武競技場,,,,4,0,0,5,0,5,1,5,0,0,460868,0,618,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,征服之島,史詩戰場,,,3,20,70,25,10,40,1,5,4273,152,311222,0,628,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,隨機戰場,,,,3,10,70,25,5,40,1,5,0,0,525915,0,2107,2106,566,1803,761,726,727,998,2245,-1,-1,-1,-1,-1,-1,-1
100,積分戰場,,,,3,50,70,10,5,10,1,10,0,2,0,0,2107,2245,968,727,998,761,726,2106,-1,-1,-1,-1,-1,-1,-1,-1
101,積分戰場,,,,3,50,60,15,8,15,1,15,0,2,0,0,2107,566,607,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102,積分戰場,,,,3,50,60,6,4,6,1,6,0,2,0,0,727,998,726,2106,1803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
108,雙子峰,搶旗戰,,,3,30,70,10,5,10,1,5,5361,24,525913,0,726,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
120,吉爾尼斯之戰,資源戰,,,3,20,70,10,3,10,1,5,5360,24,460871,0,761,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
656,暴風之眼積分戰場,,,,3,50,70,10,5,10,1,5,2851,10,0,0,968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
699,科特魔古神廟,異能球爭奪戰,,,3,40,70,10,2,10,1,5,6306,24,791651,0,998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
