ID,CategoryName_lang,CustomizeIcon,CustomizeIconSelected,OrderIndex,CameraZoomLevel,Flags,SpellShapeshiftFormID,CameraDistanceOffset
1,身軀,11987,11986,4,20,1,0,0
2,臉型,11991,11990,1,100,0,0,0
3,飾品,11985,11984,3,100,0,0,0
4,髮型,11989,11988,2,100,0,0,0
5,面紋,11987,11986,5,65,1,0,0
6,熊形態,15730,15730,6,0,0,5,1
7,獵豹形態,15731,15731,7,0,0,1,0
9,水棲形態,15729,15729,10,0,0,4,1
10,旅行形態,15734,15734,11,0,0,3,1
11,飛行形態,15732,15732,9,0,0,27,0
12,梟獸形態,15733,15733,8,0,0,31,0
13,臉型(不死族),11991,11990,1,80,1,0,0
14,臉型(貓熊人),11991,11990,1,80,1,0,0
15,臉型(瑪格哈獸人),11991,11990,1,85,1,0,0
16,臉型(矮人),11991,11990,1,88,0,0,0
17,飾品(矮人),11985,11984,3,88,0,0,0
18,臉型(牛頭人),11991,11990,1,100,1,0,0
19,飾品(牛頭人),11985,11984,3,100,1,0,0
20,Face (Worgen),11991,11990,1,100,1,0,0
22,身體(半龍人),11987,11986,1,20,0,0,0
23,鏡面,18308,18307,2,100,0,0,0
24,護甲1(半龍人),11993,11992,5,20,0,0,0
25,身分,18778,18777,12,20,0,0,0
26,Armor 2 (Dracthyr),11993,11992,6,20,0,0,0
27,身體(飛龍騎術),20126,20127,1,20,1,0,0
28,身體2(飛龍騎術),20128,20129,2,20,1,0,0
29,頭部(飛龍騎術),20130,20131,3,100,0,0,0
30,頭部2(飛龍騎術),18308,18307,4,100,0,0,0
31,飾品(半龍人),20130,20131,2,100,0,0,0
32,臉型(半龍人),11991,11990,3,100,0,0,0
33,鏡面(半龍人),18308,18307,4,100,0,0,0
